iter,CBCFW_pgap,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_pgap,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_pgap,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_pgap,FFW_dual,FFW_dgap,FFW_time,FAFW_pgap,FAFW_dual,FAFW_dgap,FAFW_time
1,2104.1995758144185,-2.1801290627709962e6,2.1822332623468107e6,0.0,2104.209140774794,-2.1800143846776034e6,2.182118593818378e6,0.0,2104.209140774794,-2.1800143846776034e6,2.182118593818378e6,0.0,1.054765930899635e6,-1.1273526629187437e6,2.1821185938183786e6,0.0,1.054765930899635e6,-Inf,Inf,0.0
2,1397.2850271975622,-48683.00100785775,50080.28603505531,0.015210777,1398.8812351683155,-50014.38754544914,51413.26878061746,0.026943843,1398.8812351683155,-50014.38754544914,51413.26878061746,0.024518025,2652.413228404708,-57466.015623919826,60118.428852324534,0.017433311,2652.413228404708,-2.179466180589974e6,2.1821185938183786e6,0.01652148
3,1231.1551612680778,-21549.563041542788,22780.718202810865,0.040902172,1231.0435005100444,-21484.895179303727,22715.93867981377,0.040660037,1231.1517754970118,-21484.78690431676,22715.93867981377,0.038040422,1593.339658706449,-26003.72614637146,27597.06580507791,0.033885756,1593.339658706449,-58525.089193618085,60118.428852324534,0.033280269
4,1182.6455381549895,-11510.865186825433,12693.510724980422,0.053493533,1182.906412330456,-11018.963558477597,12201.869970808053,0.052738853,922.3993935193866,-10962.872062133476,11885.271455652863,0.048753205,1362.1375780021772,-12706.246516047864,14068.384094050041,0.050425795,1362.1375780031085,-26234.9282270748,27597.06580507791,0.049964746
5,1169.7233985513449,-5357.2283124056485,6526.951710956993,0.066597203,1170.078407427296,-5170.841969014598,6340.920376441894,0.067259405,727.069682716392,-24035.77175517154,24762.84143788793,0.060322253,1299.8994347928092,-6466.367374176713,7766.266808969523,0.06686799,1032.4942704243585,-13035.889823625683,14068.384094050041,0.073047906
6,1165.9365011127666,-2163.871745234555,3329.8082463473215,0.079907557,1166.2744280025363,-2265.055240477586,3431.329668480122,0.090182921,680.7148495139554,-11392.323467845194,12073.038317359149,0.074908517,1279.1702691083774,-2677.884469945876,3957.0547390542533,0.082396226,830.5952859334648,-24761.764785509804,25592.36007144327,0.088132681
7,818.0833638049662,-2312.1600385320194,3130.2434023369856,0.104681948,818.3682772656903,-2025.24494578868,2843.6132230543703,0.103059816,602.4385603629053,-6528.804586078252,7131.2431464411575,0.098818581,1273.7341465633363,-1684.8823819562585,2958.616528519595,0.097779861,760.2060686741024,-11907.87843276673,12668.084501440833,0.10194178
8,700.6065223393962,-18652.699182694803,19353.3057050342,0.117177024,701.2964106975123,-18736.71591313128,19438.012323828792,0.115236078,541.3745918506756,-13267.012093613223,13808.386685463898,0.111220454,895.056935980916,-20050.78976763629,20945.846703617208,0.111977353,639.7127358019352,-18893.807029351734,19533.51976515367,0.117621112
9,662.367489701137,-10122.17854862044,10784.546038321578,0.129397584,662.2698340862989,-9828.05859296623,10490.32842705253,0.128005852,466.95441666897386,-7006.58365463679,7473.538071305764,0.123436565,759.0595254497603,-10297.32751637396,11056.38704182372,0.127958566,593.9740783814341,-9686.977664292976,10280.95174267441,0.131226494
10,652.4535750215873,-4563.67045014733,5216.124025168917,0.142575398,652.4018458276987,-4832.7452218629405,5485.147067690639,0.140183043,410.04108802601695,-13338.08326724975,13748.124355275768,0.133635439,717.6646924065426,-4856.864583269529,5574.529275676072,0.144176457,528.773117014207,-13772.055776603329,14300.828893617536,0.146492183
11,649.6383498767391,-2453.2710691228726,3102.9094189996117,0.163570007,649.2542525492609,-2116.512170771358,2765.7664233206187,0.161470781,392.2664602091536,-6878.3807039079165,7270.64716411707,0.147478738,706.8648749627173,-2406.414636850986,3113.2795118137033,0.160798907,483.14572100620717,-7162.4608407671985,7645.606561773406,0.159916038
12,526.0509705143049,-1353.6646629493728,1879.7156334636777,0.176802968,526.3294827267528,-1475.2810754708637,2001.6105581976165,0.173270375,363.0970615139231,-3866.2928974562,4229.389958970123,0.168306096,703.4312139283866,-949.2644924726949,1652.6957064010815,0.177947286,427.513949604705,-12667.217502634723,13094.731452239428,0.175528092
13,470.55296064261347,-12525.67732712978,12996.230287772394,0.189686923,470.7430799379945,-12873.92259371915,13344.665673657144,0.185355356,340.3591671837494,-8381.766260164874,8722.125427348623,0.179183679,568.0342002958059,-13077.191983743,13645.226184038806,0.192786569,414.7022381592542,-6444.989131945232,6859.691370104486,0.188393064
14,454.92069798335433,-6603.0693736480525,7057.990071631407,0.201343235,455.0064083803445,-6418.202823429674,6873.2092318100185,0.198385712,315.49463821202517,-4387.064701151452,4702.559339363477,0.192271801,508.8099458022043,-6726.521420247559,7235.331366049763,0.208752243,385.7503616642207,-8804.646649102957,9190.397010767178,0.203770506
15,450.2568912366405,-3315.2067615433325,3765.463652779973,0.215326473,450.31998290959746,-3432.8160147567637,3883.135997666361,0.219633403,292.09721953142434,-8112.019108205699,8404.116327737123,0.205492208,491.30771738197654,-3533.991371346117,4025.2990887280935,0.22489347,363.157887368463,-4645.150978952875,5008.308866321338,0.217176687
16,449.0044707534835,-1453.4874123756854,1902.4918831291689,0.239664934,449.06243953481317,-1503.8579042705278,1952.920343805341,0.232630109,274.34468801598996,-4238.072446522839,4512.417134538829,0.217647399,485.62712167948484,-1700.8887608536834,2186.515882533168,0.240996741,337.4094516960904,-8545.848525675097,8883.257977371188,0.232599186
17,382.83383470773697,-842.6766149333293,1225.5104496410663,0.253854386,382.9122675219551,-763.4755460800711,1146.3878136020262,0.245898689,255.64791240356863,-7360.224814653522,7615.872727057091,0.239252203,483.9734710333869,-702.695624647524,1186.669095680911,0.256828505,319.8285533199087,-4304.406363388908,4624.234916708817,0.245980924
