iter,CBCFW_pgap,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_pgap,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_pgap,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_pgap,FFW_dual,FFW_dgap,FFW_time,FAFW_pgap,FAFW_dual,FAFW_dgap,FAFW_time
1,4094.58942883648,-4.312189557959792e6,4.316284147388629e6,0.0,4299.518511263654,-4.288284312735487e6,4.29258383124675e6,0.0,4299.518511263654,-4.288284312735487e6,4.29258383124675e6,0.0,2.076018583364226e6,-2.2165652478825245e6,4.29258383124675e6,0.0,2.076018583364226e6,-Inf,Inf,0.0
2,3107.2269015666097,-78556.89775059343,81664.12465216004,0.041838805,3110.23868839629,-76192.08341719238,79302.32210558867,0.040215168,3110.23868839629,-76192.08341719238,79302.32210558867,0.065110818,5181.188397185877,-107873.52962491821,113054.71802210409,0.059219769,5181.188397185877,-4.287402642849565e6,4.29258383124675e6,0.052440423
3,2865.073915498331,-36829.53714601736,39694.611061515694,0.102966551,2865.9975229594857,-38158.64724831831,41024.644771277795,0.099377315,2538.328090360388,-38486.3166809175,41024.64477127789,0.106675384,3199.4099900349975,-52347.75207080317,55547.16206083817,0.119532521,3199.40999003686,-109855.30803206723,113054.71802210409,0.101119161
4,2789.905355406925,-18355.244887151726,21145.15024255865,0.143310478,2790.1952214688063,-19256.147791508298,22046.343012977104,0.138663116,1919.5577000565827,-61881.79064112756,63801.348341184144,0.163302455,2688.0780181419104,-25782.794030707733,28470.872048849644,0.174827163,2688.0780181419104,-52859.08404269628,55547.16206083819,0.152788357
5,2769.378353126347,-8330.93883631326,11100.317189439607,0.202023702,2769.573741564527,-8747.822305079375,11517.396046643902,0.199838273,1736.0038477145135,-31965.614695459022,33701.618543173536,0.198467012,2553.324227379635,-12637.981808703338,15191.306036082973,0.237426492,2098.3134641554207,-26372.55858469421,28470.87204884963,0.198628872
6,1920.8452033121139,-4294.192030553913,6215.037233866027,0.241104386,1923.917828494683,-4418.86097517606,6342.7788036707425,0.240645572,1432.987623989582,-17455.806049331164,18888.793673320746,0.238530754,2513.6366046685725,-5559.589607942331,8073.2262126109035,0.29562793,1695.2799195777625,-47697.0140850904,49392.29400466816,0.2492574
7,1604.705254310742,-42959.96362142878,44564.668875739524,0.295243891,1604.9852171875536,-42192.130770876916,43797.11598806447,0.297201447,1217.0869292933494,-34854.39057268219,36071.47750197554,0.29472695,2502.2813359089196,-3140.4431334614474,5642.724469370367,0.354690779,1565.3908589221537,-23500.680428374846,25066.071287297,0.293029566
8,1516.231915101409,-21603.434720527992,23119.6666356294,0.334458142,1516.3288025613874,-22025.106603490724,23541.43540605211,0.335484341,1156.1966348011047,-17972.890995461923,19129.087630263028,0.330940891,1783.274636073038,-38732.51478493233,40515.78942100537,0.402801452,1331.258670564741,-36325.61716765606,37656.8758382208,0.340712315
9,1488.5131968874484,-11028.5014838104,12517.014680697848,0.395856441,1488.5835545696318,-11303.411549061922,12791.995103631554,0.393759077,1039.5715257730335,-26099.347006776363,27138.918532549396,0.390278269,1518.6031065192074,-20151.437484223796,21670.040590743003,0.452641393,1247.6373235993087,-18948.21760258606,20195.85492618537,0.389495808
10,1480.9524049721658,-5160.123527793006,6641.075932765172,0.437668393,1481.0300234723836,-5146.757891786455,6627.787915258838,0.432403971,972.1370719149709,-14108.602920559471,15080.739992474442,0.42958488,1439.3206988051534,-9949.721582072012,11389.042280877165,0.505010639,1117.6185235511512,-27045.58969711117,28163.20822066232,0.434813608
11,1478.8899084646255,-2063.298209493075,3542.1881179577003,0.495757971,1478.9668725002557,-2094.5540580313696,3573.5209305316253,0.492932439,882.3655649162829,-22099.254180667074,22981.619745583357,0.469567137,1416.35711341165,-4475.179458285285,5891.536571696935,0.556974693,1033.6948655005544,-14130.680690008561,15164.375555509116,0.475769413
12,1163.2213979680091,-2391.3932657305445,3554.6146636985536,0.537558459,1163.929306473583,-2460.5022692435896,3624.4315757171726,0.532513269,829.484453516081,-11822.027284777552,12651.511738293633,0.525164426,1410.359717624262,-1825.263239147033,3235.622956771295,0.612208203,927.3855925649405,-24555.718397241213,25483.103989806154,0.519919215
13,1039.3446915131062,-26788.58944149554,27827.934133008646,0.594253332,1039.5554259140044,-26107.344650793882,27146.900076707887,0.576318759,761.4282332640141,-19650.012846046775,20411.44107931079,0.562791526,1142.0759395696223,-25459.495263914934,26601.571203484556,0.673117012,890.8617741018534,-12805.01818044479,13695.879954546643,0.559975393
14,1004.734613833949,-13283.56965090697,14288.304264740918,0.637264589,1004.8021799754351,-13960.89038232197,14965.692562297405,0.63221523,718.5592442564666,-10450.691840238891,11169.251084495358,0.603858416,1023.1590109579265,-12978.931027278888,14002.090038236815,0.762383058,820.5075111836195,-19732.094108309764,20552.601619493384,0.604800626
15,994.8205287009478,-6574.755969853413,7569.576498554361,0.69784851,994.927553575486,-6579.719282317382,7574.646835892868,0.677776268,665.0912340097129,-17430.809397232348,18095.90063124206,0.658495114,990.3962913956493,-6636.538616835043,7626.934908230693,0.838409665,787.0504800584167,-9429.034507275835,10216.084987334252,0.644707644
16,991.8283909391612,-3187.086340054754,4178.914730993915,0.738754032,991.9495931044221,-3125.9020413925427,4117.851634496965,0.733276344,638.3596226144582,-9401.346781795257,10039.706404409715,0.697578365,980.2555479947478,-3104.220558671072,4084.4761066658198,0.922800594,747.4885935597122,-14400.994786629748,15148.48338018946,0.695990853
17,845.065350022167,-1487.8308753612087,2332.8962253833756,0.798719992,845.3196741137654,-1566.6241939261372,2411.9438680399026,0.771691484,598.4329175967723,-14674.478658713955,15272.911576310727,0.755193992,977.2160074487329,-1311.7668022963699,2288.9828097451027,0.989160911,696.8369712661952,-7812.196769186456,8509.03374045265,0.755596289
18,778.414174605161,-19482.538280972454,20260.952455577615,0.835660452,778.479337465018,-19148.51514643049,19926.99448389551,0.827256488,576.1591998320073,-8314.78214017751,8890.941340009518,0.789390113,835.4910284429789,-19145.68120939029,19981.17223783327,1.051561118,650.6088486108929,-15610.39496060498,16261.003809215872,0.800181067
19,758.2520520873368,-10261.296764760471,11019.548816847808,0.897085194,758.2682051304728,-10488.50739673922,11246.775601869693,0.864685597,543.3400011602789,-13366.862136954185,13910.202138114464,0.829270176,768.0373233519495,-9526.278251456051,10294.315574808,1.115344218,611.4877419453114,-7827.089783699132,8438.577525644443,0.841214657
