iter,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,3745.1806668370964,-1.4002760693686346e7,1.4006505874353183e7,0.0,3813.34992711246,-1.4014927164169675e7,1.4018740514096787e7,0.0,3813.34992711246,-1.4014927164169675e7,1.4018740514096787e7,0.0,6.943657369163481e6,-7.075083144933307e6,1.4018740514096787e7,0.0,6.943657369163481e6,-Inf,Inf,0.0
2,2408.057373467088,-86950.90107150946,89358.95844497655,0.301567766,2408.3337905555964,-87910.22063320596,90318.55442376155,0.080332407,2408.3337899774315,-87910.22063378412,90318.55442376155,0.116554422,6583.754638823867,-138727.19345251608,145310.94809133993,0.119008868,6583.754638823867,-1.4012156759457963e7,1.4018740514096787e7,0.113714658
3,2077.1535544633866,-42295.77488165311,44372.9284361165,0.748395699,2077.9862626314166,-42322.91434778848,44400.90061041989,0.113976724,2077.8466545760634,-42323.04056791239,44400.88722248845,0.156941881,3367.754083135724,-66331.5428574018,69699.29694053752,0.224931923,3367.7540831387046,-141943.19400820116,145310.94809133987,0.219029353
4,1996.514607447386,-20254.25776953682,22250.772376984205,1.062347279,1997.2947987437249,-20312.172105797144,22309.46690454087,0.146656015,1617.428910651803,-21159.779275872996,22777.2081865248,0.188202616,2556.540467691422,-33016.68714890082,35573.22761659224,0.338750827,2556.5399421453476,-67142.78011377752,69699.32005592287,0.320373101
5,1971.8749476999046,-9915.430286695395,11887.305234395299,1.489953836,1972.663906505704,-10230.549286897607,12203.213193403311,0.176448121,1293.7213486492635,-42477.70349130715,43771.42483995641,0.218052224,2333.200760102272,-16100.895817374067,18434.09657747634,0.446695496,2254.2646322906016,-33318.98369151014,35573.24832380074,0.408369917
6,1965.1505611747505,-4037.0572779308923,6002.207839105643,1.868529137,1965.892930418253,-4210.516501714129,6176.409432132382,0.215506297,1200.45789052248,-21571.835960217562,22772.293850740043,0.246354585,2268.51319642365,-7802.3306471673695,10070.84384359102,0.553480279,1915.6847816705704,-42017.70732644934,43933.39210811991,0.512443098
7,1402.2600279927256,-3440.867396773484,4843.1274247662095,2.219053567,1402.7936401426794,-3680.71038995205,5083.504030094729,0.258456887,1052.2215161710978,-10482.733459986472,11534.954976157569,0.272470603,2248.8074865043163,-3060.246718186583,5309.0542046908995,0.66324187,1551.6660541296005,-20516.62991339878,22068.295967528382,0.603431886
8,1194.1759789317846,-33863.539131792415,35057.7151107242,2.529662985,1194.4886541515589,-33156.756973696865,34351.245627848424,0.379018995,952.6810537219048,-23146.706348106098,24099.387401828004,0.299786906,2243.4643579870462,-3128.932875667635,5372.397233654681,0.771365407,1250.2116549760103,-40413.052452543765,41663.264107519775,0.704554802
9,1139.466073268652,-16854.83125333474,17994.297326603395,2.832676594,1139.6413221001626,-17190.2476460533,18329.888968153464,0.41703088,824.7890468865634,-12090.549278444667,12915.33832533123,0.410041112,1554.0355787932874,-34670.59227461736,36224.627853410646,0.874817028,1165.5366444021463,-20502.569933852097,21668.106578254243,0.804562872
10,1122.8926855117084,-8304.238713169294,9427.131398681002,3.184803005,1123.0472539305688,-8573.420535648793,9696.467789579361,0.448344967,725.2411091536284,-23334.728607080888,24059.969716234515,0.448723925,1325.2822046846152,-17743.61200883653,19068.894213521147,0.984491425,1014.5954848200083,-11017.501942085295,12032.097426905304,0.894330103
11,1118.5377894431354,-3906.022658907768,5024.560448350903,3.550821165,1118.671849116683,-3875.119309064494,4993.791158181177,0.48056164,697.2316955775023,-12067.157521117202,12764.389216694704,0.47799669,1257.4824241042138,-9064.045994069738,10321.528418173952,1.096943216,904.7901501178742,-23632.688498794032,24537.478648911907,0.995923008
12,912.7601015508176,-1976.244106441245,2889.0042079920627,3.911751743,912.9154654145241,-2119.11351333341,3032.028978747934,0.511063838,649.8003640830517,-6743.336914726244,7393.137278809296,0.505448883,1237.6422519028188,-4100.183723736538,5337.825975639356,1.217003881,876.9744298219681,-13213.637876397139,14090.612306219107,1.084078261
13,820.7806748062372,-22146.38211440151,22967.162789207745,4.182844121,820.8752139538527,-22030.46096733501,22851.33618128886,0.544016615,613.1080749541521,-13813.470704158417,14426.57877911257,0.536707727,1232.528656628728,-1743.8237147698626,2976.3523713985905,1.328112292,825.358235797286,-15652.856011726517,16478.214247523803,1.173518495
14,793.2370509803295,-11491.919545734258,12285.156596714587,4.487809764,793.327550008893,-11595.00864982698,12388.336199835872,0.587502908,570.6435505717993,-7285.677487327768,7856.321037899567,0.55975018,1230.7920351594687,-1801.841293486246,3032.6333286457148,1.439072498,722.2603910386563,-23410.093177552593,24132.35356859125,1.283282842
15,785.3841078191996,-6020.900209482446,6806.284317301646,4.764911967,785.4569257944822,-5925.277147069351,6710.734072863833,0.699669731,536.1810306459665,-13847.125900945368,14383.306931591334,0.590497129,979.2106518000364,-22402.941460891496,23382.152112691532,1.536998755,693.0730406522752,-11790.12724018356,12483.200280835834,1.373744066
16,783.2043119192124,-2735.9526319156494,3519.1569438348615,5.058269706,783.2677747368813,-2815.3248193900454,3598.5925941269265,0.733933825,500.50764152407646,-7380.120271817454,7880.62791334153,0.617405642,885.4537221550942,-11948.512594773249,12833.966316928343,1.644318354,634.1043965458871,-17145.227993186258,17779.332389732146,1.479684245
17,671.0313239306212,-1397.1920430443906,2068.2233669750117,5.431009353,671.1223054021598,-1439.0364232096013,2110.158728611761,0.771498276,464.755283766985,-13757.133092677757,14221.888376444742,0.643093472,855.2817695558072,-6461.848011067895,7317.129780623702,1.759308854,601.8368256300688,-8353.606114731974,8955.442940362043,1.568459708
18,620.5860160678626,-16768.3307877084,17388.916803776265,5.666610157,620.6366683453322,-16651.67723199019,17272.31390033552,0.802663454,437.5122515380383,-7090.247661695775,7527.759913233813,0.670956116,844.7250292003155,-2806.855644889636,3651.5806740899516,1.871375012,560.1578211426735,-14819.518690825571,15379.676511968244,1.669936849
19,605.2400927960873,-8710.123954160272,9315.36404695636,5.931650015,605.2832119166851,-8751.988466436575,9357.27167835326,0.830194301,409.32399474680426,-12410.435971041972,12819.759965788777,0.778534953,842.1862355768681,-1227.258424013119,2069.444659589987,1.983139122,531.6513542056084,-7504.581784978077,8036.233139183685,1.758460097
20,600.919024771452,-4339.970832261416,4940.889857032868,6.25793619,600.9520993858577,-4454.073406724301,5055.025506110159,0.863068078,396.4892433851958,-6503.6360323802755,6900.125275765471,0.816325708,717.1755845487119,-16920.386080310913,17637.561664859626,2.085107769,498.0769463330507,-13106.814846640069,13604.89179297312,1.862075697
21,599.5718352168799,-2218.093560048008,2817.665395264888,6.507629056,599.6069066345692,-2297.8821292585453,2897.4890358931148,0.904396612,377.6567358106375,-10201.710199523304,10579.366935333941,0.852390902,661.9961964040995,-8916.808412234295,9578.804608638395,2.206598836,472.71285240054135,-6955.416476713878,7428.129329114419,1.955082605
22,528.5313698142767,-1110.4473560107158,1638.9787258249926,6.796012646,528.5859465122223,-1078.873576336737,1607.4595228489593,1.018468248,365.8179700940848,-5589.365457145684,5955.183427239768,0.888569589,644.430837866664,-4621.805103779187,5266.235941645851,2.312995262,443.33109090626243,-12139.983842178568,12583.31493308483,2.057463761
23,493.7379749149084,-13576.412701943967,14070.150676858875,7.040269825,493.7664996594191,-13385.516983292257,13879.283482951676,1.052094882,349.8141940534115,-8890.813120227152,9240.627314280564,0.920009763,639.0136653572322,-1843.866368985547,2482.8800343427793,2.420074569,424.15341684520246,-6782.83713685483,7206.990553700032,2.155799466
24,483.8738198369742,-6957.255578358915,7441.129398195889,7.275009247,483.89007467329503,-7062.494259398448,7546.384334071743,1.078412304,335.7210764497519,-4801.066226753326,5136.787303203078,0.942738844,637.8061255335808,-946.240780934897,1584.0469064684778,2.531108072,399.5680405050516,-11022.92520896404,11422.493249469091,2.258183845
25,481.0276507228613,-3409.9312134279344,3890.9588641507958,7.526244167,481.0463172286749,-3549.120738328501,4030.167055557176,1.107187583,321.4351634979248,-8607.672393069268,8929.107556567193,0.962839496,562.0767166078091,-13621.597931945407,14183.674648553217,2.630556669,385.3343761622906,-5606.421480783899,5991.75585694619,2.347918186
26,480.2267275124789,-1671.1962424254414,2151.4229699379202,7.755176476,480.24607740342617,-1649.5596088884213,2129.8056862918475,1.136959812,311.0906436234713,-4588.125481861639,4899.21612548511,0.988517434,527.1148288071156,-6915.76534439715,7442.880173204266,2.749411918,367.42384358346465,-9702.312688529126,10069.73653211259,2.472044565
27,432.212809368968,-905.2725873869988,1337.4853967559668,7.985051448,432.23600125014786,-871.8919798396,1304.127981089748,1.166946974,298.162336653471,-8103.098541951285,8401.260878604757,1.013976382,517.1516260027886,-3663.200856206028,4180.352482208817,2.858934992,364.6802003592253,-5356.867461275333,5721.547661634559,2.556868828
28,409.0434427648783,-11204.961589991237,11614.005032756115,8.189105161,409.06080918312074,-11109.404159301539,11518.464968484659,1.282458707,288.7159716665745,-4199.947546860852,4488.663518527426,1.116707776,513.915915003419,-1655.6787425472316,2169.5946575506505,2.965822936,355.5936864882708,-6173.999260109028,6529.592946597299,2.642358546
29,402.26304436624054,-5844.638181866815,6246.901226233055,8.436347762,402.2780564635992,-5844.325781208925,6246.603837672525,1.323368552,278.03958991467954,-7426.805284893156,7704.844874807835,1.154440756,512.9903822809458,-787.4714136811422,1300.461795962088,3.073828158,344.2182728946209,-9283.316549721907,9627.534822616528,2.750647306
30,400.0302619993687,-3011.453427067559,3411.4836890669276,8.673796322,400.0444991797209,-3065.013599085566,3465.058098265287,1.354627958,269.5019643008709,-3996.0841756304653,4265.586139931336,1.188536453,460.95141853392124,-11316.66096079527,11777.612379329192,3.183787687,336.0448168635369,-6156.167243671739,6492.212060535276,2.852422068
31,399.4231102108956,-1470.8370045229371,1870.2601147338328,8.965660817,399.4394328057766,-1512.8327365158575,1912.272169321634,1.384769779,259.93789905905726,-7020.161448309835,7280.099347368892,1.210407947,436.4230222821236,-5799.791097258264,6236.214119540387,3.293381724,323.13861812055114,-3018.3516725487025,3341.4902906692537,2.937948256
32,364.3421896904707,-788.6560608112403,1152.998250501711,9.24972617,364.3628230452538,-722.9884636574214,1087.3512867026752,1.415353613,251.2740835607052,-3743.0712540974246,3994.3453376581297,1.235964882,429.31892997026443,-2931.3505598065985,3360.669489776863,3.405635159,313.51690399944783,-6966.375930058285,7279.892834057733,3.039295205
33,347.15908929109577,-9591.64098231272,9938.800071603815,9.477473314,347.17693996429443,-9569.507201302818,9916.684141267113,1.444236578,242.28836311995985,-6866.444056722711,7108.732419842671,1.264446966,427.0989085882902,-1453.5516352375073,1880.6505438257975,3.515099489,301.95230162739756,-3640.89639080993,3942.8486924373274,3.126895313
34,341.7689320266247,-5074.157817840856,5415.926749867481,9.731103738,341.7838355481625,-5130.110209245466,5471.894044793628,1.53776482,235.48813752532007,-3813.9368692328962,4049.425006758216,1.292124942,426.3882208555937,-701.6497427929405,1128.0379636485343,3.630360246,292.25846746265887,-7106.83218331632,7399.090650778979,3.230929746
35,339.99972314536575,-2635.6179765425773,2975.617699687943,9.982146135,340.01407528817657,-2719.6279139632666,3059.641989251443,1.582281627,227.67112426161768,-6434.313931394122,6661.985055655739,1.320675741,426.1344908714295,-713.6546624111634,1139.789153282593,3.741713011,284.5252252817154,-3776.084262788244,4060.6094880699593,3.319670073
36,339.5392056286335,-1212.4759737401916,1552.015179368825,10.270711928,339.5544890642166,-1199.0011632043515,1538.555652268568,1.618030058,222.62222372591498,-3490.0508351224007,3712.6730588483156,1.343292164,385.7935247510672,-9614.88832854342,10000.681853294487,3.839372239,275.51801173985007,-6764.722719586339,7040.240731326189,3.4220918
37,312.4274397790432,-713.608519140329,1026.0359589193722,10.49167813,312.44331738948824,-687.8551653021641,1000.2984826916523,1.65386379,215.72345601022243,-6065.310147772138,6281.033603782361,1.366178279,368.18920525312427,-5289.911809605376,5658.1010148585,3.947636419,267.3526693403721,-3519.502063838106,3786.854733178478,3.507912388
38,299.4325010597706,-8243.311066179518,8542.74356723929,10.734908603,299.4468218624592,-8227.936837218918,8527.383659081377,1.683780751,209.8056375682354,-3161.6849652147484,3371.490602782984,1.475240177,362.1995625138283,-2576.2151811737526,2938.414743687581,4.057386216,258.87378351688386,-6597.252477612753,6856.126261129637,3.614533709
39,295.42681562900543,-4386.120540852531,4681.547356481537,11.010642606,295.4381161540747,-4381.133301838455,4676.57141799253,1.714431763,203.81364500522614,-5655.105812932519,5858.919457937745,1.514194354,360.5445793449879,-1263.4669259436407,1624.0115052886285,4.16820728,250.82028847634794,-3466.2599379139356,3717.0802263902833,3.70144398
40,294.1761610955,-2358.0523801347326,2652.2285412302326,11.245430841,294.18751296103,-2342.805692796944,2636.993205757974,1.745066952,197.64959609210493,-2996.701486922199,3194.3510830143036,1.556882567,360.04760162830354,-583.907884651853,943.9554862801566,4.278989788,243.0011937081814,-6503.810093783827,6746.811287492009,3.804358724
41,293.77566248476506,-1230.6736888387911,1524.4493513235561,11.515250612,293.7864796549082,-1266.1802665566884,1559.9667462115965,1.856104842,191.31082781255247,-5626.264568022272,5817.575395834825,1.581136192,331.92494586110115,-8437.92321717685,8769.848163037952,4.380675722,234.3154408156872,-3605.844160833917,3840.159601649604,3.910958032
