iter,opt,CBCFW_pgap,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_pgap,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_pgap,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_pgap,FFW_dual,FFW_dgap,FFW_time,FAFW_pgap,FAFW_dual,FAFW_dgap,FAFW_time
12,1.998569499733222e6,3771.3825433442835,1.991150963527705e6,11189.91874886115,0.073134221,3608.3572409867775,1.9909402595125653e6,11237.597461643309,0.068044051,382.13366413419135,1.989474699229008e6,9476.934168348089,0.026365162,4141.483288741903,1.9901877002225723e6,12523.282799391542,0.025411072,779.9976848906372,1.9858216529022027e6,13527.844515909906,0.019748277
13,1.998569499733222e6,3516.399750340497,1.9905282333027602e6,11557.666180802247,0.074764593,3374.99126711837,1.9910593943798628e6,10885.096620477474,0.06984696,274.9500512944069,1.9918488972931008e6,6995.552491415554,0.028021424,3829.360288656084,1.991008166241303e6,11390.693780574948,0.027331129,559.0959706881549,1.9883471186679788e6,10781.477035931312,0.021773425
14,1.998569499733222e6,3261.5521075080615,1.991556972392204e6,10274.079448526056,0.076475292,3160.690867644036,1.9923216328729107e6,9408.557727955224,0.071526472,170.10931889130734,1.992452831051437e6,6286.778000676306,0.032377678,3574.55979115027,1.9914806093141674e6,10663.450210204814,0.029204132,426.7998052618932,1.9908695478417473e6,8126.751696736552,0.026594653
15,1.998569499733222e6,3075.7400305701885,1.992207910165834e6,9437.329597958218,0.078203017,2957.3326822340023,1.9925555930293878e6,8971.239386068104,0.073101284,103.49410064588301,1.9936597527290569e6,5013.241104810848,0.034091789,3337.0433342980687,1.9917696274511884e6,10136.915616331622,0.031180771,333.7545792872552,1.9917604345091712e6,7142.819803338032,0.02849504
16,1.998569499733222e6,2958.323051168816,1.993729497762222e6,7798.325022168719,0.079896917,2825.6886825782713,1.9932477712475653e6,8147.417168234941,0.077261586,70.42566988780163,1.9950041702731603e6,3635.75512994951,0.035920927,3089.9370750950184,1.994630309707053e6,7029.127101263963,0.033107005,235.20778697892092,1.9925014950015852e6,6303.212518615648,0.030281057
17,1.998569499733222e6,2782.7675277285744,1.993025114134728e6,8327.153126222547,0.084225984,2695.360110218404,1.993478593730483e6,7786.2661129573535,0.079005564,48.52448763255961,1.9959585500306033e6,2659.4741902512033,0.03766443,2983.3484720636625,1.994394899725807e6,7157.948479478713,0.035185652,174.96747436444275,1.9934614496394512e6,5283.017568135168,0.032285615
18,1.998569499733222e6,2660.9498421100434,1.9936620661663767e6,7568.383408955182,0.085883431,2585.526996466564,1.9938233557700217e6,7331.670959666953,0.080634009,28.35226647532545,1.9958870078699489e6,2710.8441297484387,0.039188102,2853.803373860428,1.993798279132214e6,7625.023974868469,0.037238657,139.26824275660329,1.9947555098655694e6,3953.258110409137,0.034288061
19,1.998569499733222e6,2575.899780091131,1.9949953999099443e6,6149.999603368691,0.087503672,2496.0400306505617,1.9953326235365116e6,5732.916227360925,0.082332217,21.64050815277733,1.997242282798347e6,1348.857443027693,0.043831621,2728.014035914326,1.9942259442341737e6,7071.569534962531,0.039251165,117.70419617113657,1.9953904743474037e6,3296.729581989348,0.036320302
20,1.998569499733222e6,2476.0916953634005,1.9946558306426015e6,6389.760785983875,0.089368377,2421.7906134633813,1.9953764926262975e6,5614.797720387869,0.086778486,16.946193285053596,1.9973712605966763e6,1215.1853298306232,0.045455428,2620.4640144512523,1.9931969335651048e6,7993.030182568356,0.041342472,103.11867617140524,1.9964359757906003e6,2236.642618793063,0.037928079
21,1.998569499733222e6,2399.211476496188,1.9954257105687314e6,5543.000640986807,0.090994431,2348.5800316340756,1.995451353102708e6,5466.726662147936,0.088515631,12.464674137765542,1.9973718126774232e6,1210.1517299364496,0.046985006,2465.005905832397,1.9947496438436937e6,6284.861795360688,0.04321563,84.0561637210194,1.9957060184676396e6,2947.5374293033965,0.039719849
22,1.998569499733222e6,2311.970595978899,1.995139499909117e6,5741.970420084021,0.095285437,2275.350229772972,1.995271148704112e6,5573.701258882938,0.090204903,9.189243001164868,1.9973775243839025e6,1201.1645923206233,0.048465021,2379.743752980372,1.9959813842640254e6,4967.85922217695,0.045170597,75.52988978126086,1.9967664273186526e6,1878.6023043505847,0.041612543
23,1.998569499733222e6,2252.0370987618808,1.9955330548801948e6,5288.481951788912,0.097182719,2215.915244004922,1.9958793029733512e6,4906.112003875576,0.091800594,6.834921472007409,1.9975849677981408e6,991.3668565531261,0.050224344,2317.9638173531275,1.9953620993104526e6,5525.364240122493,0.047079943,69.41927165095694,1.9969924815778648e6,1646.4374270080589,0.043574769
24,1.998569499733222e6,2180.340941244969,1.9950720849604919e6,5677.755713974941,0.0988514,2157.7695217367727,1.9954250909479e6,5302.178307058784,0.093358916,4.570618944475427,1.9976294925257075e6,944.5778264590481,0.05463079,2251.1711418505292,1.9956103054986922e6,5210.365376380272,0.049719497,58.98072341666557,1.9967955179212107e6,1832.9625354278833,0.045172411
25,1.998569499733222e6,2115.004503222881,1.995562981259895e6,5121.522976549837,0.100484843,2090.6213344873395,1.9956575885514345e6,5002.532516274921,0.097655414,3.7095180621836334,1.9980247828923436e6,548.4263589404582,0.056412087,2192.1058196721133,1.9952904188363203e6,5471.1867165737785,0.052366638,49.51174982520752,1.996618670278477e6,2000.3412045701407,0.046951438
26,1.998569499733222e6,2068.783082888229,1.9961046185458107e6,4533.664270299458,0.104959331,2049.0159966663923,1.9961280030816016e6,4490.512648286705,0.099367628,2.682924938155338,1.998002389086332e6,569.7935718280787,0.058233248,2114.041869368637,1.9956909272243246e6,4992.6143782660365,0.054431376,43.203075744910166,1.9969003543599667e6,1712.3484490001574,0.048864403
27,1.998569499733222e6,2019.5875113371294,1.9963809591605568e6,4208.128084002354,0.106881411,2002.9839991370682,1.9962582964594506e6,4314.187272908457,0.101048975,2.0815086939837784,1.9981194371181752e6,452.1441237407853,0.059855489,2059.748964312719,1.9962407420718907e6,4388.506625643931,0.05646969,37.644580559106544,1.9971691514197662e6,1437.9928940148093,0.050831835
28,1.998569499733222e6,1985.8442028176505,1.9963873466058758e6,4167.997330163897,0.108640034,1945.6948515481781,1.995657397947969e6,4857.796636801329,0.102936251,1.6053840916138142,1.9981646240087636e6,406.4811085498659,0.061309047,2011.412850843044,1.9966922748882934e6,3888.637695771642,0.058438689,33.5613319829572,1.997232930993e6,1370.1300722048618,0.052791308
29,1.998569499733222e6,1956.8527101383079,1.9967762081509833e6,3750.144292377023,0.110402078,1915.9230989941861,1.9969600939153805e6,3525.328916835657,0.104591925,1.2138162774499506,1.9981934400366219e6,377.2735128774657,0.065646318,1977.9503245239612,1.9965294711438254e6,4017.978913920466,0.060366479,31.386388460872695,1.9976779627695489e6,922.9233521339484,0.054314172
30,1.998569499733222e6,1927.7713985897135,1.9970005238459676e6,3496.7472858440306,0.112099513,1884.1974890299607,1.9965378385242177e6,3915.8586980341643,0.108801244,0.9500234134029597,1.9982189072490719e6,351.54250756348483,0.067422616,1939.7369416982401,1.9969452565758335e6,3563.9800990866497,0.062320437,29.375291289994493,1.997721546252374e6,877.3287721378729,0.055919629
31,1.998569499733222e6,1898.692674690159,1.9968708250594155e6,3597.367348496511,0.116576474,1857.2999508774374,1.9970243653176478e6,3402.434366451489,0.110518064,0.7345120457466692,1.998385690856581e6,184.5433886865212,0.069228647,1913.1478033612948,1.9970483559719948e6,3434.291564588435,0.064281209,24.362961287377402,1.9971703776170998e6,1423.4850774095394,0.057827779
32,1.998569499733222e6,1861.864079293562,1.9966105066635453e6,3820.8571489703027,0.118311485,1828.202456878731,1.9966745782345394e6,3723.1239555611974,0.11210547,0.514010013313964,1.998383803491074e6,186.21025216131238,0.070808396,1886.811171514215,1.9965231992255403e6,3933.111679195892,0.066181368,22.155370242195204,1.9977651526928847e6,826.5024105794728,0.059388398
33,1.998569499733222e6,1816.7498075112235,1.996517710999117e6,3868.5385416162317,0.120077034,1801.4893302416895,1.996900811401615e6,3470.1776618486037,0.113747725,0.4232087784912437,1.9983806548978167e6,189.26804418378742,0.072531029,1848.6402693029959,1.996748476886368e6,3669.663116157055,0.068221383,19.372487519169226,1.9974969421576723e6,1091.9300630688667,0.061188746
34,1.998569499733222e6,1789.899066812126,1.9969212031353582e6,3438.19566467579,0.121798493,1772.9363387355115,1.9968825801342817e6,3459.8559376757185,0.115320877,0.3423128679860383,1.9983777851830306e6,192.05686305928975,0.076818345,1816.7364911024924,1.9966253374576005e6,3760.898766723927,0.070409986,17.78705341857858,1.9977286147667528e6,858.6720198877156,0.062712012
35,1.998569499733222e6,1754.300481038401,1.9964660484110266e6,3857.751803233841,0.123553766,1735.6223226080183,1.9966269067629615e6,3678.21529286835,0.119981052,0.26006091316230595,1.998387571617812e6,182.18817632331047,0.078510215,1785.8030996678863,1.996677009369045e6,3678.293463844806,0.072503624,15.28922210005112,1.9977257370319604e6,859.0519233616069,0.064379278
36,1.998569499733222e6,1732.1729385845829,1.9970182437756415e6,3283.4288961650745,0.127816925,1708.0207464050036,1.9967486020761025e6,3528.918403524469,0.121602757,0.1823176157195121,1.9984200748663738e6,149.6071844639373,0.080135372,1756.4898912587669,1.997076506828689e6,3249.4827957917005,0.074398071,13.322935010539368,1.9979604286950082e6,622.3939732243307,0.06586385
37,1.998569499733222e6,1702.9477271947544,1.9969948352848622e6,3277.61217555459,0.12977856,1679.5413970837835,1.9968951824275618e6,3353.858702743775,0.123291339,0.14838421833701432,1.9984560773175883e6,113.570799852052,0.081682151,1728.1359195408877,1.9967713764654356e6,3526.259187327232,0.079138871,11.82622048468329,1.9977628288101759e6,818.4971435307525,0.067928166
38,1.998569499733222e6,1675.6914282387588,1.99663724803935e6,3607.943122110766,0.131417702,1649.9819703272078,1.9964586943072951e6,3760.787396254047,0.124890483,0.12218712852336466,1.998472295523284e6,97.32639706649934,0.08330335,1699.792611453915,1.9966289286598787e6,3640.363684797194,0.081162462,10.660806972300634,1.997897599171971e6,682.5613682232797,0.069752556
39,1.998569499733222e6,1650.6000340825412,1.996910826306609e6,3309.2734606956074,0.133058371,1623.683336265618,1.996740434318047e6,3452.7487514406675,0.129132524,0.10306653124280274,1.9984980567574336e6,71.54604231953272,0.087603405,1674.2948910680134,1.9967544745336664e6,3489.3200906235725,0.083281637,9.209565371507779,1.9978842190001537e6,694.4902984397486,0.071375737
40,1.998569499733222e6,1624.0399404924829,1.996733968664033e6,3459.571009681298,0.134821003,1597.8336506241467,1.9968318176373283e6,3335.515746517747,0.130773832,0.08498033531941473,1.9984995361632167e6,70.04855034057982,0.089423577,1643.578832880361,1.9965449604360969e6,3668.1181300054304,0.085288516,8.270251523004845,1.9979872960540503e6,590.4739306946285,0.07330132
41,1.998569499733222e6,1596.6773304038215,1.9966785509106962e6,3487.6261529297044,0.139133013,1569.8160171059426,1.9968523469361104e6,3286.968814217398,0.132543905,0.06939361453987658,1.998498445941038e6,71.1231857984967,0.090932387,1616.019579197513,1.9965656852051378e6,3619.83410728164,0.087319066,7.388060647295788,1.9979405219098236e6,636.3658840456046,0.075166168
42,1.998569499733222e6,1575.447810220765,1.99708298028277e6,3061.9672606726817,0.140841475,1548.1481186605524,1.9970099944016833e6,3107.653450199141,0.134291067,0.05513590737245977,1.9985069140516028e6,62.64081752643688,0.092451308,1584.5303766431753,1.9969456854553493e6,3208.3446545158513,0.089258238,6.651587297441438,1.997998763257552e6,577.3880629674532,0.077031789
43,1.998569499733222e6,1547.9890569827985,1.9969763266469405e6,3141.162143264228,0.142527367,1526.0186608100776,1.9970698538171344e6,3025.6645768976596,0.135975568,0.04580578557215631,1.9985040398162242e6,65.50572278318577,0.094096284,1558.4394688562024,1.9970548837047117e6,3073.0554973664694,0.091282376,5.868320242734626,1.99798854248008e6,586.8255733847618,0.078901575
44,1.998569499733222e6,1526.831039548153,1.9969880281720383e6,3108.302600731782,0.144214764,1500.6130972530227,1.9968841126727718e6,3186.0001577030635,0.140357268,0.0372090341988951,1.9985081211203379e6,61.41582191834459,0.098471533,1538.5762361788657,1.9970013267737827e6,3106.7491956180893,0.093193948,5.093555914936587,1.9980243268514336e6,550.2664377032779,0.080784125
45,1.998569499733222e6,1502.9108270730358,1.9966934213958436e6,3378.98916445137,0.148612521,1480.2494173955638,1.9969880214558663e6,3061.7276947513164,0.142002482,0.026755721075460315,1.9985107041362645e6,58.822352678427706,0.100183582,1517.0435397916008,1.9969603848063238e6,3126.1584666897543,0.095212797,4.606035785982385,1.9982735816657003e6,300.52410330763087,0.082495415
46,1.998569499733222e6,1477.9885762135964,1.9967720417712005e6,3275.446538235061,0.150367156,1448.325162754627,1.9965519259495826e6,3465.898946394067,0.143599575,0.01473756949417293,1.9985009821045694e6,68.53236622203258,0.101861198,1491.1052324438933,1.9967617117720265e6,3298.893193639349,0.097139752,4.049550513038412,1.9980919915342554e6,481.5577494795434,0.084409307
47,1.998569499733222e6,1447.94951020577,1.996587139209496e6,3430.3100339315715,0.152105414,1428.384696005145,1.9970016941504166e6,2996.190278810449,0.14524551,0.011095618596300483,1.998542535471913e6,26.97535692760721,0.103510627,1464.29526234488,1.9967483740690062e6,3285.420926560648,0.099087069,3.67109605926089,1.9982651250307537e6,308.0457985275425,0.08597705
48,1.998569499733222e6,1420.2776444985066,1.9967973899082835e6,3192.387469436857,0.153749101,1407.7326022901107,1.9969628670281663e6,3014.3653073457244,0.146990322,0.008244297234341502,1.9985430613603697e6,26.446617149427766,0.105333602,1435.6031868208665,1.996683521811225e6,3321.5811088178307,0.101237732,3.3201609912794083,1.9982913724482846e6,281.4474459285848,0.087530092
49,1.998569499733222e6,1404.3764266825747,1.9971147745840882e6,2859.101575816283,0.155404549,1390.6898192160297,1.9971941997297746e6,2765.989822663367,0.152009772,0.006140069803223014,1.998536475902532e6,33.02997075970052,0.109473261,1411.183044459438,1.9966494249888896e6,3331.257788791787,0.103263519,3.0241837555076927,1.9982157859003316e6,356.73801664588973,0.089083246
50,1.998569499733222e6,1385.9614204743411,1.9971434840824946e6,2811.9770712016034,0.159781354,1371.2432945922483,1.9973105306642335e6,2630.2123635807948,0.154265804,0.004584509646520019,1.998546595112295e6,22.909205436590128,0.11129907,1381.5201025775168,1.996851332452361e6,3099.6873834384605,0.10519934,2.67473137867637,1.99818066984535e6,391.5046192505397,0.094045939
51,1.998569499733222e6,1370.8173483384307,1.9973814744306693e6,2558.842650891049,0.161617356,1352.4039415454026,1.9968910921610685e6,3030.81151369898,0.155829598,0.003526796353980899,1.9985471231350272e6,22.38012499100296,0.112843725,1360.1031291952822,1.9974277191297207e6,2501.8837326965295,0.107087705,2.3671729604247957,1.998221084512956e6,350.7823932264,0.09590227
52,1.998569499733222e6,1350.1204287868459,1.9968710695919301e6,3048.550570078776,0.163244832,1336.4674038977828,1.9973290975193973e6,2576.869617722521,0.157457239,0.00248739798553288,1.9985488883020328e6,20.613918587187072,0.114624414,1348.2926501922775,1.9975624912317e6,2355.3011517142877,0.109056529,2.1419779520947486,1.998265536843665e6,306.1048675091006,0.097773025
53,1.998569499733222e6,1331.8467325775418,1.9970035511056362e6,2897.7953601632034,0.164916182,1319.9170394975226,1.997130969586536e6,2758.447186183417,0.159155591,0.0018281654920428991,1.9985543227237863e6,15.178837601066334,0.116372627,1334.9653768960852,1.9975482887890097e6,2356.17632110836,0.111014332,1.9935654166620225,1.998353204362222e6,218.28893641661853,0.099459602
54,1.998569499733222e6,1310.832794973394,1.9971184701679407e6,2761.8623602545413,0.166657284,1301.2303161357995,1.9971405043202196e6,2730.225729138154,0.1634285,0.0012493471149355173,1.998554597213939e6,14.903768629999831,0.120854989,1320.8294307414908,1.9971410778298038e6,2749.251334159635,0.11295334,1.8198113769758493,1.9982781517246077e6,293.16781999124214,0.101398703
55,1.998569499733222e6,1297.4932330336887,1.9972366148504033e6,2630.3781158523925,0.170994483,1285.4952465968672,1.997166089270459e6,2688.9057093596784,0.16525604,0.0007885086815804243,1.998556646883484e6,12.853638246597257,0.122704358,1303.1851600541268,1.9971337774988664e6,2738.9073944096453,0.114887172,1.6970679692458361,1.9983691678725788e6,202.02892861235887,0.103125282
56,1.998569499733222e6,1280.8244044708554,1.9971873598503903e6,2662.9642873023986,0.172762701,1268.085178400157,1.997273436239495e6,2564.1486721270776,0.166913714,0.00047049461863934994,1.9985624422563037e6,7.05794741291902,0.124344501,1287.3464913323987,1.9972435728576803e6,2613.273366874084,0.117947612,1.535353823332116,1.9983197469223514e6,251.2881646938622,0.105033854
57,1.998569499733222e6,1265.7096565181855,1.9973265041950715e6,2508.7051946686406,0.174421271,1254.8489817513619,1.997430449762022e6,2393.898952951422,0.168589918,0.0003587703686207533,1.9985632765004812e6,6.223591511195991,0.126030465,1273.8562256067526,1.9974200580907702e6,2423.297868058551,0.120231603,1.4110387505497783,1.9983790104580782e6,191.9003138942644,0.106523901
58,1.998569499733222e6,1255.3555748935323,1.997566895168775e6,2257.960139340459,0.176216862,1243.5639899249654,1.997549815279035e6,2263.2484441119595,0.172934093,0.00024749315343797207,1.998562707419768e6,6.792560947011225,0.127567741,1260.7274957404006,1.9975037231985638e6,2326.504030398559,0.122333757,1.3107615790795535,1.9983928915812378e6,177.91891356324777,0.108284638
59,1.998569499733222e6,1238.4940223589074,1.997384749852726e6,2423.243902854825,0.180552205,1229.7840403940063,1.99735248602876e6,2446.7977448560123,0.174566146,0.00018700049258768559,1.9985650915086374e6,4.4084115851146635,0.131635009,1248.8185894752387,1.9975371343724271e6,2281.1839502700604,0.124292652,1.1975668568629771,1.9983539124085656e6,216.78489151317626,0.110301053
60,1.998569499733222e6,1227.234561994439,1.9974715288527778e6,2325.2054424385715,0.182221246,1217.9678812597413,1.997502787886545e6,2284.6797279367456,0.176158426,0.0001516470219939947,1.9985657529580886e6,3.7469267802662216,0.133302742,1236.0982072057668,1.9975539201344978e6,2251.6778059299104,0.126396352,1.1120937399100512,1.9983941391544174e6,176.47267254441977,0.111914583
61,1.998569499733222e6,1212.2983612131793,1.9972278157332935e6,2553.9823611417087,0.18391426,1204.5721231007483,1.9974503873075712e6,2323.6845487513638,0.177845184,0.00012013665400445461,1.998565718246151e6,3.781607207551133,0.135084017,1225.8855444162618,1.997331568353782e6,2463.8169238562696,0.128430078,1.0354580774437636,1.998380323028721e6,190.21216257847846,0.114068101
