label,iters,tot_time,avg_time
C-BC-FW,1002,6923.175846316001,6.909357132051897
F-BC-FW,1002,6433.390694733002,6.420549595541918
F-BC-AFW,1002,5913.797200010997,5.901993213583829
F-FW,1002,7891.665825901003,7.875913997905192
F-AFW,1003,7391.071342120002,7.3689644487736805
