iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,6.56093891406035e8,6.602812980587049e8,6.410257313262302e8,1.9255566732474696e7,0.0,6.602900123249383e8,6.410402573733389e8,1.9249754951599397e7,0.0,6.602900123249383e8,6.410402573733389e8,1.9249754951599397e7,0.0,6.669181521218691e8,6.476683971702695e8,1.9249754951599598e7,0.0,6.669181521218691e8,-Inf,Inf,0.0
2,6.56093891406035e8,6.583859868671563e8,6.492200060244709e8,9.165980842685316e6,0.710143897,6.58383973993864e8,6.492195414422164e8,9.16443255164766e6,0.279989218,6.58383973993864e8,6.492195414422164e8,9.16443255164766e6,0.259421904,6.603724254423023e8,6.512015707433087e8,9.170854698993683e6,0.582693042,6.603724254423023e8,6.411226704907027e8,1.9249754951599598e7,0.59864471
3,6.56093891406035e8,6.575963170773152e8,6.520814956530321e8,5.514821424283113e6,1.416067216,6.575987220205201e8,6.520915071213459e8,5.507214899174156e6,0.542430912,6.575987220205201e8,6.520915071213459e8,5.507214899174156e6,0.49518299,6.584679440404043e8,6.529063335775871e8,5.561610462817192e6,1.150910308,6.584679440404042e8,6.492970893414105e8,9.170854698993683e6,1.16140258
4,6.56093891406035e8,6.571661201377976e8,6.532527176203662e8,3.913402517431427e6,2.115409936,6.571655707635647e8,6.532408634633825e8,3.924707300182201e6,0.799590936,6.571655707635647e8,6.532408634633825e8,3.924707300182201e6,0.729333734,6.576605346652383e8,6.536942613796242e8,3.9662732856140137e6,1.71108286,6.57660534653426e8,6.520989241332818e8,5.561610520144224e6,1.731247354
5,6.56093891406035e8,6.569072903908366e8,6.539462858355691e8,2.961004555267431e6,2.826264968,6.569075843722413e8,6.539463623689938e8,2.9612220032475293e6,1.042596192,6.568952030720387e8,6.539339810687912e8,2.9612220032475293e6,0.970254591,6.572187948353539e8,6.541998151767292e8,3.018979658624649e6,2.262923495,6.572187948161368e8,6.532525214843669e8,3.9662733317699432e6,2.297735803
6,6.56093891406035e8,6.567418189675012e8,6.544034566813469e8,2.338362286154289e6,3.542271041,6.567425320573378e8,6.544061574182853e8,2.3363746390525512e6,1.302236701,6.56695433035429e8,6.541931899293942e8,2.502243106034793e6,1.211185591,6.569532693382425e8,6.545683875607114e8,2.384881777531147e6,2.819653385,6.569532693125492e8,6.53934289605148e8,3.0189797074012756e6,2.867324227
7,6.56093891406035e8,6.566254381592461e8,6.546934502487099e8,1.9319879105361942e6,4.262172883,6.566258433398781e8,6.546898407246743e8,1.9360026152037606e6,1.548567116,6.565438917996113e8,6.542935987416794e8,2.250293057931943e6,1.420802661,6.56782440892441e8,6.548106984832413e8,1.9717424091997147e6,3.367873843,6.567542886220378e8,6.543694068139576e8,2.3848818080801964e6,3.343177808
8,6.56093891406035e8,6.565422174690529e8,6.549296863203984e8,1.6125311486544535e6,4.98987578,6.565444895643872e8,6.549258506583738e8,1.6186389060133975e6,1.790014488,6.564406991460648e8,6.546077366921663e8,1.8329624538984764e6,1.669154241,6.566623594628731e8,6.549784412356342e8,1.6839182272388935e6,3.931100391,6.565891991003575e8,6.542165027488878e8,2.372696351469755e6,3.897168237
9,6.56093891406035e8,6.564771188930386e8,6.550696367262156e8,1.407482166823022e6,5.704159397,6.564772518609562e8,6.550661391531264e8,1.4111127078298796e6,2.038337541,6.563714004867511e8,6.548810152570591e8,1.4903852296920326e6,1.905992202,6.565689727356232e8,6.551148049715091e8,1.4541677641141415e6,4.493148128,6.564778689269726e8,6.545618016341763e8,1.9160672927963734e6,4.467458839
10,6.56093891406035e8,6.564285881715217e8,6.552058877982848e8,1.2227003732368685e6,6.430452247,6.564286666550298e8,6.552080770754523e8,1.2205895795774087e6,2.282569959,6.563197273167294e8,6.550546472731441e8,1.2650800435853265e6,2.137690302,6.565029091305275e8,6.552707113719342e8,1.2321977585933208e6,5.044134887,6.563997825130501e8,6.548379204154959e8,1.5618620975542068e6,5.039339593
11,6.56093891406035e8,6.563901929844992e8,6.553150215271059e8,1.0751714573933054e6,7.13696907,6.56390629485093e8,6.553173218482138e8,1.0733076368792579e6,2.540378801,6.562786186845127e8,6.551743145544667e8,1.1043041300460529e6,2.38522966,6.564540014475876e8,6.553684126278507e8,1.0855888197369576e6,5.596554684,6.563411626478707e8,6.549757005625607e8,1.3654620853099823e6,5.593712123
12,6.56093891406035e8,6.563571777759869e8,6.554040716537826e8,953106.1222042684,7.891989201,6.563576622008526e8,6.554006041625302e8,957058.0383223966,2.793875134,6.562475829898515e8,6.552710716697158e8,976511.3201356865,2.628692808,6.564153407027323e8,6.554152587355397e8,1.0000819671926498e6,6.142199768,6.56298676483906e8,6.551462663754547e8,1.1524101084513664e6,6.153746267
13,6.56093891406035e8,6.563327935857553e8,6.554789315204139e8,853862.0653415006,8.780647925,6.563332178402276e8,6.554816135165408e8,851604.323686799,3.051941504,6.562249670014256e8,6.55399274870202e8,825692.1312236786,2.870495541,6.563791043318715e8,6.554836558165247e8,895448.5153467655,6.711810179,6.562669360021057e8,6.552731438034558e8,993792.1986498833,6.70831884
14,6.56093891406035e8,6.56311139265691e8,6.555330261377308e8,778113.1279602479,9.405783247,6.563112689763997e8,6.555260052966831e8,785263.6797165647,3.310457324,6.562051371394631e8,6.554769507367193e8,728186.4027438015,3.105984551,6.563514493676642e8,6.555009429394273e8,850506.4282369614,7.260684926,6.562438781411761e8,6.553996974926912e8,844180.6484849453,7.268752511
15,6.56093891406035e8,6.56292286886005e8,6.555634345659606e8,728852.3200444002,10.025250964,6.562925467199633e8,6.555689422199799e8,723604.4999834057,3.56109444,6.561901142847223e8,6.555411734743984e8,648940.8103239685,3.337253337,6.5632672094066e8,6.555438522718494e8,782868.668810606,7.803783899,6.56221921457069e8,6.554479632434047e8,773958.2136642933,7.822332087
16,6.56093891406035e8,6.562759026970398e8,6.556094143659753e8,666488.3310645428,10.651824224,6.562762142749697e8,6.556097558628314e8,666458.4121383857,3.824307897,6.561776676535592e8,6.555947567274519e8,582910.9261073079,3.586269083,6.563063660959363e8,6.556260867549386e8,680279.3409976959,8.352669783,6.562042608365405e8,6.554892355055506e8,715025.3309898376,8.386747434
17,6.56093891406035e8,6.562632131942227e8,6.556594824829155e8,603730.7113072146,11.27727289,6.562633992003736e8,6.556568969968238e8,606502.2035498358,4.072665917,6.561673866799412e8,6.556534321829256e8,513954.4970156513,3.839389869,6.562906686358075e8,6.556633081597803e8,627360.4760272503,8.906394492,6.561885505173268e8,6.555141038716178e8,674446.6457090378,8.947146586
18,6.56093891406035e8,6.562520513114123e8,6.55699928759418e8,552122.5519943722,11.880990539,6.562525638538439e8,6.557093995194893e8,543164.334354639,4.321809369,6.561585683795109e8,6.556688596272819e8,489708.7522290349,4.088538156,6.562774191524422e8,6.557075071509652e8,569912.0014770031,9.453802846,6.561770504709193e8,6.55591020130469e8,586030.3404502869,9.504989915
19,6.56093891406035e8,6.5624269625686e8,6.557380246465459e8,504671.6103141606,12.464041746,6.562431241373309e8,6.557345167509596e8,508607.38637122326,4.589338558,6.561512346531696e8,6.557236608456963e8,427573.8074732758,4.338614957,6.56265331002923e8,6.557310005378997e8,534330.4650232792,10.013128741,6.561678495554562e8,6.556490876145208e8,518761.9409353733,10.064537672
20,6.56093891406035e8,6.5623488789041e8,6.557715425492884e8,463345.3411215171,13.096383646,6.562352362948567e8,6.55773177224236e8,462059.0706205964,4.879195842,6.561451025237858e8,6.557554099542446e8,389692.5695412345,4.576464926,6.562542680101471e8,6.557366034448822e8,517664.56526494026,10.561322932,6.561600773366158e8,6.556949625790179e8,465114.7575979233,11.353361008
21,6.56093891406035e8,6.562284252281319e8,6.558078253174324e8,420599.910699524,13.882677416,6.5622878028267e8,6.558086000473365e8,420180.2353335172,5.150079134,6.56139697172836e8,6.557766427843326e8,363054.3885033205,4.836145844,6.562449987764533e8,6.557750371711316e8,469961.60532164574,11.112768581,6.561542763481362e8,6.557349198291395e8,419356.51899671555,12.487954711
22,6.56093891406035e8,6.562218358211762e8,6.558189823201547e8,402853.5010214653,14.621194639,6.56222109644905e8,6.558176912962847e8,404418.348620303,5.416410328,6.561347276967562e8,6.55803488943858e8,331238.7528981697,5.086242903,6.562375197358055e8,6.558007854482045e8,436734.2876009941,11.660091176,6.561487900788735e8,6.557709594862796e8,377830.5925939083,13.045686135
23,6.56093891406035e8,6.56215825731875e8,6.558136783012859e8,402147.4305891227,15.418461083,6.562161969304835e8,6.558143636099719e8,401833.32051154226,5.678805421,6.561308221406233e8,6.558302114555038e8,300610.6851195358,5.329630247,6.562307760816364e8,6.558023790559576e8,428397.02567887306,12.213081534,6.561438199559067e8,6.557753814702333e8,368438.4856734276,13.599046644
24,6.56093891406035e8,6.562103894937989e8,6.55826810895843e8,383578.59795576334,16.197740306,6.562108875558499e8,6.558307041558957e8,380183.39995425753,5.953773356,6.561269249741673e8,6.558347068920381e8,292218.08212918416,5.57994996,6.562240108919907e8,6.558001326861715e8,423878.20581912994,12.768390676,6.561396356512762e8,6.557880329537765e8,351602.69749975204,14.15972666
25,6.56093891406035e8,6.562055093414307e8,6.558486649974108e8,356844.3440198451,17.040756803,6.562060319841489e8,6.558489422530497e8,357089.73109908216,6.225885078,6.561233910099483e8,6.558398842588389e8,283506.75110939145,5.844310499,6.562173637960296e8,6.558303089971831e8,387054.79884648323,13.321705718,6.561355523549714e8,6.557961017992263e8,339450.5557451248,14.715926247
26,6.56093891406035e8,6.562010677114426e8,6.55856813152708e8,344254.55873456225,17.903984887,6.562015209033909e8,6.558550210339247e8,346499.86946615204,6.519503566,6.561209257538257e8,6.558936716049685e8,227254.14885712415,6.09276159,6.562121006836197e8,6.558416342511501e8,370466.4324696064,13.880974163,6.561327725751643e8,6.558418577337248e8,290914.84143948555,15.279749417
27,6.56093891406035e8,6.561974042116146e8,6.558870712346909e8,310332.9769236557,18.830899315,6.56197874432817e8,6.558856436173368e8,312230.8154802099,6.783577622,6.561188911531912e8,6.559188764614925e8,200014.69169867598,6.326570252,6.562071314507322e8,6.558547607332537e8,352370.7174785137,14.433323502,6.561307865874677e8,6.558870888793867e8,243697.708081007,15.832808904
28,6.56093891406035e8,6.561939387381451e8,6.559037255237299e8,290213.2144152187,19.547087041,6.561942751965203e8,6.559041553163736e8,290119.8801467456,7.067968947,6.561169623555517e8,6.55929597878344e8,187364.47720764577,6.578369534,6.562021844780076e8,6.55858587847475e8,343596.6305325031,14.981516678,6.561289683732464e8,6.559074386969855e8,221529.67626094818,16.393581115
29,6.56093891406035e8,6.561909306794102e8,6.559117718200122e8,279158.8593980577,20.407627379,6.561910435238574e8,6.559068862907063e8,284157.23315106705,7.343808282,6.56115251250443e8,6.559356332970369e8,179617.95340605825,6.825642029,6.5619796762573e8,6.558739098343003e8,324057.7914297581,15.531858416,6.561271616114058e8,6.559067530362821e8,220408.57512378693,16.949106875
30,6.56093891406035e8,6.561875721842602e8,6.559047045409031e8,282867.6433571242,21.018375896,6.561878440180901e8,6.559009944371108e8,286849.58097932674,7.615918739,6.561137016194298e8,6.559479868844527e8,165714.73497712426,7.08206252,6.561941335091473e8,6.558780096701902e8,316123.8389570713,16.078172099,6.561252276459576e8,6.559012200395778e8,224007.6063797474,17.50285457
31,6.56093891406035e8,6.561844746229107e8,6.558997984720359e8,284676.1508748904,21.598537678,6.561847817977269e8,6.558997800654069e8,285001.7323199846,7.896418695,6.561122574579079e8,6.559516614070505e8,160596.05085739866,7.326209483,6.561905355228658e8,6.558942184440804e8,296317.07878541946,16.622379323,6.561232456589123e8,6.558964187171437e8,226826.94176864624,18.054686317
32,6.56093891406035e8,6.561817928057686e8,6.55908498081913e8,273294.7238555588,22.21446031,6.561821567221333e8,6.559163873639623e8,265769.3581709899,8.16440627,6.561109825052563e8,6.559637742914366e8,147208.21381979436,7.576611972,6.56187553507258e8,6.559284746103188e8,259078.89693927765,17.172797617,6.561216070463133e8,6.559079860399182e8,213621.00639510155,18.612709587
33,6.56093891406035e8,6.561794828239071e8,6.559292716315479e8,250211.19235926494,22.839764192,6.561799963947959e8,6.559373290587902e8,242667.33600564487,8.436243261,6.56109844046769e8,6.559772388974373e8,132605.14933166653,7.841964619,6.56185309405993e8,6.55941543724154e8,243765.68183898926,17.723325696,6.561202481234689e8,6.559236271683099e8,196620.9551589489,19.168466906
34,6.56093891406035e8,6.561775338096156e8,6.559507507878007e8,226783.02181491628,23.40910694,6.561779595441566e8,6.559531302695097e8,224829.27464686893,8.698286918,6.561087306449816e8,6.559756181431158e8,133112.50186591037,8.112286527,6.5618294647156e8,6.559270953278673e8,255851.14369273186,18.279508482,6.561188631853551e8,6.559264632374617e8,192399.94789338112,19.72910339
35,6.56093891406035e8,6.56175633637515e8,6.559627007706466e8,212932.8668683432,23.996956212,6.5617615343181e8,6.559632087498732e8,212944.68193684146,8.956342462,6.561077169482718e8,6.559811537149692e8,126563.23330260627,8.372185064,6.561805912386792e8,6.559213548386867e8,259236.39999246597,18.826150192,6.561177304992096e8,6.559438939780171e8,173836.52119255066,20.295029771
36,6.56093891406035e8,6.561738116870174e8,6.559626744916643e8,211137.19535317086,24.58762245,6.56174315031812e8,6.55962752910375e8,211562.12143693678,9.226766021,6.561068388868407e8,6.55993437557586e8,113401.32925480418,8.610058465,6.56177857025256e8,6.559252593591369e8,252597.66611909866,19.377174016,6.56116604298409e8,6.5594732385957e8,169280.43883895874,20.861134261
37,6.56093891406035e8,6.561721891290663e8,6.559657091224992e8,206480.0065670684,25.182482915,6.561726386854858e8,6.559620817666112e8,210556.91887466237,9.486695875,6.561060249199486e8,6.560005325992874e8,105492.32066119649,8.866335834,6.561755531813637e8,6.559296902025398e8,245862.97882390022,20.133538372,6.561156854479544e8,6.559564043119266e8,159281.13602781296,21.425727199
38,6.56093891406035e8,6.561705674221759e8,6.55972224133958e8,198343.28821795434,25.832663882,6.561708684047171e8,6.559657686644568e8,205099.74026022665,9.972296955,6.561053163746357e8,6.56006914549787e8,98401.82484863326,9.097866431,6.561733954270906e8,6.559352874051261e8,238108.02196455002,21.433447163,6.561147930751786e8,6.559569531953282e8,157839.87985038757,21.984275501
39,6.56093891406035e8,6.561689678763062e8,6.55970160557547e8,198807.31875916943,26.512591223,6.561691461099076e8,6.559576857776265e8,211460.33228117228,10.204878703,6.561046809608624e8,6.560125272754495e8,92153.68541293405,9.76771737,6.561713127261524e8,6.559372914101288e8,234021.31602358818,22.336040966,6.561139610883603e8,6.559627533811905e8,151207.7071697712,22.548135806
40,6.56093891406035e8,6.561673180805359e8,6.559624920528107e8,204826.02772516944,27.127484153,6.561674975114468e8,6.559603461320443e8,207151.3794025276,10.444778772,6.561040665902638e8,6.560182160890205e8,85850.5012434125,10.009450088,6.561692646498553e8,6.559464645160395e8,222800.13381576538,22.886326101,6.561132259130254e8,6.559695614411533e8,143664.4718720913,23.1232743
41,6.56093891406035e8,6.561658749112694e8,6.559683119514626e8,197562.95980677754,27.759292314,6.561661152560678e8,6.559744647916514e8,191650.46441640332,10.687684078,6.561034935378315e8,6.560201260029703e8,83367.53486122563,10.245863299,6.561674609058914e8,6.559524451574554e8,215015.74843597412,23.434376671,6.561125831894463e8,6.559799638850554e8,132619.3043909073,23.685528624
42,6.56093891406035e8,6.561643802063622e8,6.559708484063822e8,193531.7999800183,28.440285661,6.561647221572675e8,6.559773357941198e8,187386.363147581,10.934167917,6.561029896896062e8,6.560264342483358e8,76555.44127032161,10.469287829,6.561657788811997e8,6.559648508767205e8,200928.00447916985,23.996698264,6.561119584718817e8,6.559818592810634e8,130099.19081830978,24.247202872
43,6.56093891406035e8,6.561629587057557e8,6.559702189532806e8,192739.75247517228,29.160156443,6.561632978719988e8,6.559727197128551e8,190578.1591436416,11.159438564,6.561025073625822e8,6.560285233614823e8,73984.00109994784,10.691469172,6.561643601673676e8,6.559679607252725e8,196399.44209504128,24.546241294,6.561114588429463e8,6.55994746414001e8,116712.42894530296,24.814776536
44,6.56093891406035e8,6.561617809542115e8,6.559831233871831e8,178657.56702844054,29.886997943,6.561620930924969e8,6.559848038048424e8,177289.28765447438,11.38050959,6.561020521504033e8,6.560315540004872e8,70498.1499160491,10.913596949,6.561627608684514e8,6.559676182915795e8,195142.57687187195,25.103358055,6.561109594425497e8,6.559943053854971e8,116654.0570526123,25.379126372
45,6.56093891406035e8,6.561606671768613e8,6.559894462180078e8,171220.9588534925,30.712918136,6.561611062047846e8,6.559971495267439e8,163956.67804070562,11.611718958,6.561016583447608e8,6.560360647591206e8,65593.58564016409,11.142840179,6.561613892171429e8,6.559722905832857e8,189098.6338572502,25.662857154,6.561103975350428e8,6.559932097088728e8,117187.82616996765,25.947786584
46,6.56093891406035e8,6.561597278266207e8,6.560078472727841e8,151880.5538365338,31.327391044,6.561600622701987e8,6.559975870794864e8,162475.1907123234,11.837772821,6.561012908577267e8,6.560402185418316e8,61072.31589502655,11.377292522,6.561600973490998e8,6.559829373750051e8,177159.9740946293,26.235897983,6.56109853851022e8,6.559891507414746e8,120703.10954737663,26.509096283
47,6.56093891406035e8,6.561587808713721e8,6.560085131920644e8,150267.6793076992,31.955389804,6.561591109510678e8,6.560060803267109e8,153030.62435692362,12.069787838,6.561009442618366e8,6.560444073536854e8,56536.90815122612,11.606607342,6.561589804589467e8,6.559936037525473e8,165376.70639944077,26.798142838,6.561093747201385e8,6.55995818266397e8,113556.45374155045,27.064532922
48,6.56093891406035e8,6.561578065630165e8,6.559989993663325e8,158807.1966840066,32.533137853,6.561581433529795e8,6.560039819557999e8,154161.39717955142,12.304296492,6.561006248611239e8,6.560465331193365e8,54091.741787455976,11.82428775,6.561580088083577e8,6.559922792771215e8,165729.53123617172,27.364580063,6.561089606198891e8,6.56002740927915e8,106219.69197416306,27.622203928
49,6.56093891406035e8,6.561568490694332e8,6.559990951660105e8,157753.90342267975,33.133973243,6.561571691183693e8,6.559970043948523e8,160164.72351706773,12.529069956,6.561003340023003e8,6.560484103615646e8,51923.64073561132,12.057024458,6.561569836275742e8,6.559967724184966e8,160211.20907759666,27.921750234,6.56108634099381e8,6.560125048957963e8,96129.20358467102,28.190227329
50,6.56093891406035e8,6.561559467556953e8,6.560002858383569e8,155660.91733853146,33.7867196,6.561562657108067e8,6.560041728790201e8,152092.83178667538,12.757128858,6.561000617804635e8,6.560506389144907e8,49422.865972768515,12.287891714,6.561559335464478e8,6.559954025460088e8,160531.0004389286,28.478834447,6.561082992235936e8,6.560139486723601e8,94350.55123353004,28.75174266
51,6.56093891406035e8,6.56155089484153e8,6.560050648264602e8,150024.65769277886,34.45802366,6.561554236630471e8,6.560024513975843e8,152972.26546270028,12.988429393,6.560997932580006e8,6.56051563553494e8,48229.70450669341,12.516912805,6.561550170453141e8,6.559953528819251e8,159664.1633889675,29.03463004,6.561079376064329e8,6.560112647739787e8,96672.83245420456,29.468448091
52,6.56093891406035e8,6.56154267530932e8,6.560062188393884e8,148048.69154356606,35.117342438,6.561546471390107e8,6.560111450504307e8,143502.08858000487,13.218260382,6.560995457932391e8,6.560528006446383e8,46745.14860086702,12.73825597,6.561539845150857e8,6.559871443931077e8,166840.1219780445,29.58429457,6.56107579712408e8,6.560089007095991e8,98679.00280880928,30.808907438
53,6.56093891406035e8,6.561534038057117e8,6.560082496705201e8,145154.1351916697,35.707310925,6.561539170152497e8,6.5601617846841e8,137738.5468397271,13.449249728,6.56099299545135e8,6.560547179015678e8,44581.64356725477,12.977244382,6.561529642519712e8,6.559912553848298e8,161708.8671414852,30.145075835,6.561072284872258e8,6.560095434748759e8,97685.01234984398,31.744228829
54,6.56093891406035e8,6.561525080942173e8,6.560022197117567e8,150288.38246056437,36.316497528,6.56153102592166e8,6.560150113097533e8,138091.28241263703,13.673483901,6.560990737431073e8,6.560574899589227e8,41583.78418452479,13.209938806,6.561520361804898e8,6.559984342911732e8,153601.88931655884,30.697697758,6.561069228692689e8,6.560162005443697e8,90722.32489919662,32.308014696
55,6.56093891406035e8,6.561517718508513e8,6.560120915096282e8,139680.3412230909,36.979684596,6.561522255427386e8,6.560035541387573e8,148671.40398126654,13.894399788,6.560988557362158e8,6.560581651581945e8,40690.5780212488,13.440220625,6.56151192914283e8,6.559974193758519e8,153773.5384311676,31.262036649,6.561066062116299e8,6.560155874968028e8,91018.7148270607,32.874622449
