iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,4.039301656266415e7,4.179231352711352e7,3.586261837698641e7,5.92969515012711e6,0.0,4.179231712903726e7,3.586707769987199e7,5.925239429165271e6,0.0,4.179231712903726e7,3.586707769987199e7,5.925239429165271e6,0.0,4.368196842967333e7,3.7756729000508055e7,5.925239429165274e6,0.0,4.368196842967333e7,-Inf,Inf,0.0
2,4.039301656266415e7,4.123252968587018e7,3.841553080618258e7,2.816998879687596e6,0.198262215,4.12327793600229e7,3.839708513243225e7,2.8356942275906494e6,0.161127652,4.12327793600229e7,3.839708513243225e7,2.8356942275906494e6,0.153764213,4.179328842052695e7,3.8955925286891505e7,2.8373631336354464e6,0.187039586,4.179328842052695e7,3.586804899136168e7,5.925239429165274e6,0.188838128
3,4.039301656266415e7,4.097473108484038e7,3.918474859686768e7,1.789982487972699e6,0.397659587,4.097474102344091e7,3.917974362907803e7,1.7949973943628808e6,0.321284862,4.097474102344091e7,3.917974362907803e7,1.7949973943628808e6,0.30684841,4.123319324741858e7,3.9440031633046344e7,1.7931616143722385e6,0.371574918,4.123319324741859e7,3.839583011378313e7,2.8373631336354613e6,0.419796841
4,4.039301656266415e7,4.0826081639680356e7,3.951874959627762e7,1.3073320434027417e6,0.592688005,4.082601747180681e7,3.9524011645690344e7,1.3020058261164632e6,0.480717736,4.082601747180681e7,3.9524011645690344e7,1.3020058261164632e6,0.459407711,4.097583056514275e7,3.967454610689469e7,1.301284458248064e6,0.556638076,4.097583056761147e7,3.918266896530214e7,1.7931616023093313e6,0.602037811
5,4.039301656266415e7,4.073052633908803e7,3.970497869661694e7,1.0255476424710928e6,0.78779681,4.073049028873026e7,3.969442471722917e7,1.0360655715010874e6,0.640400785,4.073049028873026e7,3.969442471722917e7,1.0360655715010874e6,0.611719753,4.082760565340582e7,3.978510886192102e7,1.042496791484803e6,0.748616852,4.082760565706076e7,3.9526321206284285e7,1.3012844507764727e6,0.78414325
6,4.039301656266415e7,4.06629460104736e7,3.9819446895996764e7,843499.114476841,0.989992517,4.0664142714734435e7,3.982336651226827e7,840776.2024661684,0.801065756,4.0664142714734435e7,3.982336651226827e7,840776.2024661684,0.763987732,4.072836954432082e7,3.9888125066011846e7,840244.4783089757,0.930108823,4.072836954780017e7,3.9685872756035596e7,1.0424967917645723e6,0.96632252
7,4.039301656266415e7,4.061391846726748e7,3.990616650499303e7,707751.9622744545,1.188017053,4.061549107123637e7,3.989883377098541e7,716657.3002509642,0.96460325,4.06122753432588e7,3.9895618043007836e7,716657.3002509642,0.917077696,4.0661996568199426e7,3.994713493468408e7,714861.6335153431,1.11224866,4.0661996571753256e7,3.9821752094657235e7,840244.4770960212,1.150252458
8,4.039301656266415e7,4.057613707653588e7,3.995657764231005e7,619559.4342258275,1.384470896,4.057686993788603e7,3.9954199023267806e7,622670.9146182202,1.123912832,4.057084743726026e7,3.9925353890298076e7,645493.5469621895,1.062519168,4.061212475647645e7,3.999660706925e7,615517.6872264445,1.293845392,4.0612124761653855e7,3.98972631422378e7,714861.6194160581,1.332160951
9,4.039301656266415e7,4.054600854843671e7,3.999058164225197e7,555426.9061847413,1.585773354,4.054594370164024e7,3.999531851870216e7,550625.1829380831,1.283495931,4.053359846460438e7,3.991715843574867e7,616440.028855714,1.21041691,4.057577033658174e7,4.002427330247411e7,551497.0341076255,1.480972116,4.056757425370882e7,3.995205656797729e7,615517.6857315302,1.48229189
10,4.039301656266415e7,4.052274738903339e7,4.004166243156612e7,481084.9574672729,1.783181973,4.052264015695524e7,4.004144855851078e7,481191.5984444637,1.446330982,4.050518951591334e7,3.99750837630769e7,530105.7528364379,1.368377198,4.0545815486499324e7,4.007449272546172e7,471322.761037603,1.663485341,4.053265514282966e7,3.9925200997228e7,607454.14560166,1.666154435
