iter,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,12945.441345047951,-2.7542774872865442e7,2.755572031421049e7,0.0,13294.837925690414,-2.7490078665042695e7,2.7503373502968386e7,0.0,13294.837925690414,-2.7490078665042695e7,2.7503373502968386e7,0.0,1.3515476746493775e7,-1.3987896756474614e7,2.750337350296839e7,0.0,1.3515476746493775e7,-Inf,Inf,0.0
2,9418.086412322522,-262138.37230327894,271556.4587156015,0.584901315,9418.41607490182,-262961.101866347,272379.51794124884,0.218290906,9418.41607517004,-262961.1018660788,272379.51794124884,0.175474008,21342.018368536235,-430421.35310311004,451763.3714716463,0.493013972,21342.018368536235,-2.7482031484599855e7,2.750337350296839e7,0.461953989
3,8507.0129655838,-131950.71722949372,140457.7301950775,1.050353163,8507.384292966128,-132248.07333215984,140755.45762512597,0.513968202,8379.100005328655,-132376.3176340786,140755.41763940724,0.350742853,11830.270645481349,-209087.32735410877,220917.59799959013,0.992257135,11830.27064549327,-439933.100826153,451763.3714716463,0.936437112
4,8226.571981775762,-67689.89296701318,75916.46494878894,1.656855837,8226.919654709101,-67614.74534823975,75841.66500294885,0.714523587,6419.449260586501,-197465.7605684684,203885.2098290549,0.532524038,9487.170680999756,-104400.44477210056,113887.61545310031,1.487950266,9487.170407956839,-211430.44074153385,220917.6111494907,1.396354316
5,8148.007693332434,-31631.226212817073,39779.23390614951,2.264067984,8148.417862778902,-31606.793604253762,39755.21146703266,0.900767349,5884.562967693806,-97823.69611987463,103708.25908756844,0.716087322,8827.253842449189,-51962.96899111112,60790.22283356031,1.98524809,7876.4906448304655,-106011.18011690848,113887.67076173895,1.844629155
6,8126.432038664818,-12513.636087695551,20640.06812636037,3.161362244,8126.862473273278,-12345.596294589872,20472.45876786315,1.115908221,4943.478245013953,-51499.2260676533,56442.70431266725,0.89487629,8630.022569864988,-23709.878528771784,32339.901098636772,2.484834296,6581.6370700955395,-153726.1168608015,160307.75393089704,2.306105435
7,5814.073351365329,-13145.207360156099,18959.280711521427,3.729847139,5814.176051032544,-13507.152587191209,19321.328638223753,1.326755966,4288.1139135479925,-112159.63331924927,116447.74723279726,1.062112409,8575.265112066269,-9936.946908971955,18512.212021038224,2.979185966,5758.002140212059,-77514.41393686988,83272.41607708194,2.749193398
8,4982.868326282502,-125125.47347381143,130108.34180009394,4.295301303,4982.945889103413,-125358.97638572195,130341.92227482537,1.543078342,4030.1246734797955,-57487.13700048011,61517.2616739599,1.241605382,6208.1894480884075,-130656.61564179652,136864.80508988493,3.458704872,4789.061681711674,-135428.5366661681,140217.59834787977,3.22073924
9,4751.706998664141,-62737.57983896618,67489.28683763032,4.832782792,4751.752181643248,-62009.155198978646,66760.9073806219,1.760190703,3583.197969120741,-90400.11537423021,93983.31334335095,1.405505077,5284.339768218994,-66925.1314104173,72209.4711786363,3.95131233,4665.365480571985,-69954.215633063,74619.58111363498,3.656230766
10,4683.012160199881,-32617.067877809615,37300.080038009495,5.421109481,4682.889453631639,-32902.463997447136,37585.35345107877,1.954713856,3388.775214791298,-45862.706089387146,49251.481304178444,1.578376268,5018.4129770159725,-32637.080528518934,37655.493505534905,4.44319368,4274.706687992812,-82911.16807031573,87185.87475830855,4.116246485
11,4663.148852139711,-15165.150860228587,19828.299712368298,6.002262296,4662.965872120857,-15956.772918253544,20619.738790374402,2.163946944,3083.393290400505,-74988.88988511669,78072.2831755172,1.738428443,4944.7857285976415,-15412.86710430498,20357.652832902622,4.898220522,3822.1559749364856,-43113.965765600646,46936.12174053713,4.5623905
12,4657.202080273629,-6012.5009854095015,10669.70306568313,6.60394906,4657.0172218978405,-6234.855056172997,10891.872278070838,2.376204102,2911.9312472462657,-38789.1327235662,41701.063970812465,1.903128037,4923.035903513432,-5926.627351946889,10849.66325546032,5.356029231,3424.9021817564967,-84990.59853556547,88415.50071732196,5.020718117
13,3756.8968862831593,-7258.535794990665,11015.432681273824,7.183637375,3756.926264917851,-7144.354333861362,10901.280598779213,2.590381508,2685.091847997904,-64726.982033327644,67412.07388132554,2.066678718,4916.787540113926,-6407.291801350533,11324.07934146446,5.818942422,3216.993484860659,-45498.503812181356,48715.49729704201,5.466251265
14,3396.892278659344,-81800.86089044677,85197.75316910612,7.681520599,3396.85392729044,-81132.42059439044,84529.27452168088,2.80261769,2516.3244664371014,-34780.62712869277,37296.951595129874,2.257031627,3935.349040603638,-83440.64671343111,87375.99575403475,6.260808669,2926.063720160723,-72823.93602859841,75749.99974875913,5.930335619
15,3292.776431781054,-42841.82225413478,46134.59868591583,8.203579755,3292.718345922232,-43249.688070002536,46542.406415924765,3.004681453,2311.535472285748,-61601.10515661839,63912.64062890413,2.414411783,3552.5105151176454,-43940.89175819532,47493.40227331297,6.721029481,2813.218919634819,-39205.01460351974,42018.23352315456,6.373396266
16,3259.41908878088,-21859.989183264493,25119.408272045373,8.730742344,3259.364948934317,-21978.402050949087,25237.766999883406,3.216782778,2219.811767756939,-31124.545944703117,33344.357712460056,2.597683981,3433.2707781076433,-21600.612888605596,25033.88366671324,7.18223008,2604.727593702078,-59948.550275554386,62553.27786925646,6.834320978
17,3250.3824889779094,-10210.585730154053,13460.968219131963,9.44955858,3250.3190133035187,-10038.12486535941,13288.443878662929,3.419405348,2079.5137318134307,-50696.636995560875,52776.150727374305,2.761591395,3400.718455249071,-10148.531173844241,13549.249629093312,7.636374798,2555.7901592969897,-29985.02832124795,32540.818480544942,7.275949526
18,2807.987067943812,-4597.969738638869,7405.956806582681,9.986751549,2807.953043830395,-4764.187004644884,7572.140048475279,3.617733224,2004.4996908485891,-25733.170291336643,27737.66998218523,2.946554432,3391.035953295231,-4208.0623184331325,7599.098271728363,8.096709519,2460.17879383564,-37797.669036493695,40257.84783032934,7.710717024
19,2598.0136262059214,-61850.07940905622,64448.09303526214,10.476784398,2597.9411857366563,-61352.65477789638,63950.59596363304,3.830244908,1901.5241280794144,-43009.83197389813,44911.356101977544,3.101897286,2917.1739387393,-63117.29760873047,66034.47154746977,8.548802232,2279.3059048175814,-57621.913373836884,59901.21927865446,8.168811029
20,2536.0440932989122,-32137.429582729597,34673.47367602851,10.994027598,2535.983672988415,-32514.54357986456,35050.527252852975,4.032287533,1826.5462890684605,-22414.561801405038,24241.1080904735,3.271618662,2691.5045999825,-31896.051437568465,34587.55603755097,9.009474046,2195.8096835911274,-29588.69693115203,31784.506614743157,8.609271519
21,2517.4154898762704,-16611.1537447956,19128.56923467187,11.507034652,2517.3204778373242,-16507.278778179963,19024.59925601729,4.238866802,1737.1608519196511,-40202.075030696746,41939.2358826164,3.419759367,2630.346119606495,-15993.370238703943,18623.716358310437,9.466132606,2069.08314229846,-47700.72684582759,49769.80998812605,9.073654208
