iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,6.601871692041699e8,6.646076929563121e8,6.448383909626322e8,1.9769301993679933e7,0.0,6.645938047493467e8,6.448257217718323e8,1.9768082977514375e7,0.0,6.645938047493467e8,6.448257217718323e8,1.9768082977514375e7,0.0,6.71601794906411e8,6.518337119288968e8,1.9768082977514267e7,0.0,6.71601794906411e8,-Inf,Inf,0.0
2,6.601871692041699e8,6.626365122247014e8,6.532504911960428e8,9.386021028658673e6,0.800720482,6.626353107510766e8,6.532591900744328e8,9.376120676643725e6,0.257614844,6.626353107510766e8,6.532591900744328e8,9.376120676643725e6,0.273121623,6.647018000917742e8,6.553564146633415e8,9.345385428432703e6,0.574990894,6.647018000917742e8,6.4493371711426e8,1.9768082977514267e7,0.530218807
3,6.601871692041699e8,6.617762112381461e8,6.560140684356711e8,5.762142802474963e6,1.574006196,6.617755343802105e8,6.560214960051837e8,5.754038375026785e6,0.488594441,6.617755343802105e8,6.560214960051837e8,5.754038375026785e6,0.523034653,6.627384774947166e8,6.5691836519631e8,5.820112298406601e6,1.120488825,6.627384774947171e8,6.533930920662844e8,9.345385428432703e6,1.065076582
4,6.601871692041699e8,6.613046176876659e8,6.57205204106174e8,4.0994135814919155e6,2.348827166,6.613041958059117e8,6.572060532752566e8,4.0981425306549855e6,0.696677721,6.613431823829421e8,6.57245039852287e8,4.0981425306549855e6,0.7567929,6.618593587423844e8,6.576949909595876e8,4.1643677827968597e6,1.661713776,6.618593587424287e8,6.560392464442343e8,5.820112298194408e6,1.562280534
5,6.601871692041699e8,6.610453624072068e8,6.580759101183205e8,2.969452288886357e6,3.139711609,6.61044886761383e8,6.58070018619027e8,2.9748681423560157e6,0.910571354,6.61010749167058e8,6.575357117251515e8,3.475037441906508e6,0.987588303,6.613760057810874e8,6.583319447594001e8,3.044061021687269e6,2.192165508,6.613760058099728e8,6.572116381889894e8,4.164367620983362e6,2.072330531
6,6.601871692041699e8,6.608681717163254e8,6.584657035440805e8,2.40246817224491e6,3.889131662,6.608693134599106e8,6.584705223712018e8,2.398791088708861e6,1.149096607,6.608048321027231e8,6.581491831423839e8,2.655648960339239e6,1.207840923,6.611085079464072e8,6.586606497572674e8,2.447858189139843e6,2.730810124,6.611085079751198e8,6.580644469583981e8,3.0440610167217255e6,2.567849082
7,6.601871692041699e8,6.607454697459553e8,6.587779876823766e8,1.9674820635787398e6,4.639021611,6.607455240635079e8,6.587775876662902e8,1.9679363972177021e6,1.375465343,6.60657501351276e8,6.584362344591397e8,2.221266892136315e6,1.417241262,6.609287654856026e8,6.588499622507801e8,2.0788032348225117e6,3.273460376,6.608802159694543e8,6.584323577916219e8,2.447858177832365e6,2.978117442
8,6.601871692041699e8,6.606631761070858e8,6.59069755431363e8,1.5934206757228766e6,5.390046998,6.606628855383023e8,6.590680637525324e8,1.5948217857699469e6,1.610638229,6.605486442522732e8,6.587008072894131e8,1.8478369628600609e6,1.654894518,6.607807126322373e8,6.590272295011398e8,1.7534831310975552e6,3.812963201,6.607112985267953e8,6.583129834554201e8,2.3983150713751316e6,3.475452399
9,6.601871692041699e8,6.60586848893034e8,6.591332087183744e8,1.4536401746595614e6,6.034223081,6.605865611013647e8,6.591338215237381e8,1.4527395776266176e6,1.823851014,6.604792090431137e8,6.590177504681877e8,1.4614585749260373e6,1.911320986,6.606855259767737e8,6.592094291563518e8,1.4760968204219341e6,4.305761965,6.605988966749806e8,6.586815645613394e8,1.917332113641262e6,3.975393187
10,6.601871692041699e8,6.605339675905901e8,6.592637182854912e8,1.2702493050988354e6,6.669131511,6.605335721729417e8,6.592657342842171e8,1.2678378887245543e6,2.041578898,6.604272551091893e8,6.591818022813182e8,1.245452827871045e6,2.168154637,6.606169319730166e8,6.593459136178545e8,1.2710183551621437e6,4.799988142,6.605042520341107e8,6.588360674586474e8,1.668184575463295e6,4.466259387
11,6.601871692041699e8,6.604919467833222e8,6.59383651463603e8,1.108295319719173e6,7.337087859,6.604915838108494e8,6.593823360980656e8,1.1092477127837744e6,2.286879121,6.60384213823585e8,6.592961027324357e8,1.088111091149278e6,2.407727091,6.605652658190886e8,6.594499440473512e8,1.115321771737337e6,5.295239394,6.604461774631611e8,6.59082061323877e8,1.364116139284134e6,4.959509239
12,6.601871692041699e8,6.604592367605736e8,6.594739615603182e8,985275.2002554238,7.890134979,6.604589523368329e8,6.594736682543935e8,985284.0824394114,2.521592461,6.603510445678802e8,6.593576011709175e8,993443.3969626147,2.647401305,6.60523839145097e8,6.595260357830396e8,997803.3620574474,5.785359162,6.60403478499434e8,6.592452113580432e8,1.1582671413908005e6,5.445890151
13,6.601871692041699e8,6.604331420621432e8,6.595717656755453e8,861376.386597855,8.458390292,6.604328717429062e8,6.595715841049099e8,861287.6379963644,2.750877666,6.603243510676446e8,6.594530909313874e8,871260.1362571176,2.894165562,6.60491642278587e8,6.5957187287875e8,919769.3998370171,6.281027432,6.603718854004437e8,6.593792725580865e8,992612.8423571587,5.936729093
