iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,5.159506912706189e9,5.169065191478329e9,5.11842118274511e9,5.064400873321914e7,0.0,5.169050572032562e9,5.118386537982229e9,5.06640340503334e7,0.0,5.169050572032562e9,5.118386537982229e9,5.06640340503334e7,0.0,5.192800242328208e9,5.142136208277873e9,5.066403405033493e7,0.0,5.192800242328208e9,-Inf,Inf,0.0
2,5.159506912706189e9,5.164024546303809e9,5.141604618959865e9,2.241992734394434e7,1.484913811,5.164020844352161e9,5.141630251844734e9,2.2390592507426895e7,0.317794978,5.164020844352161e9,5.141630251844734e9,2.2390592507426895e7,0.306482086,5.17029566506919e9,5.146045862635472e9,2.4249802433717728e7,1.043473325,5.17029566506919e9,5.119631631018855e9,5.066403405033493e7,1.068811896
3,5.159506912706189e9,5.162176615991795e9,5.149943703272091e9,1.2232912719703652e7,3.142930531,5.162171643055933e9,5.14991760853176e9,1.2254034524173014e7,0.605029665,5.162171643055933e9,5.14991760853176e9,1.2254034524173014e7,0.586906533,5.164575283723889e9,5.151518288288091e9,1.3056995435798645e7,2.086885702,5.164575283723889e9,5.140325481290172e9,2.4249802433717728e7,2.089710282
4,5.159506912706189e9,5.161280432087109e9,5.153161161372693e9,8.119270714415312e6,4.853746414,5.161278397725594e9,5.153176661816068e9,8.101735909525543e6,0.920899204,5.161379854331486e9,5.15327811842196e9,8.101735909525543e6,0.873565248,5.162508818901313e9,5.1539593222899885e9,8.54949661132431e6,3.10745495,5.162508818909098e9,5.149451823509275e9,1.3056995399822235e7,3.114958622
5,5.159506912706189e9,5.160759442234929e9,5.1547561274098215e9,6.00331482510753e6,6.561573523,5.160758570398249e9,5.154761752954247e9,5.99681744400087e6,1.228442501,5.160777866864807e9,5.154276329284464e9,6.501537580343671e6,1.170772983,5.161524112952619e9,5.155228118623349e9,6.295994329269409e6,4.120909101,5.161997804944922e9,5.153448308333177e9,8.549496611745834e6,3.965320867
6,5.159506912706189e9,5.160428758742057e9,5.155768350280401e9,4.660408461655863e6,8.425727306,5.160432886531941e9,5.155809086427037e9,4.623800104904309e6,1.538643945,5.160394129741963e9,5.1553332070239935e9,5.060922717969887e6,1.4438389,5.1609612181310425e9,5.156108514570421e9,4.852703560621262e6,5.129797633,5.161066259682079e9,5.152671241112089e9,8.395018569990158e6,4.991263697
7,5.159506912706189e9,5.160218093277048e9,5.156567189058313e9,3.650904218735069e6,10.291868122,5.160222575199787e9,5.156570759698334e9,3.6518155014529824e6,1.843010521,5.160137155510242e9,5.156091696308175e9,4.045459202067755e6,1.727968296,5.16061057882531e9,5.156753984120735e9,3.856594704574585e6,6.142433039,5.160552885851302e9,5.154504400581672e9,6.048485269630432e6,6.056137999
8,5.159506912706189e9,5.1600788032306e9,5.157144708179637e9,2.9340950509636924e6,12.100070098,5.1600827991392565e9,5.15714738109142e9,2.935418047836587e6,2.158596496,5.159971301287067e9,5.156784684542652e9,3.186616744415082e6,2.013902506,5.160368896818578e9,5.157161297475326e9,3.207599343252182e6,7.216453941,5.160242062466809e9,5.155653615432616e9,4.588447034193039e6,7.098446958
9,5.159506912706189e9,5.159983738100712e9,5.157630367253797e9,2.3533708469151855e6,13.830198035,5.15998647104594e9,5.157612259074127e9,2.374211971812874e6,2.465245791,5.159858478886962e9,5.157278593449505e9,2.5798854374568984e6,2.29256518,5.16021025651213e9,5.157589242546569e9,2.621013965560913e6,8.23403786,5.160052156824752e9,5.156500770933276e9,3.5513858914756775e6,8.142588863
10,5.159506912706189e9,5.159910170646259e9,5.157887631831467e9,2.0225388147922158e6,15.563132971,5.159911804707779e9,5.15788234578464e9,2.0294589231387526e6,2.785430604,5.159779720523885e9,5.157702732875655e9,2.076987648229681e6,2.573596092,5.160100679821352e9,5.157870771150005e9,2.2299086713466644e6,9.268431972,5.1599062212491455e9,5.156932742794394e9,2.9734784547519684e6,9.186338851
11,5.159506912706189e9,5.159855503965039e9,5.158134414077129e9,1.7210898879094198e6,17.361191776,5.159856243685394e9,5.158128759440227e9,1.7274842451672778e6,3.139774166,5.159723921193898e9,5.157978717655846e9,1.7452035380527973e6,2.85289682,5.160020797905825e9,5.158209442712641e9,1.811355193183899e6,10.764468783,5.159816650229137e9,5.157441515003761e9,2.375135225376129e6,10.229999483
12,5.159506912706189e9,5.159813324657928e9,5.158342440397988e9,1.4708842599402368e6,19.362146244,5.159814090179682e9,5.158338187114403e9,1.475903065279387e6,3.512216189,5.159681292170071e9,5.158202513288114e9,1.4787788819569647e6,3.137019255,5.159963268017944e9,5.158296941544235e9,1.6663264737091064e6,13.160385714,5.1597542277874975e9,5.157764208912669e9,1.9900188748283386e6,11.328198738
13,5.159506912706189e9,5.159781084535611e9,5.158513696047321e9,1.2673884882893935e6,22.581421802,5.159781876871002e9,5.158514003912748e9,1.267872958254151e6,4.032401355,5.159649261987317e9,5.158403838676099e9,1.2454233112184778e6,3.410888757,5.159914283221793e9,5.158436936327081e9,1.4773468947124481e6,14.718615921,5.159711495722419e9,5.158099151239308e9,1.6123444831104279e6,12.361846479
14,5.159506912706189e9,5.159754981062014e9,5.158679044778159e9,1.0759362838545293e6,25.43867293,5.159755564822437e9,5.158677333592052e9,1.078231230384469e6,4.446309531,5.159625464966379e9,5.158572971846807e9,1.0524931195723787e6,3.682733756,5.159877379921615e9,5.158510206787425e9,1.3671731341896057e6,15.733953069,5.159676608037641e9,5.158276693672347e9,1.3999143652935028e6,13.395996935
15,5.159506912706189e9,5.159734366962547e9,5.15876567808586e9,968688.8766865954,27.376151241,5.159735071376343e9,5.158765949495388e9,969121.880955033,4.842578103,5.159606954213688e9,5.15872142963656e9,885524.5771273449,3.961438297,5.159843351775318e9,5.158604471845381e9,1.2388799299373627e6,16.747940006,5.159652507077106e9,5.158467235801075e9,1.1852712760314941e6,14.450516757
16,5.159506912706189e9,5.159716779206873e9,5.158859827823044e9,856951.3838286698,29.283898068,5.159717227509536e9,5.158852530764839e9,864696.7446969375,5.331206598,5.159590909251442e9,5.158787463223157e9,803446.0282848179,4.242450084,5.159817125689826e9,5.158677458407435e9,1.1396672823905945e6,17.756648174,5.159633878947181e9,5.158602694194476e9,1.0311847527046204e6,15.480865525
17,5.159506912706189e9,5.159702303393958e9,5.158903614821116e9,798688.5728412569,31.992348348,5.159702566478418e9,5.158907254803105e9,795311.6753131002,5.876235977,5.159578063084963e9,5.158875008367697e9,703054.7172656655,4.530240744,5.159792191982208e9,5.158697327063797e9,1.0948649184112549e6,18.776312906,5.1596176428640175e9,5.158647341793375e9,970301.0706424713,16.509998406
18,5.159506912706189e9,5.159689716177158e9,5.15896429253612e9,725423.6410380378,33.513771301,5.159690128832209e9,5.158964303929738e9,725824.9024704695,6.289304847,5.159566943807324e9,5.15891880033555e9,648143.4717738181,4.813879021,5.159771629506931e9,5.158761831965002e9,1.009797541929245e6,19.804167988,5.159603447975832e9,5.1587404497582e9,862998.2176322937,17.557648283
19,5.159506912706189e9,5.159678377772336e9,5.159013046203016e9,665331.5693197027,34.965797596,5.159678609351885e9,5.159016285888069e9,662323.4638153464,6.774438332,5.159558355889179e9,5.159008392407994e9,549963.481184639,5.125590948,5.159753757509064e9,5.1588630804525585e9,890677.0565052032,20.821630758,5.159590594594556e9,5.158744813415484e9,845781.1790714264,18.63529155
