iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,8.143263357804471e7,8.405294009799854e7,7.336129554548809e7,1.0691644552510453e7,0.0,8.404586290503654e7,7.329451465498652e7,1.0751348250050021e7,0.0,8.404586290503654e7,7.329451465498652e7,1.0751348250050021e7,0.0,8.712475983472414e7,7.63734115846741e7,1.0751348250050038e7,0.0,8.712475983472414e7,-Inf,Inf,0.0
2,8.143263357804471e7,8.301892296256024e7,7.767946549606857e7,5.339457466491662e6,0.927928422,8.301585066177732e7,7.76415168251544e7,5.374333836622929e6,0.765659479,8.301585066177732e7,7.76415168251544e7,5.374333836622929e6,0.762923036,8.405311121342039e7,7.869884456327814e7,5.354266650142252e6,0.853195418,8.405311121342039e7,7.330176296337035e7,1.0751348250050038e7,0.849924203
3,8.143263357804471e7,8.252046493382797e7,7.901882868369038e7,3.501636250137577e6,1.882683685,8.2518481166962e7,7.902068979943183e7,3.4977913675301615e6,1.528762242,8.2518481166962e7,7.902068979943183e7,3.4977913675301615e6,1.521946106,8.302720076017225e7,7.952832233752158e7,3.498878422650665e6,1.706625585,8.30272007601722e7,7.767293411002995e7,5.354266650142252e6,1.695808077
4,8.143263357804471e7,8.223537669617529e7,7.965270541462031e7,2.582671281554984e6,2.995681748,8.223328356970683e7,7.965216712898725e7,2.581116440719573e6,2.288831866,8.223328356970683e7,7.965216712898725e7,2.581116440719573e6,2.281595304,8.252892058092245e7,7.994225909539193e7,2.5866614855305254e6,2.55292121,8.252892058015876e7,7.903004215375929e7,3.4988784263994694e6,2.539257238
5,8.143263357804471e7,8.206091905583656e7,8.009471147455943e7,1.9662075812771395e6,4.115613979,8.205861452739698e7,8.009358229730311e7,1.9650322300938629e6,3.056116561,8.205861452739698e7,8.009358229730311e7,1.9650322300938629e6,3.042989055,8.224266057395178e7,8.027041767523623e7,1.9722428987155557e6,3.39491451,8.224266057818426e7,7.965599912142621e7,2.586661456758052e6,3.495827599
6,8.143263357804471e7,8.193725909246412e7,8.031568177678132e7,1.621577315682793e6,5.244235755,8.193698219931641e7,8.032357682172798e7,1.6134053775884341e6,3.82103146,8.193698219931641e7,8.032357682172798e7,1.6134053775884341e6,3.803269,8.206684193704528e7,8.044722154400733e7,1.619620393037945e6,4.234944668,8.206684194730118e7,8.009459909061691e7,1.9722428566842675e6,4.517065866
7,8.143263357804471e7,8.185225904910006e7,8.051839324814652e7,1.333865800953541e6,6.33381967,8.185311411662395e7,8.051688723556533e7,1.3362268810586128e6,4.589221498,8.185311411662395e7,8.051688723556533e7,1.3362268810586128e6,4.56614372,8.194319586514509e7,8.059188983602166e7,1.3513060291234255e6,5.072005255,8.194319587401535e7,8.032357547211535e7,1.6196204018999934e6,5.67960778
8,8.143263357804471e7,8.17877672770256e7,8.063636584742184e7,1.15140142960375e6,7.330132044,8.178642703864928e7,8.062136482073648e7,1.165062217912795e6,5.354288884,8.178345542696545e7,8.061839320905265e7,1.165062217912795e6,5.326162196,8.185781635177071e7,8.07034934589444e7,1.1543228928263187e6,5.96657758,8.185781635985085e7,8.050651032485384e7,1.3513060349970162e6,6.734134704
9,8.143263357804471e7,8.17392116566754e7,8.074211327718659e7,997098.3794888109,8.198183948,8.173815841616727e7,8.074526849712509e7,992889.9190421905,6.13091138,8.17287882090868e7,8.067874895263082e7,1.0500392564559877e6,6.082246277,8.179325566108632e7,8.07950642066859e7,998191.4544004202,6.821009631,8.179325566783768e7,8.063893276265386e7,1.154322905183822e6,7.743377387
10,8.143263357804471e7,8.16997636117544e7,8.080809938580553e7,891664.2259488702,9.064087625,8.169864722173017e7,8.08092022687873e7,889444.9529428706,6.903938155,8.168837353015661e7,8.078065469954771e7,907718.8306088969,6.895019378,8.174453934508242e7,8.08432533434904e7,901286.0015920103,7.705562607,8.174453935199429e7,8.07463479001462e7,998191.4518480897,9.709814061
11,8.143263357804471e7,8.166844574688703e7,8.087299260478361e7,795453.1421034131,9.930325087,8.166753418873946e7,8.086853846544397e7,798995.7232954893,7.674956742,8.165515867664994e7,8.083932436343604e7,815834.3132138941,7.737970441,8.17043344817445e7,8.089889874441323e7,805435.7373312712,8.555125269,8.169476957662494e7,8.07934835672812e7,901286.0093437433,10.481782496
