iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,6.534661038430451e8,6.578341932016352e8,6.382914985603869e8,1.9542694641248323e7,0.0,6.578482695739422e8,6.38283213365432e8,1.956505620851011e7,0.0,6.578482695739422e8,6.38283213365432e8,1.956505620851011e7,0.0,6.648033117658932e8,6.452382555573831e8,1.956505620851016e7,0.0,6.648033117658932e8,-Inf,Inf,0.0
2,6.534661038430451e8,6.558244672663689e8,6.464050156934258e8,9.419451572943062e6,0.691343565,6.558214860507847e8,6.463759749321173e8,9.445511118667413e6,0.276328616,6.558214860507847e8,6.463759749321173e8,9.445511118667413e6,0.240634371,6.579580525539556e8,6.485380352629132e8,9.420017291042328e6,0.596615226,6.579580525539556e8,6.383929963454454e8,1.956505620851016e7,0.614845359
3,6.534661038430451e8,6.550222495366026e8,6.494603115236169e8,5.561938012985695e6,1.370521126,6.550135544422432e8,6.494405081497116e8,5.573046292531574e6,0.515809576,6.550135544422432e8,6.494405081497116e8,5.573046292531574e6,0.462610792,6.559408327703934e8,6.502777124999821e8,5.663120270411253e6,1.158220719,6.559408327703938e8,6.465208154793515e8,9.420017291042328e6,1.192575452
4,6.534661038430451e8,6.545843783213261e8,6.506594795098772e8,3.924898811448898e6,2.069893882,6.545816741589373e8,6.506600721034721e8,3.921602055465201e6,0.759711399,6.546105724127457e8,6.506889703572805e8,3.921602055465201e6,0.690203891,6.551066177645234e8,6.51109138893474e8,3.997478871049404e6,1.71267279,6.551066177645234e8,6.494434974941121e8,5.663120270411253e6,1.76772555
5,6.534661038430451e8,6.543284549429963e8,6.514036167104169e8,2.924838232579306e6,2.782462572,6.543255078542933e8,6.514023581806041e8,2.9231496736892816e6,0.994337844,6.543279216784035e8,6.512525876053277e8,3.0753340730757173e6,0.910057539,6.54659102522017e8,6.516735172426348e8,2.985585279382229e6,2.269438815,6.546591025088398e8,6.50661623561954e8,3.997478946885824e6,2.325914814
6,6.534661038430451e8,6.541599638120539e8,6.517990947253984e8,2.3608690866554882e6,3.469132426,6.541571652385317e8,6.517984247355199e8,2.3587405030117854e6,1.233365059,6.541054966417878e8,6.514710922443829e8,2.634404397404857e6,1.158854039,6.543939671517076e8,6.519731452203851e8,2.4208219313225746e6,2.820242952,6.544238413256851e8,6.514382560373167e8,2.9855852883684635e6,2.802027172
7,6.534661038430451e8,6.540416492581124e8,6.521234021739984e8,1.9182470841141269e6,4.151059146,6.540403209550759e8,6.521264254327725e8,1.9138955223032907e6,1.475227694,6.539510569101431e8,6.516859175132303e8,2.265139396912802e6,1.408493754,6.542175598038487e8,6.522536892865198e8,1.9638705173289776e6,3.377195376,6.541659825370839e8,6.511635858940718e8,3.002396643012047e6,3.358161033
8,6.534661038430451e8,6.539538254904804e8,6.522951136357534e8,1.658711854727026e6,4.847130374,6.539523879327496e8,6.522951601153101e8,1.6572278174395524e6,1.716477872,6.538511469240255e8,6.520683590407605e8,1.782787883264996e6,1.638462059,6.540959777840556e8,6.523903119676031e8,1.7056658164525032e6,3.937454761,6.539969929235318e8,6.51609932995816e8,2.3870599277157784e6,3.91823714
9,6.534661038430451e8,6.538872282384281e8,6.52463455005194e8,1.4237732332341075e6,5.535464302,6.538868138537173e8,6.524698619009441e8,1.4169519527731687e6,1.970858875,6.537779720969014e8,6.522613323675536e8,1.5166397293478139e6,1.884694525,6.540041742732234e8,6.525150731352496e8,1.4891011379737854e6,4.500569,6.538898679024609e8,6.520240078687342e8,1.8658600337266922e6,4.490051156
10,6.534661038430451e8,6.53835041817452e8,6.525979216623783e8,1.2371201550736967e6,6.248056074,6.538344593707379e8,6.525917003629842e8,1.2427590077537838e6,2.213944994,6.53723518625603e8,6.524328987303506e8,1.290619895252306e6,2.123093393,6.539304691376536e8,6.526023901415689e8,1.32807899608469e6,5.0577797,6.538106027361264e8,6.52224064779345e8,1.5865379567813873e6,5.065605348
11,6.534661038430451e8,6.537866700041871e8,6.52646431001773e8,1.1402390024140645e6,6.858720932,6.53786849459986e8,6.52650576439335e8,1.1362730206509419e6,2.441749889,6.536826565319576e8,6.525704812900201e8,1.1121752419374995e6,2.358432603,6.538688328564959e8,6.526497830182817e8,1.219049838214159e6,5.614433892,6.537525639714059e8,6.524080010926577e8,1.3445628787481785e6,5.628646499
12,6.534661038430451e8,6.537488457928513e8,6.526836362495565e8,1.0652095432948247e6,7.511228538,6.537496904935894e8,6.527021099923638e8,1.0475805012256298e6,2.692730083,6.536501677042435e8,6.526689895797606e8,981178.1244830191,2.605754902,6.53818754042495e8,6.527095235512223e8,1.109230491272688e6,6.171838027,6.537072541632919e8,6.525304654348965e8,1.176788728395462e6,6.188344872
13,6.534661038430451e8,6.537188041590042e8,6.527768803472395e8,941923.8117646705,8.110330718,6.537188487960987e8,6.527751830164922e8,943665.7796064112,2.958142119,6.536205369819237e8,6.52750467343239e8,870069.6386847347,2.84820618,6.537773685573158e8,6.528009066279023e8,976461.929413557,6.746662923,6.536692799670644e8,6.526352929930003e8,1.0339869740641117e6,6.742458292
14,6.534661038430451e8,6.536938168542076e8,6.528451222129263e8,848694.6412813403,8.686722922,6.536927782908137e8,6.528274696977272e8,865308.5930864532,3.21003665,6.535967931434236e8,6.527659100791144e8,830883.0643091556,3.104960234,6.537449057429395e8,6.5286143318693e8,883472.556009531,7.310118703,6.536368415304991e8,6.526598783430098e8,976963.1874892712,7.288899926
15,6.534661038430451e8,6.536733233113362e8,6.529089092092673e8,764414.1020689011,9.285132114,6.536721775682064e8,6.529032229395628e8,768954.6286435816,3.4802844,6.53577709775918e8,6.52836860543787e8,740849.232130982,3.349458014,6.537189657558419e8,6.529329292881774e8,786036.4676644802,7.862962788,6.536108476214741e8,6.527371930998675e8,873654.5216066837,7.838814988
16,6.534661038430451e8,6.536566172167519e8,6.529642599242661e8,692357.292485889,9.92068127,6.536555844117997e8,6.529668704881325e8,688713.9236671459,3.738915971,6.535626788036332e8,6.5291645550403e8,646223.2996031698,3.60334471,6.536985324483668e8,6.529780438847715e8,720488.563595295,8.419873564,6.535904476461968e8,6.528040632528567e8,786384.3933401108,8.393549486
17,6.534661038430451e8,6.536418197274365e8,6.530031927586546e8,638626.9687819947,10.554958235,6.536405819621077e8,6.529974451771514e8,643136.7849562038,4.006781536,6.535497133577648e8,6.529522575070043e8,597455.8507605325,3.851424789,6.53678785190577e8,6.529809815407298e8,697803.6498472691,8.972499129,6.5357462457039e8,6.5289220140557e8,682423.1648199558,8.955106498
18,6.534661038430451e8,6.536293859915612e8,6.530331920750656e8,596193.9164955579,11.202526616,6.536282073464926e8,6.530341636874682e8,594043.6590245105,4.28479519,6.535392016582047e8,6.529918353377761e8,547366.3204285763,4.090606011,6.536606125069817e8,6.529956238834909e8,664988.6234908104,9.539497221,6.535616071646553e8,6.52946638748953e8,614968.415702343,9.518563918
19,6.534661038430451e8,6.536188577182778e8,6.530928352492965e8,526022.4689812586,11.921727617,6.536179923612561e8,6.53097852518274e8,520139.842982186,4.558377146,6.535301224393328e8,6.530467278172195e8,483394.6221133396,4.326183848,6.536451163809804e8,6.530329923411261e8,612124.0398542881,10.094451218,6.535506263012466e8,6.529875959380302e8,563030.3632164001,10.070709723
20,6.534661038430451e8,6.536085976980002e8,6.530946618014159e8,513935.896584291,12.608667233,6.536078718816038e8,6.531002552243755e8,507616.6572283488,4.813096623,6.535231818935785e8,6.530923775166035e8,430804.3769750558,4.564006773,6.536320903547955e8,6.530862557279978e8,545834.6267976761,10.650560989,6.535407559020945e8,6.530249003104295e8,515855.5916650295,10.662017127
21,6.534661038430451e8,6.53600065671832e8,6.531042182867163e8,495847.3851156458,13.249433433,6.535992588211365e8,6.531065324066747e8,492726.41446173936,5.096131592,6.535174794626671e8,6.531470442555747e8,370435.2070924528,4.82456472,6.536220161177021e8,6.531213450917858e8,500671.02591633797,11.211933786,6.535326649247632e8,6.53050103858613e8,482561.06615018845,11.217216637
