iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,6.551946250310725e8,6.592327912495108e8,6.410042911421325e8,1.8228500107378203e7,0.0,6.592328795892619e8,6.410109115821866e8,1.8221968007075287e7,0.0,6.592328795892619e8,6.410109115821866e8,1.8221968007075287e7,0.0,6.652148373486435e8,6.469928693415682e8,1.822196800707531e7,0.0,6.652148373486435e8,-Inf,Inf,0.0
2,6.551946250310725e8,6.574438942852869e8,6.486281104802464e8,8.81578380504052e6,0.607222763,6.57441516144692e8,6.486195987809113e8,8.821917363780573e6,0.240147862,6.57441516144692e8,6.486195987809113e8,8.821917363780573e6,0.220877598,6.5930574133242e8,6.504771015898458e8,8.828639742574215e6,0.569566498,6.5930574133242e8,6.410837733253447e8,1.822196800707531e7,0.537623348
3,6.551946250310725e8,6.566540623265691e8,6.511966594196295e8,5.457402906939659e6,1.205483658,6.566548424370065e8,6.512187662835695e8,5.436076153437007e6,0.494427005,6.566548424370065e8,6.512187662835695e8,5.436076153437007e6,0.445995104,6.575089432506646e8,6.520253546229709e8,5.483588627693653e6,1.083300599,6.575089432506646e8,6.486803035080904e8,8.828639742574215e6,1.00967716
4,6.551946250310725e8,6.562163137215815e8,6.522497156076318e8,3.9665981139496453e6,1.816939957,6.562205221437798e8,6.522700914725616e8,3.9504306712181456e6,0.722146283,6.562205221437798e8,6.522700914725616e8,3.9504306712181456e6,0.650290676,6.567107317691876e8,6.527185410392226e8,3.9921907299649715e6,1.592529937,6.567107317691876e8,6.512271431414939e8,5.483588627693653e6,1.486105814
5,6.551946250310725e8,6.559643955407311e8,6.530586390456493e8,2.90575649508176e6,2.425039543,6.559681934218712e8,6.530553327992969e8,2.91286062257432e6,0.945942746,6.55944831333915e8,6.530319707113407e8,2.91286062257432e6,0.847721606,6.562670552042198e8,6.533161826244802e8,2.9508725797395706e6,2.096853089,6.562670552242444e8,6.522748646101174e8,3.9921906141269207e6,1.954465253
6,6.551946250310725e8,6.558055367432683e8,6.535360852054935e8,2.2694515377748236e6,3.042884702,6.558079978688545e8,6.535284104936702e8,2.27958737518429e6,1.155935021,6.557718467080097e8,6.534299763469232e8,2.3418703610865306e6,1.065986798,6.560134053925183e8,6.536960515343378e8,2.317353858180523e6,2.618232693,6.560134054174216e8,6.530625328761094e8,2.9508725413122177e6,2.433404131
7,6.551946250310725e8,6.55692373915806e8,6.537920544632502e8,1.9003194525558893e6,3.662202829,6.556927359929061e8,6.537852726227037e8,1.9074633702024072e6,1.39291896,6.556288157032803e8,6.535048245718298e8,2.1239911314505544e6,1.30682651,6.558487174827183e8,6.53862883082873e8,1.9858343998453617e6,3.132382479,6.558403060087838e8,6.535229521832366e8,2.3173538255472183e6,2.823548387
8,6.551946250310725e8,6.556109660290909e8,6.5406750111491e8,1.5434649141808972e6,4.282154366,6.556108096501093e8,6.540620095066019e8,1.548800143507339e6,1.624780016,6.555258472927189e8,6.537062533707772e8,1.8195939219416548e6,1.513387485,6.557202041146548e8,6.541102374168117e8,1.6099666978430748e6,3.63634308,6.556777587551155e8,6.533497058579085e8,2.3280528972070217e6,3.297600518
9,6.551946250310725e8,6.555519205596482e8,6.541966003244112e8,1.3553202352369726e6,4.891389932,6.555509275065498e8,6.54193055450868e8,1.3578720556818023e6,1.854069998,6.554571323650337e8,6.540115728679011e8,1.4455594971326273e6,1.727323839,6.556372447479657e8,6.542596990506772e8,1.3775456972885132e6,4.151786456,6.555600479025761e8,6.536412938156332e8,1.9187540869429111e6,3.77098267
10,6.551946250310725e8,6.555068061693264e8,6.54341709643789e8,1.1650965255373307e6,5.509265002,6.5550603797176e8,6.543421012481297e8,1.1639367236303482e6,2.067938871,6.554071081549015e8,6.541925074458289e8,1.2146007090726309e6,1.94711896,6.555770177422558e8,6.544029751839789e8,1.1740425582768917e6,4.682556183,6.554826083847958e8,6.539154875361522e8,1.5671208486435413e6,4.245445536
11,6.551946250310725e8,6.554720081321092e8,6.544618919615357e8,1.0101161705734394e6,6.144722278,6.554721801783419e8,6.544737155885653e8,998464.5897765569,2.300010947,6.553697010060875e8,6.542998575118111e8,1.0698434942763671e6,2.174491419,6.555322170483036e8,6.545058899016201e8,1.0263271466834545e6,5.214758763,6.554289434625123e8,6.541266148858426e8,1.302328576669693e6,4.725571196
12,6.551946250310725e8,6.554453114533547e8,6.545630207296164e8,882290.7237383239,6.667539558,6.554453787188761e8,6.545636092329057e8,881769.4859703798,2.541472809,6.553414964088019e8,6.544295195910814e8,911976.8177205324,2.386197978,6.554964114081725e8,6.545501812526191e8,946230.1555533409,5.752560255,6.553899393982129e8,6.542881882757311e8,1.101751122481823e6,5.21770871
13,6.551946250310725e8,6.554217388418565e8,6.546171230086304e8,804615.8332261313,7.199036261,6.554218592298036e8,6.546136470731078e8,808212.1566956844,2.77458196,6.553195421509618e8,6.545207295532393e8,798812.5977224708,2.60829543,6.554652814109986e8,6.54598330827205e8,866950.5837936401,6.242825768,6.553620105978842e8,6.544297266916907e8,932283.9061934948,5.702094313
14,6.551946250310725e8,6.554015985982445e8,6.546543121271857e8,747286.4710588008,7.703042491,6.554027395499506e8,6.546580445555317e8,744694.994418826,2.987843858,6.55301112963737e8,6.545763296952727e8,724783.268464379,2.829112779,6.554391645197886e8,6.546262662499453e8,812898.2698433399,6.721758936,6.553374341767921e8,6.544945001232424e8,842934.0535497665,6.184531713
15,6.551946250310725e8,6.553852118732659e8,6.546947655161996e8,690446.3570662979,8.230612753,6.553854148706303e8,6.546950907111344e8,690324.1594958585,3.221943744,6.552870241260934e8,6.546613141826239e8,625709.9434695803,3.037340682,6.55416118518959e8,6.546805420968909e8,735576.422068119,7.186361696,6.553165458094021e8,6.545335599105932e8,782985.8988089561,6.665911629
16,6.551946250310725e8,6.553687777866261e8,6.547125230300965e8,656254.7565295324,8.789663073,6.553687454109898e8,6.54706543801008e8,662201.6099817585,3.440232666,6.55273862270195e8,6.546895527148774e8,584309.5553176105,3.284075438,6.553979294228673e8,6.547109388891418e8,686990.5337255001,7.651628758,6.553008744423285e8,6.546188191033156e8,682055.3390128613,7.152336748
17,6.551946250310725e8,6.553547498315384e8,6.547298142449161e8,624935.5866223257,9.298828402,6.55354259695396e8,6.547233727634544e8,630886.9319415465,3.674703831,6.552642052831143e8,6.547577473097976e8,506457.97331672534,3.518213405,6.553803727029046e8,6.547163497170609e8,664022.9858436584,8.115085323,6.552874203982044e8,6.546591876707405e8,628232.7274639606,7.624962663
18,6.551946250310725e8,6.553428761173054e8,6.547738898962125e8,568986.2210929077,9.802127517,6.553426133747935e8,6.547730886782453e8,569524.6965482142,3.90547034,6.552555557222372e8,6.548129273142842e8,442628.40795297734,3.74509952,6.553646527026814e8,6.547410327784642e8,623619.9242172241,8.579828975,6.552757326402018e8,6.547000363404231e8,575696.2997786999,8.095173438
19,6.551946250310725e8,6.553329137690129e8,6.548078678783555e8,525045.8906574268,10.321899774,6.553329133135314e8,6.54811312147037e8,521601.16649437696,4.148320699,6.552479748330917e8,6.548336685090629e8,414306.3240288757,3.960597944,6.553518463816884e8,6.548025119004116e8,549334.4812767506,9.049552876,6.552660384855934e8,6.547380827254385e8,527955.7601549625,8.567622867
20,6.551946250310725e8,6.553246621736703e8,6.548451194408162e8,479542.73285413906,10.866711312,6.553245871629832e8,6.548498568984125e8,474730.2645707391,4.378881987,6.552411426487664e8,6.548384823750219e8,402660.27374446765,4.170547617,6.553415018774022e8,6.548428333342985e8,498668.5431036949,9.519015439,6.552573677745625e8,6.547656685498613e8,491699.22470116615,9.035594062
21,6.551946250310725e8,6.553182489563044e8,6.548943738689046e8,423875.08739984035,11.470166004,6.553181973723618e8,6.548926545184484e8,425542.8539134413,4.827487323,6.552355745371277e8,6.548726190512881e8,362955.4858396333,4.393651153,6.553329384941683e8,6.548717063321972e8,461232.1619710922,9.986903888,6.55249965391228e8,6.547902175080197e8,459747.88320827484,9.50591716
22,6.551946250310725e8,6.553119083546727e8,6.54904457454465e8,407450.90020764805,12.080476388,6.553118979244847e8,6.549063235463439e8,405574.3781408537,5.062788118,6.552309376100394e8,6.549109515996289e8,319986.01041047275,4.62534229,6.55324905526548e8,6.54870142224527e8,454763.3020210266,10.448125741,6.552440125186949e8,6.5482836772032e8,415644.7983748913,9.974186389
23,6.551946250310725e8,6.553069772138497e8,6.549503991419895e8,356578.07186019234,12.696432923,6.55306834697626e8,6.549463087472185e8,360525.95040752366,5.306941412,6.552274261213616e8,6.549605228941402e8,266903.22722139396,4.854156745,6.553175690258149e8,6.548912572017311e8,426311.8240838051,10.917821665,6.552390560286244e8,6.548685227283045e8,370533.30031991005,10.442152123
24,6.551946250310725e8,6.553021408989377e8,6.549561136543815e8,346027.2445561886,13.351053282,6.553019362729214e8,6.549530829581325e8,348853.3147888873,5.525151039,6.552243241306845e8,6.549800067512355e8,244317.37944906577,5.068316253,6.553109254288673e8,6.549195889174843e8,391336.51138305664,11.3834897,6.5523509611172e8,6.549047244654135e8,330371.64630651474,10.917069431
25,6.551946250310725e8,6.552977831075737e8,6.549677280123912e8,330055.0951825548,13.874241317,6.552979262349904e8,6.549774935688684e8,320432.6661219653,5.761210148,6.552215846503886e8,6.549928248953834e8,228759.75500519387,5.284907527,6.553055883310848e8,6.549360318536125e8,369556.4774723053,11.84652138,6.552315725167919e8,6.5492347872338e8,308093.79341197014,11.383633394
26,6.551946250310725e8,6.552938476697774e8,6.54973147494592e8,320700.17518542707,14.365549169,6.552943016502061e8,6.549856732677962e8,308628.3824099414,5.971863736,6.552190719918206e8,6.55000530577327e8,218541.4144935999,5.510261835,6.553005324415448e8,6.549455277297549e8,355004.7117898464,12.315221696,6.552286382148829e8,6.549434553986688e8,285182.8162140846,11.852130285
27,6.551946250310725e8,6.552904134928063e8,6.54994587685638e8,295825.8071683962,14.862296998,6.552905254030339e8,6.549877274248118e8,302797.9782219585,6.217233733,6.552169429057988e8,6.550175517949487e8,199391.1108501274,5.73127271,6.552959724084313e8,6.549520024154813e8,343969.9929499626,12.778542722,6.552257999825289e8,6.549486648105922e8,277135.1719367504,12.320696805
28,6.551946250310725e8,6.552870108024021e8,6.549918659091765e8,295144.89322566614,15.353904494,6.552872081236291e8,6.549912995271274e8,295908.59650168195,6.430226111,6.552149342227741e8,6.55023791518243e8,191142.7045312319,5.952058097,6.552916954655623e8,6.54984167276562e8,307528.1890003681,13.258866285,6.552231232380548e8,6.549558671519887e8,267256.0860660076,12.807233778
29,6.551946250310725e8,6.552841804773432e8,6.550063728063632e8,277807.6709799692,15.831363294,6.552843524802853e8,6.55003947357333e8,280405.12295231223,6.634167335,6.552132722431374e8,6.550352745616629e8,177997.68147449568,6.172545007,6.552883229131192e8,6.54998368747825e8,289954.1652941704,13.727821607,6.552207262588882e8,6.549654638348365e8,255262.42405176163,13.280877783
30,6.551946250310725e8,6.5528166031381e8,6.550286554728117e8,253004.84099830687,16.321606018,6.552819973870887e8,6.550321934310162e8,249803.9560724236,6.829340555,6.552117886388596e8,6.550480151997333e8,163773.43912636302,6.421557918,6.552852577140064e8,6.550107831957109e8,274474.5182955265,14.201246482,6.552189681147656e8,6.549945949035022e8,224373.2112634182,13.75612673
31,6.551946250310725e8,6.552792049241409e8,6.55033607764946e8,245597.15919495374,16.800108145,6.55279637377668e8,6.550424346705502e8,237202.70711776614,7.032073433,6.552105286675227e8,6.550669161248522e8,143612.54267049953,6.641372577,6.552822126016797e8,6.550109653514761e8,271247.25020360947,14.668638475,6.552173249802893e8,6.550030682380518e8,214256.7422375679,14.235961803
32,6.551946250310725e8,6.552770568246619e8,6.550451180137206e8,231938.8109412305,17.287268136,6.552775715134368e8,6.550485494374336e8,229022.0760032367,7.242159487,6.552093937793069e8,6.550743967368287e8,134997.04247820564,7.228944947,6.552796286776676e8,6.550386921124051e8,240936.56526255608,15.152703641,6.552160538422778e8,6.550249865767689e8,191067.26550889015,15.149667005
33,6.551946250310725e8,6.55275162321023e8,6.550537432892928e8,221419.03173013404,17.788251451,6.552755516896634e8,6.550545769507529e8,220974.7389105428,7.44218992,6.552083082889676e8,6.550820756491174e8,126232.63985029422,7.450485266,6.552774565687119e8,6.550385989664718e8,238857.6022400856,15.625952436,6.552148086185057e8,6.55034683889375e8,180124.72913074493,16.130167939
34,6.551946250310725e8,6.55273301512753e8,6.550594246249303e8,213876.8878227938,18.26187496,6.552734592060452e8,6.550468520508296e8,226607.1552154906,7.640256716,6.552073396547451e8,6.550881398227881e8,119199.83195702732,7.659011094,6.55275299582839e8,6.550310568483849e8,244242.73445415497,16.101145904,6.552136068558953e8,6.550356560898914e8,177950.76600384712,16.735819585
35,6.551946250310725e8,6.552714840995197e8,6.550579676734608e8,213516.42605891824,18.825875813,6.552715710599304e8,6.550499440957024e8,221626.96422803216,7.865028092,6.552064931246219e8,6.551010183378941e8,105474.78672781214,7.87740843,6.552730397620562e8,6.550308530358542e8,242186.7262020111,16.566477562,6.552126909307314e8,6.550531826426984e8,159508.28803300858,17.206145515
