iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,8.103948811620411e7,8.379331652582406e7,7.261107697635464e7,1.1182239549469406e7,0.0,8.379351342534831e7,7.256454367611086e7,1.1228969749237442e7,0.0,8.379351342534831e7,7.256454367611086e7,1.1228969749237442e7,0.0,8.717664946885109e7,7.594767971961364e7,1.1228969749237448e7,0.0,8.717664946885109e7,-Inf,Inf,0.0
2,8.103948811620411e7,8.273158196365672e7,7.72522441304577e7,5.479337833199017e6,1.137813891,8.273738514873229e7,7.72351586959011e7,5.502226452831192e6,0.760540808,8.273738514873229e7,7.72351586959011e7,5.502226452831192e6,0.758758985,8.379451550454897e7,7.830276944388878e7,5.491746060660183e6,0.848068431,8.379451550454897e7,7.256554575531152e7,1.1228969749237448e7,0.846198887
3,8.103948811620411e7,8.220997493749848e7,7.862925253942059e7,3.5807223980778866e6,2.150307884,8.221874129641174e7,7.865063267938352e7,3.5681086170282178e6,1.53295686,8.221874129641174e7,7.865063267938352e7,3.5681086170282178e6,1.524126614,8.274062446045655e7,7.91766838807435e7,3.5639405797130466e6,1.690145135,8.274062446045657e7,7.724887839979638e7,5.491746060660183e6,1.689307235
4,8.103948811620411e7,8.192604882409139e7,7.935512373274685e7,2.570925091344541e6,3.054799729,8.192449692638847e7,7.929805669749063e7,2.62644022889784e6,2.295659382,8.192449692638847e7,7.929805669749063e7,2.62644022889784e6,2.281158709,8.222258437200797e7,7.959416810199854e7,2.6284162700094283e6,2.535675611,8.22225843719194e7,7.865864379177684e7,3.5639405801425576e6,2.527983741
5,8.103948811620411e7,8.1739434861007e7,7.970931961637397e7,2.0301152446330301e6,3.929452531,8.173727156339055e7,7.970828699890432e7,2.0289845644862354e6,3.065023167,8.173727156339055e7,7.970828699890432e7,2.0289845644862354e6,3.043589352,8.192788048542416e7,7.989683274440393e7,2.0310477410202324e6,3.384783501,8.192788048746255e7,7.929946422965431e7,2.6284162578082383e6,3.407633755
6,8.103948811620411e7,8.160528766957225e7,7.991182972100256e7,1.6934579485696908e6,4.797587693,8.16040271166518e7,7.991310248012373e7,1.6909246365280766e6,3.835845647,8.16040271166518e7,7.991310248012373e7,1.6909246365280766e6,3.813208418,8.174023446846887e7,8.004716107534185e7,1.6930733931270242e6,4.223206141,8.174023447111024e7,7.970918673455472e7,2.0310477365555167e6,4.290628725
7,8.103948811620411e7,8.150940992899057e7,8.008915340083309e7,1.4202565281574912e6,5.657988042,8.150834092856346e7,8.008380027431951e7,1.4245406542439442e6,4.612404763,8.150834092856346e7,8.008380027431951e7,1.4245406542439442e6,4.599968096,8.160662990324648e7,8.017920238083135e7,1.4274275224151313e6,5.078565442,8.160662990655518e7,7.991355651894373e7,1.6930733876114488e6,5.250731301
8,8.103948811620411e7,8.14370327313228e7,8.020159864080736e7,1.2354340905154385e6,6.526898011,8.14360248695736e7,8.020684779706001e7,1.229177072513586e6,5.376307919,8.143775932516731e7,8.020858225265373e7,1.229177072513586e6,5.359704009,8.151056463006252e7,8.028111907545495e7,1.2294455546075702e6,5.916701078,8.151056463077101e7,8.008313708654818e7,1.4274275442228317e6,6.547930142
9,8.103948811620411e7,8.138142532552181e7,8.031871580560121e7,1.062709519920595e6,7.393354212,8.13804907365692e7,8.032075837040468e7,1.0597323661645185e6,6.14743592,8.136951684485318e7,8.024171203686376e7,1.1278048079894204e6,6.127264244,8.143822868769649e7,8.037731282642451e7,1.0609158612719774e6,6.759731364,8.143822868874598e7,8.020878313751712e7,1.229445551228851e6,7.679065248
10,8.103948811620411e7,8.133762094755852e7,8.039379437296143e7,943826.5745970868,8.26890244,8.133677925148861e7,8.039042331957547e7,946355.9319131374,6.920735596,8.131549731375048e7,8.025614028557952e7,1.0593570281709582e6,7.029268322,8.138318644805345e7,8.043389278736934e7,949293.6606841087,7.603156324,8.136960521689738e7,8.030868936408897e7,1.060915852808416e6,8.843362278
11,8.103948811620411e7,8.13026330568212e7,8.046087120383209e7,841761.852989113,9.137049117,8.1301828309266e7,8.04631560244792e7,838672.2847868055,7.692465358,8.127332288364968e7,8.035135938197151e7,921963.5016781632,7.904756105,8.133870202885562e7,8.04966275885829e7,842074.4402727187,8.451716208,8.131560896989869e7,8.025644982213648e7,1.0591591477622092e6,10.096193649
12,8.103948811620411e7,8.127388784992376e7,8.05158994179652e7,757988.431958558,10.00488029,8.127313282088676e7,8.051570090250859e7,757431.9183781687,8.458241358,8.12407957225099e7,8.043098464692557e7,809811.0755843408,8.760172864,8.130329635765436e7,8.054843409135276e7,754862.2663016021,9.286960037,8.127342582769248e7,8.035137429974726e7,922051.5279452205,11.216740457
13,8.103948811620411e7,8.124977705624056e7,8.055343415812224e7,696342.8981183209,10.872680914,8.124903369637808e7,8.054946032850355e7,699573.3678745367,9.232959584,8.121525925177076e7,8.049300697607662e7,722252.2756941468,9.69653826,8.12748852030368e7,8.057390888512115e7,700976.3179156482,10.128936957,8.12408773220635e7,8.043081693675864e7,810060.3853048682,12.15215422
14,8.103948811620411e7,8.1230080119336e7,8.060670866375396e7,623371.4555820338,11.739701707,8.122937857626304e7,8.06066380279596e7,622740.5483034365,10.002043132,8.11933195991631e7,8.053157136536904e7,661748.2337940596,10.601076662,8.12506849907321e7,8.062675120587108e7,623933.7848610282,10.962611244,8.121533983573267e7,8.049309905470839e7,722240.7810242772,13.005148302
15,8.103948811620411e7,8.121239517582804e7,8.062281125854118e7,589583.917286858,12.608734848,8.121192161061312e7,8.062272121535428e7,589200.3952588458,10.772202421,8.117532203828818e7,8.057651319190659e7,598808.8463815916,11.473484867,8.123095280631447e7,8.064071414540085e7,590238.6609136164,11.801252881,8.119341276846163e7,8.053185882503478e7,661553.9434268475,13.869700793
16,8.103948811620411e7,8.11975968455149e7,8.065812158229095e7,539475.2632239442,13.470497083,8.119705016233861e7,8.06593339783352e7,537716.1840034109,11.542500718,8.11599091935755e7,8.060734906585939e7,552560.127716111,12.323302992,8.121342970574754e7,8.067440905704331e7,539020.6487042308,12.641874307,8.11754496798365e7,8.057724657166792e7,598203.1081685722,14.71188664
17,8.103948811620411e7,8.11847442024318e7,8.068535356158747e7,499390.6408443246,14.33331883,8.118421748306307e7,8.068578905407357e7,498428.42898949794,12.327896351,8.114688106913006e7,8.063916810991304e7,507712.9592170324,13.109878055,8.119848982036096e7,8.069872871660456e7,499761.10375639796,13.497599467,8.116001383955571e7,8.060702636714193e7,552987.4724137783,15.561773003
18,8.103948811620411e7,8.11730602973644e7,8.069649415660195e7,476566.14076245204,15.202601607,8.117230863389893e7,8.069392884659098e7,478379.78730795346,13.091438295,8.113533957771957e7,8.066381675344764e7,471522.82427193783,13.871467979,8.11855885016476e7,8.070547775131084e7,480110.75033676624,14.336262402,8.11469807896195e7,8.063915123550993e7,507829.55410957336,16.403970446
19,8.103948811620411e7,8.11629811547699e7,8.072356929130957e7,439411.86346033774,16.066962559,8.116253421809644e7,8.072958246880509e7,432951.74929135107,13.860014343,8.112561918766215e7,8.0691460853255e7,434158.33440715447,14.638472678,8.117359422865027e7,8.073924384388149e7,434350.38476878405,15.174209246,8.113545173505712e7,8.066406292543143e7,471388.8096256852,17.249237906
20,8.103948811620411e7,8.115402969512227e7,8.073833312147011e7,415696.57365216874,16.936591888,8.115362480225891e7,8.073992843890843e7,413696.36335047334,14.622578978,8.111688912638474e7,8.07077675077396e7,409121.61864513345,15.398832582,8.116375737746124e7,8.074913217279942e7,414625.20466181636,16.023995665,8.112573578852172e7,8.069168493531503e7,434050.8532066941,18.094256053
21,8.103948811620411e7,8.114631602949816e7,8.076240602630527e7,383910.003192883,17.80102113,8.114602494885512e7,8.076157533816876e7,384449.6106863655,15.400806411,8.110929513943064e7,8.072940985250202e7,379885.2869286202,16.162913176,8.115481611266808e7,8.076936651229678e7,385449.6003713012,16.891949625,8.111700657669398e7,8.070789908743799e7,409107.48925599456,18.939062694
22,8.103948811620411e7,8.113939012437247e7,8.0773020759281e7,366369.36509147845,18.665106478,8.113896175380853e7,8.077186390973334e7,367097.8440751899,16.168978381,8.110285264960662e7,8.075019782819772e7,352654.82140890136,16.921679518,8.114719015236427e7,8.077972466116576e7,367465.49119850993,17.763227078,8.110942332325938e7,8.072967023911878e7,379753.0841405988,19.785045021
23,8.103948811620411e7,8.113300104283783e7,8.07830079280113e7,349993.11482653767,19.542470793,8.113251812496574e7,8.078153118561484e7,350986.9393509049,16.936571003,8.109715449452896e7,8.076500782052016e7,332146.67400880717,17.681975762,8.114011447457485e7,8.078776472553317e7,352349.7490416765,18.69514343,8.110298639075154e7,8.07504664890908e7,352519.9016607404,20.63040878
24,8.103948811620411e7,8.112703020647448e7,8.079275026562661e7,334279.94084786996,20.408523637,8.112650351407686e7,8.078992601632963e7,336577.49774722196,17.70694813,8.109189006471384e7,8.077416230590257e7,317727.75881126896,18.44053722,8.113362526028228e7,8.079660709388077e7,337018.16640150547,19.931688151,8.109728506309891e7,8.07649175820424e7,332367.4810565114,21.476179521
25,8.103948811620411e7,8.112156306369355e7,8.080042303419292e7,321140.0295006372,21.268300072,8.112111754529393e7,8.08023363292231e7,318781.2160708308,18.475720421,8.108703392178804e7,8.078097745956813e7,306056.46221990697,19.206478628,8.112762338484567e7,8.08084763336972e7,319147.0511484742,21.120546726,8.109202516532825e7,8.077437329701634e7,317651.8683119118,22.353661195
26,8.103948811620411e7,8.111679640951222e7,8.081372272863561e7,303073.6808766164,22.135251422,8.111636274084073e7,8.081450128940049e7,301861.4514402393,19.241523817,8.10828368630625e7,8.079962605399722e7,283210.80906527676,19.970157715,8.112223696017002e7,8.082012698725407e7,302109.97291594744,22.333309746,8.108717660392278e7,8.078131544265336e7,305861.16126942635,23.23656431
27,8.103948811620411e7,8.111253301520422e7,8.082711655380343e7,285416.46140079014,22.997991883,8.111211612314317e7,8.082694161296162e7,285174.51018155366,20.015250167,8.107893487352556e7,8.08062443720654e7,272690.5014601685,20.729935931,8.111748156292972e7,8.083058823748091e7,286893.32544881105,23.642422356,8.10829769501881e7,8.07995404415673e7,283436.5086207986,24.189866436
28,8.103948811620411e7,8.110842757266739e7,8.083489290841898e7,273534.6642484069,23.86373683,8.110802150740269e7,8.08359456790621e7,272075.8283405863,20.783158683,8.10754820224474e7,8.082002292253932e7,255459.09990808181,21.492313795,8.111292938924754e7,8.083739460151726e7,275534.7877302766,24.767294318,8.107908338250753e7,8.080664448866129e7,272438.8938462436,25.430839219
29,8.103948811620411e7,8.110483502574484e7,8.084287741910519e7,261957.60663964786,24.727652704,8.110443796088739e7,8.084265985984452e7,261778.1010428723,21.550658453,8.107252712791458e7,8.083447084029247e7,238056.28762211464,22.259479928,8.110901730581659e7,8.084676672400752e7,262250.5818090737,25.737266478,8.10756384532623e7,8.081998978853092e7,255648.66473138332,26.623082599
30,8.103948811620411e7,8.110139845588773e7,8.084910288284253e7,252295.57304520532,25.590938479,8.110113839901565e7,8.085271859334047e7,248419.80567517504,22.324506,8.10698042990363e7,8.084115667118722e7,228647.6278490778,23.023216962,8.110542428602609e7,8.08559574372955e7,249466.84873059392,26.574260632,8.10726866322718e7,8.083476050131583e7,237926.13095596433,27.874451029
31,8.103948811620411e7,8.109838449108104e7,8.085975279845318e7,238631.69262786023,26.472290238,8.10980949223749e7,8.08594398754335e7,238655.04694140144,23.090941163,8.106738677890205e7,8.085330956279284e7,214077.21610920876,23.788158933,8.11020998998655e7,8.086619864997189e7,235901.2498936057,27.414294713,8.106995622960791e7,8.084097614150459e7,228980.08810332417,29.158810241
32,8.103948811620411e7,8.109566385461877e7,8.086693316164164e7,228730.69297712855,27.354279718,8.109537580792926e7,8.08683351469112e7,227040.66101805307,23.860206267,8.106523455827719e7,8.086223387128182e7,203000.68699537404,24.553609165,8.109912415416e7,8.087175657396981e7,227367.58019018173,28.259332901,8.106754801411994e7,8.085389234887303e7,213655.6652469039,30.329926152
33,8.103948811620411e7,8.109316612584639e7,8.087460720115744e7,218558.92468895577,28.225375672,8.109288127133465e7,8.087459374751033e7,218287.5238243211,24.632695114,8.1063223771577e7,8.086644651461951e7,196777.25695748813,25.31441462,8.109639649177065e7,8.087771813061586e7,218678.3611547947,29.096592196,8.106539963912389e7,8.086255716847003e7,202842.47065386176,31.204559744
34,8.103948811620411e7,8.109082647462681e7,8.087995390844011e7,210872.56618669257,29.093874809,8.109054281851369e7,8.087939036637548e7,211152.4521382153,25.421007472,8.106122347946113e7,8.087116207677421e7,190061.4026869256,26.077201217,8.109389277121471e7,8.088326120783435e7,210631.5633803606,29.93601876,8.10634117398563e7,8.086763897932196e7,195772.7605343461,32.054355263
35,8.103948811620411e7,8.108853517241277e7,8.088580584742662e7,202729.3249861449,29.962671858,8.108821469590184e7,8.088364131083915e7,204573.3850626871,26.227909196,8.105945029366861e7,8.087589198459847e7,183558.30907014012,26.840249855,8.10915851370131e7,8.088420229831289e7,207382.8387002051,30.774837162,8.106139992823991e7,8.08701917390328e7,191208.18920710683,32.901746959
36,8.103948811620411e7,8.108660709766209e7,8.089626208701865e7,190345.0106434375,30.836631746,8.108627301860638e7,8.089505059301306e7,191222.42559331097,27.020641703,8.105787647050881e7,8.088549155833536e7,172384.91217345744,27.606652187,8.108920021577391e7,8.089791750772753e7,191282.7080463767,31.610579458,8.105962877485466e7,8.087591924107832e7,183709.53377634287,33.741279449
37,8.103948811620411e7,8.108483552209565e7,8.090119327679503e7,183642.24530061334,31.699601632,8.108447876060632e7,8.090069913107882e7,183779.62952749804,27.792077769,8.105646817546242e7,8.089316796665211e7,163300.20881031826,28.369631684,8.108727371150678e7,8.09039196941714e7,183354.01733538508,32.45244775,8.105807339239562e7,8.088653390110603e7,171539.49128958583,34.589081098
38,8.103948811620411e7,8.108314407674974e7,8.090498092954807e7,178163.14720167778,32.562075165,8.108281385302643e7,8.09047666347811e7,178047.21824533306,28.563543363,8.10551838197416e7,8.08990702787384e7,156113.5410032086,29.132446263,8.108550270036381e7,8.090824840373975e7,177254.29662406445,33.296793642,8.10566783141854e7,8.089385676704814e7,162821.54713726044,35.435734399
