iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,1.2907524204732103e9,1.2926466021185322e9,1.2770454019960105e9,1.5601200122521633e7,0.0,1.2926192484826348e9,1.2769838974453597e9,1.5635351037274988e7,0.0,1.2926192484826348e9,1.2769838974453597e9,1.5635351037274988e7,0.0,1.3013483032693596e9,1.2857129522320848e9,1.5635351037274837e7,0.0,1.3013483032693596e9,-Inf,Inf,0.0
2,1.2907524204732103e9,1.2914600407388878e9,1.2860461887026992e9,5.413852036188506e6,0.173733166,1.2914611869422085e9,1.286078028205646e9,5.383158736562494e6,0.084267512,1.2914611869422085e9,1.286078028205646e9,5.383158736562494e6,0.033546138,1.292827841579821e9,1.2866268507457938e9,6.20099083402729e6,0.090874346,1.292827841579821e9,1.2771924905425463e9,1.5635351037274837e7,0.09406021
3,1.2907524204732103e9,1.291104449206918e9,1.2884293473493056e9,2.6751018576123677e6,0.447092719,1.2910998680646944e9,1.2884170546317642e9,2.6828134329302087e6,0.215677191,1.2910998680646944e9,1.2884170546317642e9,2.6828134329302087e6,0.071549351,1.291467672965841e9,1.288585205107508e9,2.882467858333111e6,0.199633526,1.2914676729658413e9,1.285266682131814e9,6.20099083402729e6,0.204662733
4,1.2907524204732103e9,1.2909732215960877e9,1.289464007391544e9,1.5092142045436837e6,0.738388795,1.2909691627499218e9,1.2894609543931608e9,1.5082083567609526e6,0.25756407,1.2909631662957928e9,1.2894549579390318e9,1.5082083567609526e6,0.100415636,1.2910728879305165e9,1.289515346047077e9,1.5575418834395409e6,0.299912383,1.2914676729658413e9,1.2885852051075077e9,2.8824678583335876e6,0.258707404
5,1.2907524204732103e9,1.2909150229065893e9,1.2899967551443977e9,918267.7621914614,0.98859167,1.290911938746627e9,1.2899987220493495e9,913216.697277436,0.294839163,1.2908827057186773e9,1.2897571551852043e9,1.1255505334729739e6,0.125194,1.2909439395969524e9,1.2898823840840373e9,1.0615555129151344e6,0.40279407,1.2910728879305158e9,1.2881904200721822e9,2.8824678583335876e6,0.361002149
6,1.2907524204732103e9,1.2908713146778784e9,1.2901542040612473e9,717110.616631018,1.306311696,1.2908683749711294e9,1.2901539402002218e9,714434.7709077336,0.340787819,1.2908399717834008e9,1.290080333710939e9,759638.0724619627,0.152397365,1.2908645417280893e9,1.2901306315746703e9,733910.1534190178,0.496298446,1.290943939598272e9,1.289386397724388e9,1.557541873884201e6,0.457124754
7,1.2907524204732103e9,1.2908490528283234e9,1.2903314129028924e9,517639.9254310429,1.573942042,1.290846798152247e9,1.290333629830313e9,513168.3219340611,0.390337345,1.2908132054338245e9,1.2902809924422483e9,532212.9915761929,0.179481478,1.2908333372765818e9,1.2903036284205966e9,529708.8559851646,0.589927236,1.2908645417271538e9,1.2898029861967378e9,1.0615555304160118e6,0.555910615
8,1.2907524204732103e9,1.290834143664882e9,1.2904325057207484e9,401637.94413359836,1.809647142,1.2908320926520033e9,1.2904330561988904e9,399036.4531128686,0.441389595,1.2907969595596306e9,1.2903926409036608e9,404318.65596973896,0.208370818,1.2908122262688847e9,1.290353197312717e9,459028.9561676979,0.691035199,1.2908333372783906e9,1.2900994271601455e9,733910.1182451248,0.658180485
9,1.2907524204732103e9,1.2908246771387982e9,1.2905333064053938e9,291370.73340445384,2.104066351,1.2908224124512186e9,1.290534358564152e9,288053.8870665822,0.493401639,1.2907855225081615e9,1.2904499155650694e9,335606.94309215806,0.24507573,1.2907980464798093e9,1.2904556026179824e9,342443.86182689667,0.785869917,1.2908122262689054e9,1.290282517388716e9,529708.8801894188,0.75317853
10,1.2907524204732103e9,1.290816076478322e9,1.2905616136119957e9,254462.86632630415,2.327416815,1.2908136562834263e9,1.2905563706165242e9,257285.66690212302,0.627530984,1.290777271775395e9,1.2905016149261332e9,275656.8492617272,0.360420364,1.2907876161787653e9,1.290460059198717e9,327556.9800481796,0.881231815,1.290798046476893e9,1.290339017470058e9,459029.0068349838,0.849568411
11,1.2907524204732103e9,1.290810040477607e9,1.2905740351984878e9,236005.27911921963,2.650381276,1.2908076241212614e9,1.2905714346793914e9,236189.44187008217,0.669322764,1.2907711373057396e9,1.2905658995693793e9,205237.73636023514,0.393989841,1.2907802214162614e9,1.290541892554921e9,238328.86134052277,0.975252201,1.2907876161774044e9,1.2904451723425589e9,342443.8348455429,0.958377492
12,1.2907524204732103e9,1.2908054206157684e9,1.2906163504015024e9,189070.21426617727,2.911549077,1.290803287516031e9,1.2906245023914497e9,178785.12458122522,0.696823601,1.290766916116312e9,1.290590683643953e9,176232.4723588638,0.424300903,1.2907757101323948e9,1.2905623048735852e9,213405.2588095665,1.076008004,1.290780221413621e9,1.2904526644038382e9,327557.00978279114,1.059496811
