iter,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,12945.441345047951,-2.7542774872865442e7,2.755572031421049e7,0.0,13294.837925690414,-2.7490078665042695e7,2.7503373502968386e7,0.0,13294.837925690414,-2.7490078665042695e7,2.7503373502968386e7,0.0,1.3515476746493775e7,-1.3987896756474614e7,2.750337350296839e7,0.0,1.3515476746493775e7,-Inf,Inf,0.0
2,9418.086412322522,-262138.37230327894,271556.4587156015,0.578681497,9418.41607490182,-262961.101866347,272379.51794124884,0.201117808,9418.41607517004,-262961.1018660788,272379.51794124884,0.195351243,21342.018368536235,-430421.35310311004,451763.3714716463,0.458459774,21342.018368536235,-2.7482031484599855e7,2.750337350296839e7,0.473851495
3,8507.0129655838,-131950.71722949372,140457.7301950775,1.04592357,8507.384292966128,-132248.07333215984,140755.45762512597,0.384493376,8379.100005328655,-132376.3176340786,140755.41763940724,0.36890862,11830.270645481349,-209087.32735410877,220917.59799959013,0.916785211,11830.27064549327,-439933.100826153,451763.3714716463,0.962853595
4,8226.571981775762,-67689.89296701318,75916.46494878894,1.660460631,8226.919654709101,-67614.74534823975,75841.66500294885,0.592905928,6419.449260586501,-197465.7605684684,203885.2098290549,0.567793494,9487.170680999756,-104400.44477210056,113887.61545310031,1.366788682,9487.170407956839,-211430.44074153385,220917.6111494907,1.433010192
5,8148.007693332434,-31631.226212817073,39779.23390614951,2.588193611,8148.417862778902,-31606.793604253762,39755.21146703266,0.787726225,5884.562967693806,-97823.69611987463,103708.25908756844,0.764592861,8827.253842449189,-51962.96899111112,60790.22283356031,1.81556371,7876.4906448304655,-106011.18011690848,113887.67076173895,1.888121986
6,8126.432038664818,-12513.636087695551,20640.06812636037,3.178018668,8126.862473273278,-12345.596294589872,20472.45876786315,0.995996495,4943.478245013953,-51499.2260676533,56442.70431266725,0.962871188,8630.022569864988,-23709.878528771784,32339.901098636772,2.270874576,6581.6370700955395,-153726.1168608015,160307.75393089704,2.357973175
7,5814.073351365329,-13145.207360156099,18959.280711521427,3.743580225,5814.176051032544,-13507.152587191209,19321.328638223753,1.197316145,4288.1139135479925,-112159.63331924927,116447.74723279726,1.139819115,8575.265112066269,-9936.946908971955,18512.212021038224,2.724337229,5758.002140212059,-77514.41393686988,83272.41607708194,2.808475119
8,4982.868326282502,-125125.47347381143,130108.34180009394,4.308460027,4982.945889103413,-125358.97638572195,130341.92227482537,1.409453117,4030.1246734797955,-57487.13700048011,61517.2616739599,1.342934964,6208.1894480884075,-130656.61564179652,136864.80508988493,3.166727139,4789.061681711674,-135428.5366661681,140217.59834787977,3.291893122
9,4751.706998664141,-62737.57983896618,67489.28683763032,4.849396529,4751.752181643248,-62009.155198978646,66760.9073806219,1.60609905,3583.197969120741,-90400.11537423021,93983.31334335095,1.506390876,5284.339768218994,-66925.1314104173,72209.4711786363,3.620378847,4665.365480571985,-69954.215633063,74619.58111363498,3.728411564
10,4683.012160199881,-32617.067877809615,37300.080038009495,5.436284211,4682.889453631639,-32902.463997447136,37585.35345107877,1.783017159,3388.775214791298,-45862.706089387146,49251.481304178444,1.713430957,5018.4129770159725,-32637.080528518934,37655.493505534905,4.079709928,4274.706687992812,-82911.16807031573,87185.87475830855,4.19810743
11,4663.148852139711,-15165.150860228587,19828.299712368298,6.022340852,4662.965872120857,-15956.772918253544,20619.738790374402,1.98989872,3083.393290400505,-74988.88988511669,78072.2831755172,1.88356998,4944.7857285976415,-15412.86710430498,20357.652832902622,4.536739921,3822.1559749364856,-43113.965765600646,46936.12174053713,4.651039058
12,4657.202080273629,-6012.5009854095015,10669.70306568313,6.622134416,4657.0172218978405,-6234.855056172997,10891.872278070838,2.205787336,2911.9312472462657,-38789.1327235662,41701.063970812465,2.091883911,4923.035903513432,-5926.627351946889,10849.66325546032,4.996490315,3424.9021817564967,-84990.59853556547,88415.50071732196,5.121090851
13,3756.8968862831593,-7258.535794990665,11015.432681273824,7.22038537,3756.926264917851,-7144.354333861362,10901.280598779213,2.417467896,2685.091847997904,-64726.982033327644,67412.07388132554,2.284147773,4916.787540113926,-6407.291801350533,11324.07934146446,5.462361226,3216.993484860659,-45498.503812181356,48715.49729704201,5.571006468
14,3396.892278659344,-81800.86089044677,85197.75316910612,7.77149305,3396.85392729044,-81132.42059439044,84529.27452168088,2.625030414,2516.3244664371014,-34780.62712869277,37296.951595129874,2.477369206,3935.349040603638,-83440.64671343111,87375.99575403475,5.907243211,2926.063720160723,-72823.93602859841,75749.99974875913,6.041008289
15,3292.776431781054,-42841.82225413478,46134.59868591583,8.283808285,3292.718345922232,-43249.688070002536,46542.406415924765,2.821524295,2311.535472285748,-61601.10515661839,63912.64062890413,2.641008984,3552.5105151176454,-43940.89175819532,47493.40227331297,6.370160435,2813.218919634819,-39205.01460351974,42018.23352315456,6.484009314
16,3259.41908878088,-21859.989183264493,25119.408272045373,8.814358687,3259.364948934317,-21978.402050949087,25237.766999883406,3.030049922,2219.811767756939,-31124.545944703117,33344.357712460056,2.842211426,3433.2707781076433,-21600.612888605596,25033.88366671324,6.831416796,2604.727593702078,-59948.550275554386,62553.27786925646,6.94942056
17,3250.3824889779094,-10210.585730154053,13460.968219131963,9.532578256,3250.3190133035187,-10038.12486535941,13288.443878662929,3.244166608,2079.5137318134307,-50696.636995560875,52776.150727374305,3.02038861,3400.718455249071,-10148.531173844241,13549.249629093312,7.287289972,2555.7901592969897,-29985.02832124795,32540.818480544942,7.392860244
18,2807.987067943812,-4597.969738638869,7405.956806582681,10.06041666,2807.953043830395,-4764.187004644884,7572.140048475279,3.447639377,2004.4996908485891,-25733.170291336643,27737.66998218523,3.228218751,3391.035953295231,-4208.0623184331325,7599.098271728363,7.747880383,2460.17879383564,-37797.669036493695,40257.84783032934,7.831364474
19,2598.0136262059214,-61850.07940905622,64448.09303526214,10.550628402,2597.9411857366563,-61352.65477789638,63950.59596363304,3.65985293,1901.5241280794144,-43009.83197389813,44911.356101977544,3.40171277,2917.1739387393,-63117.29760873047,66034.47154746977,8.200416708,2279.3059048175814,-57621.913373836884,59901.21927865446,8.299058767
20,2536.0440932989122,-32137.429582729597,34673.47367602851,11.061427484,2535.983672988415,-32514.54357986456,35050.527252852975,3.856486722,1826.5462890684605,-22414.561801405038,24241.1080904735,3.582436519,2691.5045999825,-31896.051437568465,34587.55603755097,8.652920059,2195.8096835911274,-29588.69693115203,31784.506614743157,8.742494344
21,2517.4154898762704,-16611.1537447956,19128.56923467187,11.567462005,2517.3204778373242,-16507.278778179963,19024.59925601729,4.057604276,1737.1608519196511,-40202.075030696746,41939.2358826164,3.751700889,2630.346119606495,-15993.370238703943,18623.716358310437,9.111756319,2069.08314229846,-47700.72684582759,49769.80998812605,9.215335485
22,2511.923079609871,-7824.417088351991,10336.340167961862,12.081348301,2511.8188239872457,-8141.105640919788,10652.924464907033,4.248339326,1675.8648702204227,-20806.26380645127,22482.12867667169,3.941666814,2611.6090436577797,-7615.454767274714,10227.063810932494,9.566710637,1981.206660836935,-24817.15977303428,26798.366433871215,9.659283754
23,2228.7439088702204,-3621.87239983123,5850.61630870145,12.598903807,2228.6972547471523,-3747.9793225419953,5976.676577289148,4.449456827,1601.200323867798,-36530.28637843297,38131.48670230077,4.125495845,2606.042537492514,-3285.6765646429562,5891.71910213547,10.022278685,1874.7521039545536,-43550.73274402355,45425.48484797811,10.129783293
24,2092.174290752411,-50135.37278856885,52227.54707932126,13.086478459,2092.1338526785376,-49607.50072168054,51699.63457435908,4.651776332,1553.1433154582978,-19211.88147033756,20765.02478579586,4.32694093,2312.3020885407927,-50123.89930380586,52436.20139234665,10.461560832,1806.238117825985,-23369.127011705947,25175.365129531932,10.575990524
25,2050.4026274204257,-26346.310685256067,28396.713312676493,13.614924195,2050.3479609668257,-26785.24892272207,28835.596883688893,4.861576103,1492.869429755211,-32777.23634307717,34270.10577283239,4.519455442,2175.861962801218,-26347.74020598562,28523.602168786838,10.915796378,1715.6955391168594,-39620.07154735624,41335.7670864731,11.048655721
26,2038.3705523192884,-13101.140805246192,15139.511357565481,14.161500466,2038.3282237052917,-13218.950123761531,15257.278347466823,5.057723218,1440.5324914693833,-17199.58222757474,18640.114719044126,4.718578157,2134.118400245905,-13633.804619137447,15767.923019383352,11.386553755,1650.6704385101796,-21000.45000389789,22651.12044240807,11.487003776
27,2034.776654917002,-6568.838442440047,8603.61509735705,15.259063258,2034.7290834069254,-6307.342544221453,8342.071627628378,5.260145856,1385.2685284793379,-31307.968018833864,32693.2365473132,4.900022277,2120.8806924104692,-6296.642996481568,8417.523688892037,11.840279937,1575.3699959933758,-36996.13803018401,38571.508026177384,11.97966379
28,1840.4675609469414,-3172.868328325092,5013.3358892720335,16.17517687,1840.4346648693086,-3215.2863979209583,5055.721062790267,5.450429313,1341.4998029112817,-16900.390793410636,18241.89059632192,5.076622245,2117.1236355245114,-2733.623006458886,4850.746641983397,12.30806692,1533.3305183053017,-19733.41914446411,21266.749662769413,12.417599674
29,1744.7155925273896,-41723.29073236632,43468.00632489371,16.673265869,1744.6865120530128,-41844.342416727945,43589.02892878096,5.652412897,1292.2810834169388,-29741.744565344132,31034.02564876107,5.261262001,1914.2204040706158,-42498.842848282235,44413.06325235285,12.749888849,1475.4966410756113,-32235.576313141486,33711.072954217096,12.893223935
30,1716.461089217663,-21817.422817251423,23533.883906469087,17.315377415,1716.4239687979223,-21778.43746559269,23494.861434390612,5.862261575,1252.0095300436021,-16024.679523103545,17276.689053147147,5.453917559,1813.4216787934304,-21763.180294907757,23576.60197370119,13.209784501,1435.2425659298897,-16764.37148608868,18199.61405201857,13.335521516
31,1708.171150583029,-11008.153118394079,12716.324268977107,17.822178446,1708.131901562214,-11061.325516153174,12769.457417715388,6.051392788,1206.5390728592872,-28431.11890318241,29637.657976041697,5.624732053,1784.148536926508,-10938.795009171958,12722.943546098466,13.668438788,1385.224790585041,-29549.80625218392,30935.031042768962,14.202757084
32,1705.71756888628,-5128.956033253399,6834.673602139679,18.330502876,1705.6804631769658,-5280.033034672724,6985.71349784969,6.246887355,1172.5419484078884,-15549.590105335756,16722.132053743644,5.793656642,1775.5719500541688,-5330.278775054354,7105.850725108523,14.136156594,1343.3076349556447,-15620.110948379339,16963.418583334984,15.197370396
33,1564.2748919188978,-2675.2223083286444,4239.497200247542,18.815591732,1564.2515042185785,-2528.464084266021,4092.7155884845997,6.45691774,1133.7855674922466,-27104.80207869675,28238.587646188997,5.980755575,1772.9339604318143,-2323.506434609217,4096.4403950410315,14.595506749,1297.9769963383676,-27826.20175609923,29124.178752437598,15.742426569
34,1494.3489391505718,-35666.96320245369,37161.31214160426,19.322537203,1494.3244540929795,-35528.99325971879,37023.31771381177,6.644249978,1108.7059310376644,-14342.518296515145,15451.22422755281,6.164066366,1626.1520501375198,-35917.280109546395,37543.432159683915,15.038526235,1255.9031591415405,-14516.691229062804,15772.594388204345,16.178707991
35,1472.5130519986153,-19028.17225986096,20500.685311859575,19.850860077,1472.4765192687512,-19065.234772588596,20537.711291857348,6.837210686,1076.4983838379383,-23971.396951507475,25047.895335345413,6.33472833,1553.7807655096055,-19121.452417852262,20675.233183361866,15.498247335,1212.9746297717095,-27404.886696797028,28617.861326568738,16.654088192
36,1465.9583740830421,-9679.21272041215,11145.171094495192,20.418680335,1465.9213352382185,-9809.544829497194,11275.466164735411,7.047065752,1049.6017589211465,-12789.56927191586,13839.171030837006,6.523339318,1531.4599399447443,-9655.384068914704,11186.844008859447,15.95703431,1173.8352027177812,-14323.643347680361,15497.478550398142,17.090184659
37,1464.0894755959512,-4520.172997049705,5984.262472645656,21.003174703,1464.0520164430143,-4586.8124122655045,6050.864428708519,7.261258961,1019.0698053598404,-23156.761719675927,24175.831525035766,6.686435721,1524.9325401842596,-4718.570599032815,6243.503139217075,16.414881203,1131.7638610005379,-27086.65993818357,28218.423799184107,17.555479811
38,1355.9616058230401,-2142.0203077421347,3497.9819135651746,21.586766988,1355.945180618763,-2189.91064902887,3545.855829647633,7.473317702,995.7143878102303,-11928.162965311492,12923.877353121723,6.869235373,1522.8254425108435,-2027.261838068635,3550.0872805794784,16.873260882,1121.4863125145437,-14208.258381503392,15329.744694017936,18.004052045
39,1302.5780255496502,-31253.33621923234,32555.91424478199,22.093383799,1302.5543474137785,-30934.843732868532,32237.39808028231,7.674709056,969.7209136605263,-21458.316533446945,22428.037447107472,7.060688618,1411.4313207149507,-31349.551802733404,32760.983123448354,17.315173232,1102.4164947330953,-17829.750853234553,18932.167347967646,18.469606504
40,1286.1319298505784,-16521.955883077124,17808.0878129277,22.689064756,1286.1007366776466,-16680.592357293634,17966.69309397128,7.851509457,946.869823151827,-11567.408694747266,12514.278517899093,7.220935632,1355.5898765444756,-16501.33377223054,17856.923648775017,17.767511487,1065.6593970000745,-9499.846319303737,10565.505716303811,18.911010086
41,1280.97303994298,-8673.924210063924,9954.897250006903,23.301355188,1280.9437373042108,-8841.706756130134,10122.650493434345,8.05778722,922.2873122036458,-20658.034833306254,21580.3221455099,7.409483803,1338.510194772482,-8489.671285621014,9828.181480393496,18.223142395,1039.135681170225,-21254.45573625828,22293.591417428503,19.381757928
42,1279.3975078880787,-4356.622458120671,5636.019966008749,23.836400659,1279.3685759186747,-4176.064945063741,5455.433520982416,8.25942686,899.6637637495995,-10774.145417783857,11673.809181533456,7.595580018,1333.4584142029287,-4097.482536390153,5430.940950593082,18.692028439,1007.6169942796231,-11390.576750537053,12398.193744816675,19.839250351
43,1194.9066357553006,-2055.347999896949,3250.25463565225,24.537720945,1194.8749860823154,-2054.064378468216,3248.9393645505315,8.445769388,876.9448790252209,-20116.24553934138,20993.1904183666,7.799908291,1331.9096264600755,-1801.6623080191423,3133.571934479218,19.152220083,979.0354645252228,-22538.752551467256,23517.78801599248,20.316044185
44,1152.0978510677814,-27617.093436688883,28769.191287756665,25.126920517,1152.0716079890728,-27671.177148911327,28823.2487569004,8.650258238,856.7334813177586,-10638.093746925224,11494.827228242983,7.987332855,1244.4230646312237,-28064.442103835423,29308.865168466647,19.595845339,955.1187300026418,-11886.599819524468,12841.71854952711,20.754174769
45,1138.538467335701,-15067.358349446498,16205.896816782199,25.66683166,1138.5071839630605,-14990.216501205387,16128.723685168447,8.861970915,835.6313815355302,-19364.395469159044,20200.026850694576,8.191102827,1200.2956744968892,-14752.641908346342,15952.937582843231,20.054577229,928.4112585425378,-21611.59086708996,22540.002125632498,21.236122707
46,1134.7861767828465,-7359.941094825089,8494.727271607935,26.230231062,1134.7529147088528,-7417.207963483309,8551.960878192162,9.066607658,813.74910004735,-10007.46085878312,10821.20995883047,8.38755608,1187.183430302143,-7431.583551389921,8618.766981692064,20.522587468,903.7955152869225,-11101.611430260344,12005.406945547265,21.679222713
47,1133.6698350906372,-3484.092140501539,4617.761975592176,26.798018077,1133.6365379333497,-3588.6838006730873,4722.320338606437,9.271041765,793.6991176486016,-18855.098473995073,19648.797591643674,8.581230593,1183.2865805923939,-3563.326093654967,4746.612674247361,20.978368017,879.4015557765961,-20720.693808410637,21600.095364187233,22.15378327
48,1065.7339008569718,-1807.9934991659645,2873.7274000229363,27.341619353,1065.7043651700021,-1718.2351904311215,2783.9395556011236,9.48628625,776.5874099731445,-10604.324329335988,11380.911739309133,8.768581633,1182.0802087903023,-1628.7351911330936,2810.815399923396,21.442836784,861.3884005069733,-10965.100108798391,11826.488509305365,22.59386539
49,1031.535664409399,-24765.055766255562,25796.59143066496,27.888556956,1031.5070467174053,-24839.55167265225,25871.058719369656,9.699193801,756.6532245397568,-18517.70382505,19274.35704958976,8.968711287,1111.251152521372,-25250.534187741963,26361.785340263334,21.887449997,839.506783425808,-19485.263617589746,20324.770401015554,23.068634408
50,1020.9579632043839,-13106.76012581446,14127.718089018845,28.421454996,1020.9294381558896,-13103.818053786898,14124.747491942788,9.908414159,741.3011549770832,-9599.841888553365,10341.143043530448,9.145405015,1075.7202397108078,-13209.301209300409,14285.021449011218,22.347606156,821.8649750173092,-10443.711503303773,11265.576478321083,23.506970581
51,1017.8463569045067,-6666.520115560566,7684.3664724650735,28.936741417,1017.8182916224004,-6673.842477707806,7691.660769330207,10.118631828,724.1873803615571,-17784.222188049847,18508.409568411404,9.31752613,1065.2920621156693,-6629.019625065225,7694.311687180894,22.80773001,802.12056183815,-18609.03511357931,19411.15567541746,23.98209037
52,1016.9490160524846,-3231.960352721555,4248.90936877404,29.450006528,1016.9210302352906,-3183.132127198146,4200.053157433436,10.33404424,711.6314907312394,-9301.728461243385,10013.359951974624,9.509665315,1062.2020935297012,-3181.463681072096,4243.665774601797,23.274053928,785.1085519909859,-9628.308923009059,10413.417475000046,24.420706433
53,961.6083920955658,-1649.9737821294298,2611.5821742249955,29.97503962,961.5879442632199,-1615.5494354410575,2577.1373797042775,10.55106402,696.3867408931255,-16485.972145093892,17182.358885987018,9.677731598,1061.235395771265,-1456.747870309198,2517.983266080463,23.736849312,767.1918461561204,-17852.957859176044,18620.149705332165,24.897508883
54,933.3869441866875,-22535.430358459882,23468.81730264657,30.47370139,933.3656984984875,-22576.9867898927,23510.35248839119,10.742687975,683.7563621222973,-8818.34625097833,9502.102613100627,9.864001542,1004.0428729653358,-23001.701720761994,24005.74459372733,24.175791874,750.2585913419724,-9324.318990094962,10074.577581436934,25.340867791
55,925.0665200293065,-11836.021240949616,12761.087760978922,30.997491686,925.0486060082912,-11828.505027362758,12753.55363337105,10.944538727,669.7098765969276,-15739.965198169353,16409.67507476628,10.052823401,974.0336720883847,-11788.024218383012,12762.057890471397,24.632010894,732.301114076376,-17695.63889275409,18427.940006830468,25.813183619
56,922.550202715397,-6300.017242839244,7222.567445554641,31.824818267,922.5323380291462,-6073.717518128534,6996.24985615768,11.151200733,657.9159692406655,-8208.183604965905,8866.09957420657,10.242236403,965.5380417168141,-6150.251959304852,7115.790001021666,25.090015962,715.6600994348527,-9299.484468801682,10015.144568236534,26.245191905
57,921.7482604920865,-2992.9462965936914,3914.694557085778,32.338634642,921.7280580163002,-3078.6101868159644,4000.3382448322645,11.361345968,645.2903084278107,-15098.831621708347,15744.121930136158,10.420465346,962.9157404363156,-2848.1499916299967,3811.065732066312,25.553938814,698.7143788337708,-17157.62825084336,17856.342629677132,26.715953967
58,875.7082862198354,-1434.2816547035632,2309.9899409233985,32.849703214,875.6883524000646,-1505.6680787469154,2381.35643114698,11.90568642,633.8704453766346,-7998.527094683443,8632.397540060078,10.604830834,962.1179201245309,-1333.4724802885921,2295.590400413123,26.009613653,685.9777970254422,-9139.72347168156,9825.701268707002,27.149514025
59,852.2338048398495,-20679.123626713295,21531.357431553144,33.344755813,852.2190354049206,-20713.852099218955,21566.071134623875,12.091471388,621.4674822449684,-14996.537853560292,15618.005335805261,10.798867758,914.3695612967015,-20965.406864219225,21879.776425515927,26.463450402,670.9208751618862,-16284.374165050089,16955.295040211975,27.614457749
60,844.3938617885113,-11401.894305846137,12246.288167634648,33.799392893,844.378662455082,-11269.200070656945,12113.578733112026,12.273246023,612.5605686724186,-7574.594392421296,8187.1549610937145,11.011219643,889.4592932343484,-10956.759966835678,11846.219260070025,26.921302877,660.5621898949147,-8789.95062816557,9450.512818060484,28.055542433
61,842.2402498543263,-5563.825059749297,6406.065309603623,34.302621337,842.2207846403122,-5663.492982332424,6505.713766972736,12.459671749,602.4537196040154,-13440.557450584834,14043.011170188849,11.190577032,881.9684221088887,-5723.5340118489585,6605.502433957848,27.38475715,647.4308947861196,-15082.193671698604,15729.624566484723,28.520767557
62,841.6169664859772,-2657.4930666727196,3499.1100331586968,34.791195807,841.5962393581867,-2780.974847197079,3622.5710865552655,12.639368723,593.4319636106492,-7229.3445771920115,7822.776540802661,11.379924776,879.6767799794675,-2643.3124449956854,3522.989224975153,27.843136721,636.6513259887696,-7824.845072124982,8461.496398113752,28.962081568
63,801.9301174461842,-1339.3921996394479,2141.322317085632,35.273697515,801.9137598812581,-1348.040127523413,2149.953887404671,12.837990048,584.0786800384521,-13194.041596449963,13778.120276488415,11.558934798,879.0136112570763,-1247.0788742992072,2126.0924855562835,28.2983206,624.6301695764065,-14651.669551213505,15276.299720789912,29.432781254
64,781.5879949629307,-19231.884913750822,20013.472908713753,35.73955225,781.5732703864575,-19191.93523955265,19973.508509939107,13.049038042,574.9987204492093,-7066.9579186902565,7641.956639139466,11.73981187,837.9274135470391,-19232.668723190334,20070.596136737375,28.740870414,613.5066247403622,-7545.051265399155,8158.557890139517,29.871788737
65,775.3248300373555,-10176.572183612536,10951.897013649892,36.208270334,775.3101045668126,-10127.070806715741,10902.380911282553,13.240675578,565.5124347150326,-12937.601859667,13503.114294382032,11.944479706,816.9171221613884,-10299.822058789972,11116.739180951361,29.189281778,602.3492395997048,-13765.493483830047,14367.842723429752,30.340056632
66,773.5959129154683,-5068.126962280944,5841.722875196412,36.689438672,773.5792673468591,-5069.803558657244,5843.382826004104,13.418861451,556.7191197395325,-6807.268956576722,7363.988076316255,12.139544351,810.4302209377289,-5247.626335172347,6058.056556110077,29.639602993,591.526890206337,-7227.568805066926,7819.095695273263,30.776290974
