iter,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,16277.570930127054,-1.8121715801240966e7,1.8137993372171093e7,0.0,16278.179253850132,-1.8150665261068754e7,1.8166943440322604e7,0.0,16278.179253850132,-1.8150665261068754e7,1.8166943440322604e7,0.0,8.78669316305516e6,-9.380250277267445e6,1.8166943440322604e7,0.0,8.78669316305516e6,-Inf,Inf,0.0
2,11326.486850261688,-353485.6595085305,364812.1463587922,0.85614137,11324.607960123569,-355017.3576141055,366341.9655742291,0.745104237,11324.607960123569,-355017.3576141055,366341.9655742291,0.74578898,21066.836198370904,-419183.1009565632,440249.9371549341,0.828337887,21066.836198378354,-1.8145876604124226e7,1.8166943440322604e7,0.833662307
3,9875.15391137451,-181744.07616878895,191619.23008016346,1.709716817,9874.26038588211,-182191.50932484193,192065.76971072404,1.505383002,9874.26038588211,-182191.50932484193,192065.76971072404,1.506462454,13643.082333106548,-211377.55507790545,225020.637411012,1.664883163,13643.082333106548,-426606.85482182755,440249.9371549341,1.668325688
4,9494.17440751195,-87721.7043191117,97215.87872662365,2.573669163,9493.74008943513,-88653.06730816659,98146.80739760172,2.265568334,8025.62338302657,-90121.18401457515,98146.80739760172,2.268433573,11613.78663611412,-105352.09642609487,116965.88306220899,2.499528038,11613.785151783377,-213406.9360671301,225020.72121891347,2.501281323
5,9379.032489657402,-43845.119458768124,53224.151948425526,3.424802341,9378.781984414905,-43458.149426588294,52836.9314110032,3.026256013,6607.246682047844,-185225.93560607944,191833.18228812728,3.025515776,11048.673967018723,-52834.08529280199,63882.75925982071,3.331272528,9128.799562647939,-107837.03849465383,116965.83805730176,3.324248678
6,9344.02058948949,-19654.010273699274,28998.030863188764,4.283125792,9344.07644912973,-19610.611803189095,28954.688252318825,3.78992437,6210.821894992143,-92131.42266644612,98342.24456143826,3.784187961,10873.984733000398,-23714.28593643142,34588.27066943182,4.160678345,7461.869691368192,-197489.71538572846,204951.58507709665,4.168641529
7,6946.604788612574,-13530.223114629407,20476.82790324198,5.131084709,6950.4814564064145,-13602.855609721999,20553.337066128413,4.547242705,5507.703901249915,-48649.34264046591,54157.04654171583,4.538439172,10823.788190610707,-12527.115148833087,23350.903339443794,4.991890194,6962.342999175191,-102181.84999983512,109144.19299901031,4.992398849
8,6040.254574779421,-145181.19545490982,151221.45002968924,5.962285147,6041.180332668126,-144256.2552720505,150297.43560471863,5.303566353,5015.064440622926,-106894.96999948997,111910.0344401129,5.281152984,7802.540360894054,-159114.5781959155,166917.11855680955,5.808058971,5947.233459554613,-151523.5200221831,157470.75348173772,6.297233575
9,5779.040549047291,-74930.3524033043,80709.3929523516,6.812014356,5779.727253906429,-75135.26929015454,80914.99654406097,6.056028604,4443.433411628008,-55436.13613022187,59879.56954184988,6.045459337,6674.836461625993,-82041.99091774621,88716.8273793722,6.656609846,5559.9775935821235,-79183.07780328204,84743.05539686416,8.710781557
10,5692.982117541134,-39295.84911473783,44988.831232278964,7.671553079,5694.158999711275,-39804.53550371058,45498.69450342185,6.818170794,3934.126391019672,-107704.21180171042,111638.3381927301,6.78308309,6347.0503154583275,-42334.22045587031,48681.270771328636,7.485570075,4963.146628905088,-115913.77322955923,120876.91985846432,10.092635918
