iter,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,13111.69427626133,-2.7173045760413427e7,2.718615745468969e7,0.0,13332.633940815926,-2.7180832935575247e7,2.7194165569516063e7,0.0,13332.633940815926,-2.7180832935575247e7,2.7194165569516063e7,0.0,1.3373479468802655e7,-1.3820686100713408e7,2.7194165569516063e7,0.0,1.3373479468802655e7,-Inf,Inf,0.0
2,8796.500958317518,-288645.67633090174,297442.1772892193,0.598865217,8796.941948848964,-292474.2393887519,301271.18133760086,0.239691191,8796.941948843003,-292474.23938875785,301271.18133760086,0.188249267,20901.1627504766,-419520.9062891006,440422.0690395772,0.517168137,20901.16275046468,-2.71732644067656e7,2.7194165569516063e7,0.480579445
3,7622.235146915913,-146951.76737798745,154574.00252490336,1.139984614,7624.626277089119,-146649.23002960798,154273.8563066971,0.470089823,7623.387702250481,-146650.46860444674,154273.8563066972,0.43429998,11770.950961965324,-207350.4561809551,219121.40714292042,1.036143476,11770.950961941482,-428651.11807763577,440422.06903957727,0.959959991
4,7265.062844729424,-77658.0274905997,84923.09033532914,1.748674506,7267.022463667393,-76313.31062789349,83580.33309156088,0.700328857,6293.014241373539,-78733.94686294782,85026.96110432137,0.643217937,9386.849048233033,-107539.80529606284,116926.65434429588,1.566202744,9386.859039092064,-209734.07876208427,219120.93780117633,1.439376163
5,7162.890466654301,-37558.925794749055,44721.81626140336,2.716605118,7164.730839323998,-38263.99127075837,45428.72211008237,0.93791705,5204.123747003079,-144275.94611418986,149480.06986119295,0.873650871,8676.113571655751,-55818.35602709834,64494.46959875409,2.097458118,7893.281767779589,-109033.07854960159,116926.36031738117,1.899363802
6,7130.904444515705,-17360.362475006586,24491.26691952229,4.529518987,7131.916745483875,-17621.90055659034,24753.817302074214,1.1656977,4862.191475582123,-76474.82660938926,81337.01808497138,1.11769448,8455.247380077839,-25428.194099932633,33883.44148001047,2.619567226,6643.124589282274,-151463.51969803317,158106.64428731543,2.399646371
7,5275.729235237837,-11267.740110233333,16543.46934547117,5.145124262,5276.871330863238,-12353.22776385517,17630.099094718407,1.378351795,4287.749252450466,-41400.02561975358,45687.77487220404,1.322674122,8393.672662192583,-10055.461428634606,18449.13409082719,3.10683705,5761.445454001427,-79539.99866469433,85301.44411869576,2.869843222
8,4561.926437360048,-114464.66417760758,119026.59061496763,5.705405234,4562.423634552956,-114629.80770562208,119192.23134017503,1.602815029,3870.955200433731,-87283.74472059958,91154.69992103332,1.517062726,8374.733650648594,-10413.942637988572,18788.676288637165,3.594066369,4740.813557708264,-136002.01565887762,140742.82921658587,3.358075752
9,4349.911582559347,-59630.86613291354,63980.77771547289,6.28323162,4350.152996683121,-59753.454116598485,64103.60711328161,1.844687928,3417.647265952826,-45954.42462659584,49372.071892548665,1.757190684,5909.021058237553,-124645.61946911056,130554.64052734812,4.072900932,4424.464554464817,-73348.03689574456,77772.50145020938,3.844485819
10,4282.460472881794,-31170.329621150588,35452.79009403238,6.909932987,4282.640015935898,-31899.121063185507,36181.7610791214,2.147971954,3015.5150337696077,-85248.87078512112,88264.38581889073,1.963546219,5052.227935564519,-62194.371682183046,67246.59961774756,4.561249879,4197.421009999513,-36424.98910694818,40622.41011694769,4.308722843
11,4264.461998385191,-14547.547424995031,18812.009423380223,7.505052014,4264.6294665932655,-14428.267637696204,18692.89710428947,2.504277318,2892.0599151670935,-45854.78097122115,48746.84088638824,2.161614678,4813.97485153079,-32558.186230320596,37372.16108185139,5.055139804,3841.5076531648638,-53175.12393024349,57016.63158340836,4.770463661
12,4258.445964932442,-6350.410533324262,10608.856498256704,8.132164814,4258.6069034457205,-6438.158536734868,10696.765440180588,2.805207119,2682.871084868908,-25437.634793635283,28120.50587850419,2.372232407,4738.935816526413,-16204.790767740269,20943.726584266682,5.54533529,3386.1738626003266,-89379.90999345739,92766.08385605771,5.258736047
13,3453.875105118752,-6887.631400164253,10341.506505283005,8.738374024,3454.2578218579292,-6641.595948940852,10095.853770798782,3.040686235,2526.4268374800686,-52357.359304973994,54883.78614245406,2.572201004,4714.699308276176,-6425.56459655716,11140.263904833337,6.037881648,3199.377926898003,-46374.09014913456,49573.46807603256,5.725414875
14,3128.3512442290785,-76982.73575835423,80111.08700258331,9.260272494,3128.5735827326776,-76431.15015012478,79559.72373285746,3.476438407,2367.443574035168,-26587.79184776285,28955.235421798017,2.767877534,4707.86107621193,-6048.040380647513,10755.901456859443,6.534575436,2898.8375399231913,-73781.91118249943,76680.74872242262,6.211222109
15,3034.474306893349,-39372.51889261909,42406.993199512435,9.844619459,3034.57846429348,-39669.52876651711,42704.107230810594,3.750846525,2225.788264632225,-49825.95136051628,52051.739625148504,2.975182507,3787.5414692223076,-79715.4602740916,83503.00174331391,7.021762959,2761.822604131699,-38033.09050127232,40794.91310540402,6.675074743
16,3007.250393205881,-19898.554848858803,22905.805242064685,10.465230558,3007.3340386748314,-20296.784962185608,23304.11900086044,4.111015212,2095.707554394007,-26809.534129481555,28905.241683875563,3.162728894,3428.8698320746425,-42733.91791544828,46162.78774752292,7.514642386,2546.776414996386,-61162.305040576604,63709.08145557299,7.162456036
17,2998.7515369951725,-9697.91090415546,12696.662441150633,11.07845791,2998.8319236934185,-9737.727519944472,12736.55944363789,4.37990753,1965.1510268867016,-48417.90560251593,50383.05662940263,3.369664177,3316.4496343433857,-21548.542580446345,24864.99221478973,7.998030448,2439.014425432682,-31738.728610134807,34177.74303556749,7.628718984
18,2604.3155286848546,-4296.673384281616,6900.988912966471,11.844102788,2604.511417168379,-4370.372074469448,6974.883491637827,4.624289965,1846.606029200554,-26284.35814138196,28130.964170582512,3.551920626,3282.942022484541,-10679.349562499345,13962.291584983886,8.482178818,2282.170147716999,-52012.20534254136,54294.37549025836,8.119231832
19,2417.5682191967967,-57997.54186533008,60415.110084526874,12.401595013,2417.6733643352986,-57735.38799694241,60153.06136127771,4.858916702,1721.8551612615586,-47232.45851312346,48954.31367438502,3.743789548,3272.3490394055843,-4378.577044211879,7650.9260836174635,8.970936652,2171.004639416933,-26675.758647300263,28846.763286717196,8.583785396
20,2362.7536801815036,-30209.813331140725,32572.56701132223,12.960753074,2362.8113963603973,-30310.11575017234,32672.927146532737,5.100370926,1684.644946652651,-24941.921372821365,26626.566319474015,3.965788963,3269.111888796091,-4343.902719903495,7613.0146086995865,9.464489874,2044.576361691952,-47432.280711309795,49476.857073001745,9.074629652
21,2346.1580765724184,-15350.107924840719,17696.266001413136,13.559813597,2346.214392876625,-15624.424283767,17970.638676643626,5.319874022,1608.257053589821,-36928.43869046032,38536.69574405014,4.14983517,2781.615813612938,-59863.23106594676,62644.8468795597,9.938111461,1951.591770452261,-24904.955876668384,26856.547647120646,9.53260084
22,2341.0556013524533,-7562.481477698335,9903.537079050788,14.116945509,2341.1106835365295,-7543.276215588849,9884.386899125378,5.548509946,1562.274831479788,-19709.097569466725,21271.37240094651,4.370728791,2576.140921276808,-31358.044547137444,33934.18546841425,10.423010001,1840.8450681269169,-43764.55688169786,45605.40194982478,10.014803697
23,2339.4535636365413,-3129.7722753986086,5469.22583903515,14.698154477,2339.5338357448577,-3165.890728702722,5505.4245644475795,5.820112494,1503.4642727136613,-32209.975901038735,33713.440173752395,4.577555551,2515.6179975628856,-16578.107932979183,19093.72593054207,10.912774108,1766.694220787287,-23001.186170661775,24767.88039144906,10.480733855
24,2063.62485883832,-3969.500088088372,6033.124946926692,15.266305739,2063.7148077607158,-3594.114499556264,5657.82930731698,6.054604914,1455.1063334167004,-17567.235075070235,19022.341408486936,4.784785177,2495.256632202864,-7907.702020877376,10402.958653080239,11.40795188,1676.0730144858362,-39868.944477492696,41545.017491978535,10.963979277
25,1942.6842675507069,-46725.131779192714,48667.81604674342,15.820965038,1942.7310436666012,-47083.3578701997,49026.088913866304,6.275398152,1401.4051862418653,-30735.703579262623,32137.108765504487,5.010017719,2489.419647628069,-3437.3012548538804,5926.720902481949,11.894835523,1625.8106310486794,-20815.39948136864,22441.21011241732,11.416720851
26,1905.450160944462,-24746.53729087447,26651.98745181893,16.361735993,1905.494031482935,-24609.55022010093,26515.044251583866,6.499401075,1355.8987262725832,-16387.1659239398,17743.064650212382,5.229197047,2487.495429956913,-3467.3275955357526,5954.823025492666,12.421966533,1556.2263072133064,-34674.74937466504,36230.97568187835,11.909102227
27,1894.8899271667005,-12282.588229925186,14177.478157091888,16.926680544,1894.9344609856607,-12433.442488877528,14328.376949863188,6.733961622,1305.7196770548821,-29785.953691504947,31091.67336855983,5.437049392,2180.171429538727,-47812.303766217236,49992.475195755964,12.898028849,1538.163893353939,-18894.858113074682,20433.022006428622,12.359935611
