iter,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,8418.6006653402,-8.745872126189938e6,8.754290726855278e6,0.0,9191.128444582224,-8.679961433264654e6,8.689152561709236e6,0.0,9191.128444582224,-8.679961433264654e6,8.689152561709236e6,0.0,4.20231286923223e6,-4.486839692477006e6,8.689152561709236e6,0.0,4.20231286923223e6,-Inf,Inf,0.0
2,6784.634655050933,-140841.74049119622,147626.37514624716,0.176768588,6789.672220647335,-139577.43466637513,146367.10688702247,0.14757731,6789.672220647335,-139577.43466637513,146367.10688702247,0.141034776,10613.150354299694,-215723.47335012746,226336.62370442715,0.176690274,10613.150354299694,-8.678539411354937e6,8.689152561709236e6,0.172766537
3,6331.066583363339,-70635.3380870083,76966.40467037164,0.359742279,6345.804855285212,-71150.80950467473,77496.61435995995,0.288070958,5362.449871595949,-72134.16448836398,77496.61435995993,0.277913773,6644.087316757068,-106455.76595236613,113099.8532691232,0.346279082,6644.087316758931,-219692.53638766822,226336.62370442715,0.344477799
4,6194.79527765885,-35511.62879197254,41706.42406963139,0.53935529,6211.5570384617895,-36584.94695533041,42796.5039937922,0.434366647,3987.427420247346,-126667.13658923261,130654.56400947996,0.42513438,5601.062301654369,-52471.93173773073,58072.9940393851,0.51725555,5601.062546316534,-107498.77720850291,113099.83975481945,0.517459895
5,6158.75917384401,-15621.634356803472,21780.39353064748,0.720477447,6176.100940857083,-15831.41850000172,22007.519440858803,0.581865235,3643.7669656518847,-63725.0781035384,67368.84506919028,0.562991376,5325.315943615511,-25515.985372584004,30841.301316199515,0.685635217,4396.53424119018,-53676.51519726462,58073.0494384548,0.679975406
6,4219.314181119204,-9299.78163777315,13519.095818892354,0.902394049,4230.787793505937,-10599.998757234145,14830.786550740082,0.731238199,2995.5846287664026,-33273.42682174597,36269.01145051237,0.714186985,5244.913956290111,-11415.630156184878,16660.54411247499,0.853781483,3565.5040844865143,-97547.80926757607,101113.31335206259,0.851395319
7,3522.743794184178,-91412.80828199448,94935.55207617866,1.17274804,3525.941580509767,-89770.90957467005,93296.85115517981,0.877600816,2552.687556538731,-70218.54190008447,72771.2294566232,0.852840103,5221.289085248485,-6325.877310527498,11547.166395775983,1.021106822,3291.574588280171,-47742.90849313019,51034.48308141036,1.018149058
8,3325.312218312174,-46673.62138234575,49998.933600657925,1.355324765,3327.9979803450406,-47399.18583983483,50727.18382017987,1.021610066,2426.9073416665196,-37368.24298758458,39795.1503292511,0.992992362,3740.7288625985384,-78798.70840371441,82539.43726631295,1.183459982,2804.255624767393,-74670.90326953158,77475.15889429898,1.191206517
9,3266.468947209418,-24045.482408207074,27311.95135541649,1.531439769,3268.797365738079,-24391.626963802497,27660.424329540576,1.168512949,2206.535797217861,-19800.944744579196,22007.480541797057,1.135343058,3184.5898852106184,-41200.93398786332,44385.52387307394,1.403160966,2628.7930714096874,-37961.51741251329,40590.31048392298,1.353776831
10,3250.178575685248,-11061.567921423066,14311.746497108314,1.713225825,3252.342759864405,-11399.356849342586,14651.699609206991,1.316159292,2053.9473181553185,-40941.00316207536,42994.95048023068,1.281916931,3019.9821303579956,-19658.896798755122,22678.878929113118,1.57077963,2355.430400909856,-55103.34765939001,57458.77806029987,1.529350264
