iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,6.592849225990342e8,6.635950214639279e8,6.447753128719627e8,1.881970859196522e7,0.0,6.635565171115643e8,6.447422151527495e8,1.881430195881479e7,0.0,6.635565171115643e8,6.447422151527495e8,1.881430195881479e7,0.0,6.698694058418797e8,6.510551038830649e8,1.881430195881486e7,0.0,6.698694058418797e8,-Inf,Inf,0.0
2,6.592849225990342e8,6.61769800676911e8,6.527746713414797e8,8.99512933543138e6,0.630153175,6.617582347117337e8,6.527967143472478e8,8.96152036448591e6,0.24565141,6.617582347117337e8,6.527967143472478e8,8.96152036448591e6,0.243937342,6.63612885617038e8,6.546598646119726e8,8.953021005065441e6,0.59094803,6.63612885617038e8,6.447985836582232e8,1.881430195881486e7,0.539284006
3,6.592849225990342e8,6.609228148910334e8,6.552330834705048e8,5.689731420528686e6,1.266479283,6.609140281854e8,6.552340532729516e8,5.679974912448389e6,0.468483552,6.609140281854e8,6.552340532729516e8,5.679974912448389e6,0.463836569,6.618173539488525e8,6.560959511334915e8,5.721402815361023e6,1.151884874,6.618173539488525e8,6.528643329437871e8,8.953021005065441e6,1.034906732
4,6.592849225990342e8,6.60451802333162e8,6.563717314511226e8,4.08007088203934e6,1.901698349,6.604403123055754e8,6.563511241863952e8,4.0891881191802323e6,0.676063918,6.604403123055754e8,6.563511241863952e8,4.0891881191802323e6,0.686212685,6.609629372568288e8,6.568262171616609e8,4.1367200951678753e6,1.699842076,6.609629372534922e8,6.552415344222037e8,5.721402831288576e6,1.527785196
5,6.592849225990342e8,6.601638588123753e8,6.570635119365004e8,3.1003468758748937e6,2.526779081,6.60153165864354e8,6.570533018611716e8,3.0998640031824484e6,0.878356361,6.601642494122396e8,6.570643854090571e8,3.0998640031824484e6,0.915390171,6.604792684326254e8,6.573474391298474e8,3.1318293027780056e6,2.24801725,6.604792684220799e8,6.56342548285652e8,4.1367201364278793e6,2.023409927
6,6.592849225990342e8,6.599751291697752e8,6.574990968037058e8,2.476032366069477e6,3.161282106,6.599695326100705e8,6.57522603762688e8,2.446928847382482e6,1.102371365,6.599387809698899e8,6.573916778072993e8,2.547103162590675e6,1.5888671,6.601873645729344e8,6.577158964244795e8,2.4714681484549046e6,2.793449397,6.601873645746596e8,6.570555353503771e8,3.131829224282503e6,2.529671996
7,6.592849225990342e8,6.598458305177964e8,6.578124260952322e8,2.0334044225641228e6,3.775322187,6.598415949538687e8,6.578146155581782e8,2.0269793956905901e6,1.330152246,6.597776324486146e8,6.574836444134032e8,2.293988035211453e6,1.824534038,6.600005887220345e8,6.579471603875239e8,2.0534283345105648e6,3.335363895,6.59993898223379e8,6.575224300432051e8,2.471468180173874e6,2.942718932
8,6.592849225990342e8,6.597518820481808e8,6.5802371670032e8,1.7281653478607722e6,4.413980307,6.597483369311955e8,6.580295425112644e8,1.718794419931069e6,1.558889765,6.596634622189817e8,6.577412309501641e8,1.9222312688176185e6,2.027432518,6.598700671068244e8,6.581286028106542e8,1.7414642961702347e6,3.880972633,6.598119542819394e8,6.573446285789682e8,2.46732570297122e6,3.442612992
9,6.592849225990342e8,6.596782487197499e8,6.58172879627609e8,1.5053690921408795e6,5.041721522,6.596749076060123e8,6.581728587934264e8,1.5020488125859331e6,1.774203786,6.595828869955508e8,6.579795214437319e8,1.6033655518188085e6,2.248072362,6.597750823080621e8,6.582497947322803e8,1.5252875757818222e6,4.398097509,6.596898600352697e8,6.576857555961065e8,2.004104439163208e6,4.360319973
10,6.592849225990342e8,6.596235847019825e8,6.583382510865138e8,1.2853336154687852e6,5.667337709,6.596210347076775e8,6.583469876379814e8,1.2740470696960092e6,2.007874815,6.59520449030711e8,6.581314561020743e8,1.388992928636808e6,2.463746237,6.596997193170941e8,6.583461576049173e8,1.3535617121767998e6,4.904256601,6.596036087349137e8,6.579327844381391e8,1.6708242967746258e6,5.44295132
11,6.592849225990342e8,6.595759157870709e8,6.584222428577689e8,1.1536729293020107e6,6.298438364,6.595733754910622e8,6.584206571257254e8,1.1527183653368186e6,2.239547252,6.594756403860912e8,6.583136786430489e8,1.1619617430423852e6,2.69410843,6.59633981189748e8,6.584448067655602e8,1.1891744241878986e6,5.405058412,6.59538271637661e8,6.58108132269738e8,1.4301393679230213e6,6.088153391
12,6.592849225990342e8,6.595395550536957e8,6.585028995543121e8,1.0366554993836246e6,6.929305612,6.595371805839543e8,6.585025204709936e8,1.0346601129607167e6,2.470620711,6.594427184894196e8,6.584461848994561e8,996533.5899634883,2.910786994,6.59588111520686e8,6.585461754334313e8,1.0419360872547626e6,5.911549886,6.59491373801333e8,6.582872831750407e8,1.2040906262922287e6,6.581786695
13,6.592849225990342e8,6.59511346192289e8,6.585895918118795e8,921754.3804094307,7.572125292,6.595093289353967e8,6.585922393104111e8,917089.6249856241,2.706311715,6.594135620222058e8,6.585172300549047e8,896331.9673010837,3.123663276,6.595524126127945e8,6.586317603791114e8,920652.2336831093,6.411651341,6.594509222353998e8,6.583752459200033e8,1.0756763153965473e6,7.086712367
