iter,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,12762.067180752754,-2.7257931183927346e7,2.72706932511081e7,0.0,13152.783272260429,-2.719456448513811e7,2.720771726841037e7,0.0,13152.783272260429,-2.719456448513811e7,2.720771726841037e7,0.0,1.3373268703558529e7,-1.3834448564851841e7,2.720771726841037e7,0.0,1.3373268703558529e7,-Inf,Inf,0.0
2,9420.316528522968,-249905.2969330205,259325.61346154346,0.584192946,9420.454615718127,-249902.02860078093,259322.48321649907,0.246257519,9420.454614371061,-249902.028602128,259322.48321649907,0.213297379,20786.652891343834,-419039.0461330544,439825.6990243982,0.533017315,20786.65289133787,-2.7186930615519032e7,2.720771726841037e7,0.497839077
3,8558.69783604145,-123933.15096561261,132491.84880165407,1.160245681,8559.365761440993,-125088.5214743784,133647.8872358194,0.459431131,8206.24316378236,-125441.62770583101,133647.87086961337,0.46569369,11630.593693178893,-204774.55105818764,216405.14475136655,1.075794156,11630.593693178893,-428195.1053312193,439825.6990243982,0.999950218
4,8301.657396233082,-62747.53402487783,71049.19142111091,1.812297992,8302.6278424263,-63087.344344835365,71389.97218726166,0.72430241,6285.876060748101,-191588.02312306574,197873.89918381383,0.701645507,9287.015869820118,-104872.0420355038,114159.0579053239,1.61750814,9287.012488269806,-207118.2918447868,216405.3043330566,1.500052933
5,8228.937456893922,-28868.58579922089,37097.523256114815,2.46313829,8230.048468148709,-28917.004019424843,37147.05248757355,0.969185335,5748.435830944777,-98811.2570424566,104559.69287340136,0.909241267,8597.269382441043,-51758.9512320282,60356.220614469246,2.160396063,7734.817981976271,-106424.13137646565,114158.94935844193,1.975660916
6,8207.05623357892,-12378.622832557232,20585.679066136152,3.11380656,8208.149493360519,-11998.148919676363,20206.298413036882,1.232975407,4794.176435166598,-49665.04519924419,54459.22163441079,1.134557829,8405.816521084309,-22893.30357668784,31299.12009777215,2.70347898,6438.383416831493,-150809.01084572257,157247.39426255407,2.479416181
7,5795.165973383188,-12961.118746448432,18756.28471983162,4.093734035,5796.371277582646,-13380.883327087602,19177.25460467025,1.473248145,4153.130977755785,-110221.44963777802,114374.5806155338,1.328437376,8350.93503973484,-9705.338624180478,18056.27366391532,3.220319966,5623.263868540525,-76540.73776744533,82164.00163598586,2.963892506
8,4928.588753092289,-125538.25805740313,130466.84681049542,4.653230617,4928.930056899786,-124222.10296319239,129151.03302009217,1.726701061,3904.7545628726484,-57551.800412089804,61456.554974962455,1.52959418,6036.995889538527,-126978.96180070183,133015.95769024035,3.721241537,4632.2100295662885,-134354.75509943164,138986.96512899792,3.474576254
9,4690.215902101993,-62751.131268156474,67441.34717025846,5.294325331,4690.483061754704,-63599.22693274727,68289.70999450197,1.961032255,3469.113488149643,-87838.21184057755,91307.3253287272,1.740853932,5128.0751763761045,-65199.27744871356,70327.35262508967,4.222544768,4514.02139633894,-67233.08337284898,71747.10476918792,3.948836781
10,4621.9977530121805,-31727.724553173157,36349.72230618534,5.910452608,4622.203696155549,-31531.081023701423,36153.28471985697,2.195299947,3261.636851859093,-45639.20515869001,48900.8420105491,1.931835294,4863.717300122977,-31045.248954500086,35908.96625462306,4.724971796,4138.942121732235,-79758.20124882562,83897.14337055785,4.449510804
