iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,8.185875435758731e7,8.464186868292221e7,7.34446742224815e7,1.119719446044071e7,0.0,8.46451320741493e7,7.342997286593863e7,1.1215159208210662e7,0.0,8.46451320741493e7,7.342997286593863e7,1.1215159208210662e7,0.0,8.80200171835464e7,7.680485797533575e7,1.1215159208210647e7,0.0,8.80200171835464e7,-Inf,Inf,0.0
2,8.185875435758731e7,8.352805399556749e7,7.795979349356888e7,5.5682605019986e6,0.848759225,8.35312820824736e7,7.795326020530927e7,5.578021877164334e6,0.767665762,8.35312820824736e7,7.795326020530927e7,5.578021877164334e6,0.762844022,8.465672569046055e7,7.90814052572792e7,5.575320433181345e6,0.848219884,8.465672569046053e7,7.344156648224989e7,1.1215159208210647e7,0.865402541
3,8.185875435758731e7,8.301340718793172e7,7.944946592158416e7,3.5639412663475517e6,1.844277129,8.301575277818286e7,7.945233617215459e7,3.5634166060282756e6,1.532186685,8.301575277818286e7,7.945233617215459e7,3.5634166060282756e6,1.522430554,8.35445153046081e7,7.997197954536363e7,3.572535759244472e6,1.681563269,8.354451530460809e7,7.796919487142675e7,5.575320433181345e6,1.725254724
4,8.185875435758731e7,8.27187370079465e7,8.009607008043456e7,2.622666927511938e6,2.867666315,8.272143727201353e7,8.010585266836664e7,2.615584603646895e6,2.302696947,8.272143727201353e7,8.010585266836664e7,2.615584603646895e6,2.288260292,8.302728762903306e7,8.040436679464069e7,2.622920834392369e6,2.517822548,8.302728762920365e7,7.945475187078837e7,3.572535758415282e6,2.576227708
5,8.185875435758731e7,8.252946423410991e7,8.047825327095178e7,2.051210963158138e6,3.927128315,8.25284962075528e7,8.044963806806627e7,2.0788581394865382e6,3.068391023,8.25284962075528e7,8.044963806806627e7,2.0788581394865382e6,3.050711646,8.273188350775021e7,8.064833616005257e7,2.0835473476976454e6,3.353877735,8.273188351426086e7,8.010896271624875e7,2.6229207980121076e6,3.614790453
6,8.185875435758731e7,8.240394542068973e7,8.074818497164994e7,1.655760449039789e6,4.955676851,8.240186599752131e7,8.073043270640245e7,1.6714332911188677e6,3.833834534,8.240186599752131e7,8.073043270640245e7,1.6714332911188677e6,3.816699502,8.253832770786351e7,8.085961335576248e7,1.678714352101028e6,4.207797045,8.253832771585721e7,8.045478037944931e7,2.0835473364078999e6,5.401318925
7,8.185875435758731e7,8.231596656649289e7,8.095151115675345e7,1.3644554097394422e6,5.968991936,8.231428401776633e7,8.09596178061121e7,1.3546662116542347e6,4.601996377,8.230967387618703e7,8.09550076645328e7,1.3546662116542347e6,5.048314112,8.241087679664816e7,8.10483321114168e7,1.3625446852313578e6,6.411473101,8.241087680652815e7,8.073216247050408e7,1.6787143360240757e6,7.13217082
8,8.185875435758731e7,8.224904484059915e7,8.106991346846734e7,1.1791313721318152e6,6.983268729,8.224807787588719e7,8.106638869055709e7,1.1816891853300948e6,5.365569799,8.223567794282041e7,8.09952154896807e7,1.2404624531397186e6,6.253220185,8.232234709121285e7,8.113074426321922e7,1.1916028279936314e6,8.59671937,8.232234710085857e7,8.095980241503003e7,1.3625446858285367e6,8.134387196
9,8.185875435758731e7,8.219597818462272e7,8.114891916254269e7,1.0470590220800396e6,8.049417267,8.219524969323237e7,8.115150371814422e7,1.0437459750881493e6,6.138364272,8.218089848445094e7,8.111501384964353e7,1.0658846348074153e6,7.312240722,8.225502187916926e7,8.120321680494899e7,1.05180507422027e6,9.417005117,8.225108728455266e7,8.105948442465922e7,1.1916028598934412e6,8.90175955
10,8.185875435758731e7,8.215226585583825e7,8.120983052352819e7,942435.3323100694,9.066584299,8.215204254469498e7,8.121558835550605e7,936454.189188933,6.899332353,8.213165045208675e7,8.117799419885005e7,953656.2532367017,8.605667566,8.220172906848747e7,8.12578873427451e7,943841.7257423699,10.239763653,8.218379894534297e7,8.098352698527224e7,1.2002719600707293e6,9.759418106
11,8.185875435758731e7,8.211655527814168e7,8.126870195202102e7,847853.3261206597,10.086563149,8.211618812521641e7,8.126516569291231e7,851022.4323041029,7.666635895,8.209008128410894e7,8.116458634789018e7,925494.9362187516,9.351101442,8.21582527822685e7,8.130122531280261e7,857027.4694658816,11.069502038,8.213195529901707e7,8.109182989003006e7,1.0401254089870155e6,10.633228081
12,8.185875435758731e7,8.20880494191157e7,8.133668938768256e7,751360.031433152,11.163844869,8.208730717679754e7,8.132898341851367e7,758323.7582838628,8.429124146,8.205659111250636e7,8.123591805124673e7,820673.0612596329,10.11659711,8.212113995700614e7,8.13669713121653e7,754168.6448408365,11.897240787,8.209095545305897e7,8.11748996776448e7,916055.7754141688,11.483839103
