label,iters,tot_time,avg_time
C-BC-FW,1002,90669.91975217291,90.48894186843603
F-BC-FW,1002,88217.27849884299,88.04119610662973
F-BC-AFW,1002,87101.64098000198,86.92778540918361
F-FW,1002,92856.92078998203,92.6715776347126
F-AFW,1003,91841.84253644508,91.56714111310576
