iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
29,8.343660127390501e6,8.343660127390574e6,8.34366011575098e6,0.011639593867585063,6.832285454,8.343660127391215e6,8.343660117470531e6,0.00992068462073803,5.694955471,8.343660127390616e6,8.343660111852659e6,0.015537956729531288,5.829859619
30,8.343660127390501e6,8.343660127390564e6,8.343660122264627e6,0.005125937284901738,7.070891121,8.343660127390827e6,8.343660108799669e6,0.018591158092021942,5.888162852,8.343660127390591e6,8.343660120460169e6,0.0069304220378398895,6.03082524
31,8.343660127390501e6,8.343660127390533e6,8.343660124155282e6,0.00323525071144104,7.306387737,8.343660127390726e6,8.343660117978949e6,0.009411776438355446,6.075043365,8.343660127390561e6,8.343660119113634e6,0.0082769263535738,6.229330184
32,8.343660127390501e6,8.343660127390518e6,8.343660121330592e6,0.0060599257703870535,7.524564618,8.343660127390685e6,8.343660122570476e6,0.0048202089965343475,6.269095334,8.343660127390545e6,8.343660124578202e6,0.002812342718243599,6.431971325
33,8.343660127390501e6,8.343660127390514e6,8.343660123998602e6,0.003391912439838052,7.745264501,8.343660127390593e6,8.343660114285272e6,0.013105321675539017,6.460945926,8.343660127390537e6,8.34366012342927e6,0.003961266949772835,6.645923186
34,8.343660127390501e6,8.343660127390516e6,8.343660126439116e6,0.000951400026679039,7.972574751,8.343660127390545e6,8.343660124622462e6,0.002768082544207573,6.649319109,8.343660127390534e6,8.343660126233341e6,0.001157192513346672,6.854977083
35,8.343660127390501e6,8.343660127390512e6,8.34366012463369e6,0.0027568223886191845,8.196621357,8.343660127390539e6,8.343660124981035e6,0.0024095047265291214,6.842460434,8.343660127390529e6,8.343660125450238e6,0.0019402913749217987,7.051501348
36,8.343660127390501e6,8.343660127390511e6,8.343660126686971e6,0.000703540863469243,8.423928951,8.343660127390537e6,8.343660125016181e6,0.0023743566125631332,7.032544662,8.343660127390526e6,8.343660124410966e6,0.002979559823870659,7.247312865
37,8.343660127390501e6,8.343660127390512e6,8.343660124917925e6,0.0024725866969674826,8.634420336,8.343660127390512e6,8.343660124490895e6,0.0028996169567108154,7.218433031,8.343660127390527e6,8.343660126415935e6,0.0009745918214321136,7.448361762
38,8.343660127390501e6,8.343660127390511e6,8.34366012657122e6,0.0008192909881472588,8.857478187,8.343660127390514e6,8.343660125574143e6,0.0018163714557886124,7.410865962,8.343660127390523e6,8.343660126080212e6,0.0013103112578392029,7.647649612
39,8.343660127390501e6,8.343660127390512e6,8.343660125284442e6,0.0021060705184936523,9.080202164,8.343660127390512e6,8.34366012644972e6,0.0009407922625541687,7.606452554,8.343660127390523e6,8.343660125664414e6,0.0017261095345020294,7.845038754
40,8.343660127390501e6,8.34366012739051e6,8.343660124977209e6,0.0024133012630045414,9.29376158,8.343660127390511e6,8.343660125074061e6,0.0023164507001638412,7.795987743,8.3436601273905225e6,8.343660127069877e6,0.0003206450492143631,8.036148363
41,8.343660127390501e6,8.343660127390512e6,8.343660126794223e6,0.0005962897557765245,9.526221481,8.34366012739051e6,8.343660126893635e6,0.0004968754947185516,7.980865769,8.343660127390521e6,8.343660124847168e6,0.0025433525443077087,8.229369434
42,8.343660127390501e6,8.343660127390512e6,8.343660126472536e6,0.0009179767221212387,9.755852522,8.343660127390509e6,8.343660126885158e6,0.0005053505301475525,8.176215029,8.343660127390526e6,8.343660125293475e6,0.002097051590681076,8.42422968
43,8.343660127390501e6,8.343660127390513e6,8.343660124939031e6,0.002451482228934765,14.512386452,8.343660127390512e6,8.343660126227257e6,0.0011632554233074188,8.374727547,8.343660127390528e6,8.343660127010327e6,0.0003802012652158737,8.621319512
44,8.343660127390501e6,8.34366012739051e6,8.343660126038958e6,0.0013515518512576818,14.718114177,8.343660127390515e6,8.343660126903761e6,0.0004867538809776306,8.571699136,8.343660127390524e6,8.343660124874931e6,0.00251559354364872,8.820135694
45,8.343660127390501e6,8.34366012739051e6,8.3436601269696485e6,0.00042086164467036724,14.920166374,8.343660127390514e6,8.343660126389922e6,0.0010005924850702286,8.76297245,8.3436601273905225e6,8.343660126614308e6,0.000776214525103569,9.031909044
46,8.343660127390501e6,8.343660127390513e6,8.3436601268921755e6,0.0004983379039913416,15.140701351,8.34366012739051e6,8.343660127067608e6,0.000322902575135231,8.948443182,8.343660127390522e6,8.343660126469211e6,0.0009213108569383621,9.244265916
47,8.343660127390501e6,8.343660127390511e6,8.343660125840072e6,0.0015504402108490467,15.367765103,8.343660127390514e6,8.343660127140761e6,0.0002497527748346329,9.132845947,8.343660127390522e6,8.3436601270011375e6,0.00038938410580158234,9.472707916
48,8.343660127390501e6,8.343660127390512e6,8.343660126768691e6,0.0006218212656676769,15.580532388,8.343660127390512e6,8.343660125053066e6,0.0023374464362859726,9.313652709,8.343660127390528e6,8.343660126856392e6,0.0005341358482837677,9.698963606
49,8.343660127390501e6,8.343660127390515e6,8.343660127065897e6,0.00032461853697896004,15.835339197,8.343660127390511e6,8.343660127173569e6,0.00021694228053092957,9.497653057,8.343660127390525e6,8.343660126892676e6,0.0004978496581315994,9.962460637
50,8.343660127390501e6,8.343660127390511e6,8.343660127045472e6,0.0003450391814112663,16.104996614,8.343660127390514e6,8.343660125284242e6,0.0021062716841697693,9.682351551,8.343660127390526e6,8.343660126973268e6,0.0004172585904598236,10.198952604
51,8.343660127390501e6,8.343660127390514e6,8.343660127055352e6,0.00033516273833811283,16.356890261,8.343660127390512e6,8.343660125895363e6,0.0014951489865779877,9.864455527,8.343660127390526e6,8.343660127163947e6,0.00022657960653305054,10.398380188
52,8.343660127390501e6,8.3436601273905095e6,8.343660125060029e6,0.0023304796777665615,16.624098779,8.34366012739051e6,8.343660127094998e6,0.0002955123782157898,10.051348456,8.3436601273905225e6,8.343660126530476e6,0.0008600465953350067,10.609254005
53,8.343660127390501e6,8.343660127390509e6,8.343660126578483e6,0.0008120257407426834,16.885391653,8.343660127390513e6,8.343660126315111e6,0.0010754019021987915,10.237604885,8.343660127390522e6,8.343660127218706e6,0.00017181597650051117,10.814395552
54,8.343660127390501e6,8.343660127390512e6,8.343660125512122e6,0.00187839032150805,17.109710802,8.3436601273905095e6,8.343660126832297e6,0.000558212399482727,10.430437624,8.343660127390521e6,8.343660125973888e6,0.0014166329056024551,11.037030925
55,8.343660127390501e6,8.343660127390512e6,8.343660126970114e6,0.00042039831168949604,17.340759533,8.3436601273905095e6,8.34366012693987e6,0.0004506390541791916,10.631701512,8.343660127390524e6,8.343660127051815e6,0.0003387089818716049,11.267776268
56,8.343660127390501e6,8.343660127390512e6,8.343660124723747e6,0.002666765358299017,19.482757238,8.3436601273905095e6,8.343660125690095e6,0.0017004143446683884,10.833326989,8.343660127390521e6,8.34366012691181e6,0.00047871097922325134,11.503167129
57,8.343660127390501e6,8.34366012739051e6,8.343660126872971e6,0.0005175399128347635,19.697520763,8.343660127390511e6,8.343660127143787e6,0.00024672411382198334,11.029217968,8.343660127390524e6,8.343660127087366e6,0.0003031585365533829,11.731802831
58,8.343660127390501e6,8.343660127390512e6,8.343660125937652e6,0.00145286088809371,19.88946212,8.3436601273905095e6,8.343660126461806e6,0.0009287036955356598,11.220773079,8.343660127390524e6,8.343660126758125e6,0.0006323996931314468,11.942844692
59,8.343660127390501e6,8.343660127390508e6,8.343660127039705e6,0.0003508022055029869,20.095452948,8.343660127390513e6,8.343660126904452e6,0.0004860609769821167,11.411652425,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,12.16672385
60,8.343660127390501e6,8.343660127390513e6,8.343660125961041e6,0.0014294721186161041,20.285904907,8.343660127390511e6,8.3436601251235865e6,0.0022669248282909393,11.605797681,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,12.377349477
61,8.343660127390501e6,8.343660127390511e6,8.34366012674964e6,0.0006408712361007929,20.487857594,8.343660127390509e6,8.343660127292984e6,9.752437472343445e-5,11.799301394,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,12.588472778
62,8.343660127390501e6,8.343660127390512e6,8.343660125162117e6,0.002228394616395235,20.687543923,8.343660127390515e6,8.343660124820445e6,0.0025700703263282776,11.985194,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,12.809970005
63,8.343660127390501e6,8.343660127390514e6,8.343660127152381e6,0.00023813219740986824,20.878368772,8.343660127390511e6,8.343660126598347e6,0.0007921643555164337,12.177102064,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,13.01688967
64,8.343660127390501e6,8.343660127390512e6,8.343660125431624e6,0.001958887791261077,21.071203128,8.343660127390517e6,8.343660126631483e6,0.0007590334862470627,12.363743974,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,13.234127952
65,8.343660127390501e6,8.343660127390513e6,8.34366012652367e6,0.0008668431546539068,21.26854747,8.3436601273905095e6,8.343660125738341e6,0.0016521681100130081,12.547244949,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,13.433647453
66,8.343660127390501e6,8.343660127390508e6,8.343660124121803e6,0.003268704516813159,21.458059217,8.34366012739051e6,8.343660126807951e6,0.0005825590342283249,12.731628477,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,13.634249755
67,8.343660127390501e6,8.343660127390515e6,8.34366012687809e6,0.0005124243907630444,21.655445063,8.343660127390514e6,8.343660125841555e6,0.0015489589422941208,12.919340168,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,13.831363054
68,8.343660127390501e6,8.3436601273905095e6,8.343660125921978e6,0.00146853132173419,21.853890542,8.343660127390514e6,8.343660127074827e6,0.0003156866878271103,13.108707319,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,14.023624602
69,8.343660127390501e6,8.34366012739052e6,8.343660127042841e6,0.0003476790152490139,22.075682354,8.343660127390513e6,8.343660123842573e6,0.0035479404032230377,13.292829269,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,14.218025617
70,8.343660127390501e6,8.343660127390508e6,8.343660122700848e6,0.0046896596904844046,22.31303472,8.343660127390507e6,8.343660126900819e6,0.0004896875470876694,13.50769353,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,14.411762763
71,8.343660127390501e6,8.34366012739051e6,8.34366012717678e6,0.00021373038180172443,22.539935033,8.343660127390512e6,8.343660124792089e6,0.002598423510789871,13.704309563,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,14.60493516
72,8.343660127390501e6,8.343660127390509e6,8.343660125907036e6,0.0014834725297987461,22.754768476,8.34366012739051e6,8.343660126170193e6,0.0012203175574541092,13.93366485,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,14.800890271
73,8.343660127390501e6,8.34366012739051e6,8.343660126978228e6,0.0004122825339436531,22.968266289,8.343660127390511e6,8.34366012656619e6,0.000824321061372757,14.218984438,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,15.00450041
74,8.343660127390501e6,8.3436601273905095e6,8.34366012581049e6,0.0015800194814801216,23.191190886,8.343660127390512e6,8.343660124925378e6,0.002465134486556053,14.485203504,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,15.197835028
75,8.343660127390501e6,8.34366012739051e6,8.343660127172972e6,0.00021753832697868347,23.445745556,8.343660127390511e6,8.343660126767086e6,0.0006234254688024521,14.745340923,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,15.394098494
76,8.343660127390501e6,8.343660127390514e6,8.3436601257342985e6,0.001656215637922287,23.68487368,8.343660127390511e6,8.343660126781056e6,0.0006094556301832199,14.944510314,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,15.592377407
77,8.343660127390501e6,8.34366012739051e6,8.343660127246764e6,0.00014374684542417526,23.907411637,8.343660127390513e6,8.343660123918733e6,0.0034717805683612823,15.126636826,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,15.786673075
78,8.343660127390501e6,8.343660127390509e6,8.343660125378275e6,0.0020122334826737642,24.123634249,8.343660127390513e6,8.343660126478313e6,0.0009122006595134735,15.315292065,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,15.990058701
79,8.343660127390501e6,8.34366012739051e6,8.343660127078008e6,0.0003125027287751436,24.338770167,8.34366012739051e6,8.343660127191507e6,0.00019900314509868622,15.507426497,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,16.187062696
80,8.343660127390501e6,8.3436601273905095e6,8.343660125962098e6,0.001428411342203617,24.552946149,8.34366012739051e6,8.343660126521475e6,0.0008690357208251953,15.693421492,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,16.392942032
81,8.343660127390501e6,8.3436601273905095e6,8.343660126560128e6,0.0008303814101964235,24.771801871,8.343660127390513e6,8.343660127125697e6,0.0002648159861564636,15.882041749,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,16.599601579
82,8.343660127390501e6,8.343660127390511e6,8.34366012608259e6,0.0013079217169433832,24.988051506,8.343660127390515e6,8.343660126785088e6,0.0006054267287254333,16.071575818,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,16.816265744
83,8.343660127390501e6,8.343660127390512e6,8.34366012670237e6,0.0006881416775286198,25.207577689,8.343660127390515e6,8.343660126694143e6,0.0006963722407817841,16.26746421,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,17.023215724
84,8.343660127390501e6,8.343660127390513e6,8.343660125705592e6,0.0016849206294864416,25.412380911,8.343660127390514e6,8.3436601248168545e6,0.0025736596435308456,16.465344916,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,17.218387864
85,8.343660127390501e6,8.343660127390516e6,8.343660125539262e6,0.0018512543756514788,25.602177744,8.343660127390514e6,8.343660126414661e6,0.000975852832198143,16.655493541,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,17.411160535
86,8.343660127390501e6,8.343660127390513e6,8.3436601266909e6,0.0006996137090027332,25.786948009,8.343660127390516e6,8.343660126092321e6,0.0012981947511434555,16.862024273,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,17.611641697
87,8.343660127390501e6,8.34366012739051e6,8.343660125817189e6,0.0015733218751847744,25.967613393,8.343660127390511e6,8.343660126239138e6,0.0011513736099004745,17.059086702,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,17.807191002
88,8.343660127390501e6,8.3436601273905095e6,8.343660126632849e6,0.0007576604839414358,26.149416313,8.343660127390513e6,8.343660127023984e6,0.0003665294498205185,17.247354674,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,18.004065985
89,8.343660127390501e6,8.343660127390511e6,8.3436601262908615e6,0.0010996495839208364,26.334023977,8.3436601273905095e6,8.343660126892943e6,0.0004975665360689163,17.439398076,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,18.201457178
90,8.343660127390501e6,8.343660127390513e6,8.343660126572268e6,0.0008182455785572529,26.513555395,8.343660127390509e6,8.343660126474121e6,0.0009163878858089447,17.641047769,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,18.403601233
91,8.343660127390501e6,8.343660127390509e6,8.34366012655625e6,0.0008342582732439041,26.704334518,8.343660127390512e6,8.343660126593982e6,0.0007965303957462311,17.826682087,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,18.602364828
92,8.343660127390501e6,8.343660127390512e6,8.343660126327308e6,0.001063204137608409,26.89334109,8.343660127390511e6,8.343660125445921e6,0.0019445903599262238,18.012169789,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,18.805990827
93,8.343660127390501e6,8.34366012739051e6,8.343660127083633e6,0.0003068777732551098,27.073452971,8.343660127390514e6,8.343660126978126e6,0.00041238777339458466,18.205092995,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,19.012596836
94,8.343660127390501e6,8.343660127390511e6,8.343660126538566e6,0.000851944787427783,27.254010397,8.34366012739051e6,8.3436601263316e6,0.0010589100420475006,18.424086333,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,19.222951044
95,8.343660127390501e6,8.34366012739051e6,8.343660126016025e6,0.001374484971165657,27.436838226,8.34366012739051e6,8.343660126861199e6,0.0005293115973472595,18.667493959,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,19.421787312
96,8.343660127390501e6,8.343660127390512e6,8.343660126654623e6,0.0007358887232840061,27.621119112,8.343660127390514e6,8.343660125205313e6,0.002185201272368431,18.909542113,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,19.64123981
97,8.343660127390501e6,8.343660127390514e6,8.343660126260793e6,0.0011297212913632393,27.818132212,8.34366012739051e6,8.343660126979248e6,0.00041126273572444916,19.14689881,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,19.858091191
98,8.343660127390501e6,8.34366012739051e6,8.3436601244838685e6,0.0029066416900604963,28.003947129,8.343660127390514e6,8.343660126326657e6,0.001063857227563858,19.373451516,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,20.094711975
99,8.343660127390501e6,8.34366012739051e6,8.343660126619915e6,0.0007705960888415575,28.252939849,8.343660127390512e6,8.343660125826412e6,0.0015641003847122192,19.59583499,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,20.351059439
100,8.343660127390501e6,8.34366012739051e6,8.343660125264129e6,0.0021263814996927977,28.44539435,8.343660127390511e6,8.34366012716897e6,0.0002215411514043808,19.875708663,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,20.58756861
101,8.343660127390501e6,8.343660127390512e6,8.343660126768958e6,0.0006215544417500496,28.634205051,8.343660127390511e6,8.343660126245277e6,0.0011452343314886093,20.149984157,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,20.812951927
102,8.343660127390501e6,8.343660127390518e6,8.343660126600941e6,0.0007895771414041519,28.821686268,8.343660127390514e6,8.34366012703188e6,0.00035863369703292847,20.39640542,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,21.026655077
103,8.343660127390501e6,8.343660127390512e6,8.343660125113425e6,0.0022770871873944998,29.004458176,8.343660127390513e6,8.34366012704915e6,0.00034136325120925903,20.68682716,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,21.223139119
104,8.343660127390501e6,8.343660127390512e6,8.343660125746297e6,0.0016442150808870792,29.185003558,8.343660127390511e6,8.343660126149865e6,0.0012406464666128159,21.050501854,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,21.415063709
105,8.343660127390501e6,8.343660127390512e6,8.343660126845984e6,0.0005445280112326145,29.367981226,8.343660127390514e6,8.343660127081149e6,0.0003093648701906204,21.421858701,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,21.609567307
106,8.343660127390501e6,8.343660127390512e6,8.343660125159973e6,0.002230539219453931,29.552214833,8.34366012739051e6,8.343660126905828e6,0.0004846826195716858,21.746535913,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,21.802696597
107,8.343660127390501e6,8.343660127390518e6,8.343660126279249e6,0.0011112689971923828,29.746171606,8.343660127390514e6,8.343660127177942e6,0.00021257251501083374,22.07761667,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,21.995503199
108,8.343660127390501e6,8.3436601273905095e6,8.343660125161547e6,0.002228962490335107,29.930572004,8.343660127390513e6,8.343660126974888e6,0.00041562505066394806,22.341310249,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,22.193005594
109,8.343660127390501e6,8.343660127390508e6,8.343660126480371e6,0.0009101368486881256,30.119162487,8.34366012739051e6,8.3436601258598985e6,0.0015306118875741959,22.588943081,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,22.389340888
110,8.343660127390501e6,8.343660127390511e6,8.343660127243741e6,0.0001467699185013771,30.307408071,8.343660127390513e6,8.343660126864471e6,0.0005260426551103592,22.796109239,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,22.579364514
111,8.343660127390501e6,8.343660127390513e6,8.343660124987153e6,0.0024033598601818085,30.527344421,8.343660127390512e6,8.3436601267950805e6,0.00059543177485466,23.007046057,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,22.785083604
112,8.343660127390501e6,8.343660127390512e6,8.343660126725625e6,0.0006648872513324022,30.715732544,8.343660127390513e6,8.343660127059141e6,0.0003313720226287842,23.217417378,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,22.989161491
113,8.343660127390501e6,8.343660127390516e6,8.34366012656911e6,0.0008214062545448542,30.930583996,8.343660127390512e6,8.343660124188795e6,0.003201717510819435,23.430939969,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,23.206054485
114,8.343660127390501e6,8.343660127390512e6,8.343660126704814e6,0.0006856983527541161,31.143669392,8.343660127390514e6,8.343660126225575e6,0.0011649392545223236,23.633638032,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,23.399690722
115,8.343660127390501e6,8.343660127390512e6,8.34366012709971e6,0.000290802214294672,31.376387963,8.34366012739051e6,8.343660126973127e6,0.0004173833876848221,23.841096147,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,23.590640404
116,8.343660127390501e6,8.3436601273905095e6,8.343660125672469e6,0.0017180403228849173,31.588072947,8.343660127390512e6,8.343660126542869e6,0.0008476432412862778,24.041803694,8.343660127390524e6,8.343660127031837e6,0.00035868771374225616,23.782481553
