iter,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,46.55220018373802,-1831.3941800312036,1877.9463802149417,0.0,817.3027660073712,-1040.8177411746187,1858.12050718199,0.0,817.3027660073712,-Inf,Inf,0.0
2,30.4900060207583,-192.03901428489254,222.52902030565085,0.207321133,60.997108686715364,-228.58506043996783,289.5821691266832,0.214625566,60.997108686715364,-1797.1233984952746,1858.12050718199,0.201990364
3,23.894467047415674,-103.60217977607667,127.49664682349234,0.405005888,34.04337803879753,-117.09154379618798,151.1349218349855,0.423312244,34.043378038331866,-255.53879108835133,289.5821691266832,0.408727854
4,20.740011036396027,-64.93943182916169,85.67944286555772,0.599172572,25.328160298988223,-69.15628051384795,94.48444081283617,0.630476692,25.328132666181773,-125.80706000272778,151.13519266890955,0.613654071
5,18.903216128703207,-43.56012590407202,62.46334203277522,0.798046613,21.354791291523725,-43.24213016598148,64.5969214575052,0.855966126,21.602589002344757,-72.88179664479837,94.48438564714313,0.810307038
6,13.237718109507114,-46.49521377640646,59.73293188591357,0.996983631,19.34027796285227,-31.190289451857893,50.53056741471016,1.179623661,17.277853618375957,-84.0206274070047,101.29848102538065,1.002630911
7,11.025900386739522,-62.97511203758097,74.00101242432049,1.194446295,14.491473818197846,-62.430743880498596,76.92221769869644,1.47990757,15.054116913117468,-54.564004193881004,69.61812110699847,1.196369277
8,9.922280905768275,-38.62920075653665,48.55148166230492,1.399032935,11.949768194463104,-41.00080066345087,52.95056885791397,1.731640306,13.153088469989598,-38.872115374839964,52.02520384482956,1.405823156
9,9.280217146966606,-26.28183769686661,35.56205484383322,1.598613831,10.666543238330632,-27.73453947326562,38.40108271159625,1.94819914,11.337441986426711,-51.37352595125846,62.71096793768517,1.60613444
10,8.909898831043392,-20.737689637794126,29.64758846883752,1.787891894,9.983749052044004,-19.689684349197297,29.6734334012413,2.152236738,10.372049903962761,-33.70381556358211,44.07586546754487,1.804144278
11,7.1799373659305274,-23.233796885412794,30.41373425134332,1.98129448,9.545696711633354,-19.718022654654863,29.263719366288218,2.387770043,9.230836584698409,-23.433552950620104,32.66438953531851,2.008025173
12,6.395804533269256,-36.39905833739433,42.794862870663586,2.179983834,7.764208814129233,-36.1603299263339,43.924538740463134,2.648557476,8.493716631550342,-31.738740069290316,40.23245670084066,2.209058389
13,5.963653542101383,-24.22963588298946,30.193289425090843,2.372942965,6.847018188331276,-24.698968117103252,31.54598630543453,2.95717344,7.843745062593371,-23.48976377600825,31.33350883860162,2.410167307
14,5.704237455967814,-16.277859891492913,21.982097347460726,2.566975787,6.3707897532731295,-18.241524966122455,24.612314719395584,3.239934297,7.441289624199271,-29.904219054945713,37.345508679144984,2.626179601
15,5.545384323690087,-14.29448542372388,19.839869747413967,2.778035714,6.075939375907183,-11.786786023140074,17.862725399047257,3.450644168,7.006922963541001,-23.193494382138674,30.200417345679675,2.840229979
16,4.730778981000185,-15.055628542872409,19.786407523872594,2.976782258,5.908405180554837,-14.16995506814192,20.078360248696757,3.65887545,6.495654752943665,-15.922712884061951,22.418367637005616,3.059214566
17,4.338039102032781,-24.72671651746957,29.06475561950235,3.185100731,5.029164699371904,-25.500140987852845,30.52930568722475,3.860004395,6.0667289942502975,-23.41674414967476,29.483473143925057,3.277560075
18,4.125194281805307,-17.32032662730003,21.445520909105337,3.384752706,4.6110246744938195,-18.135147120649222,22.74617179514304,4.055564467,5.642124738078564,-17.33928676538474,22.981411503463303,3.502376006
19,3.9881673944182694,-12.649232359327108,16.637399753745377,3.583027282,4.3550016903318465,-12.594779657878455,16.9497813482103,4.320188601,5.269976510666311,-23.099980072755027,28.369956583421338,3.766950208
20,3.8951743375509977,-9.171049609081749,13.066223946632746,3.789436046,4.217373571824282,-8.991274130699537,13.20864770252382,4.619301956,5.007086559664458,-16.11537596370505,21.122462523369506,3.994562478
21,3.439480310305953,-12.605326729573058,16.04480703987901,3.984331008,4.13172667240724,-11.25577272597814,15.38749939838538,4.910754752,4.754046254325658,-18.484827489187243,23.2388737435129,4.262547637
22,3.2057046168483794,-19.779701580182092,22.98540619703047,4.17781761,3.6018544416874647,-19.20559509116886,22.807449532856324,5.132556425,4.453704472631216,-13.678698289927922,18.13240276255914,4.498080894
23,3.0687373452819884,-13.733821517368462,16.80255886265045,4.385921291,3.352211111690849,-14.117631215220278,17.469842326911127,5.343831429,4.217634091619402,-17.941154155286966,22.15878824690637,4.711853326
24,2.978991194162518,-10.600046315566921,13.579037509729439,4.582350223,3.203629649244249,-10.005401110208282,13.209030759452531,5.553598407,4.0928786168806255,-12.915955654196374,17.008834271077,4.917964633
25,2.930252432823181,-7.210132377965866,10.140384810789048,4.777154327,3.118951864540577,-7.168292442698011,10.287244307238588,5.76581305,3.907941389363259,-15.49108498914351,19.39902637850677,5.144797975
26,2.624050439335406,-8.903593041526143,11.527643480861549,4.971020085,2.8731293962337077,-16.12454903618824,18.99767843242195,5.964215462,3.68362626619637,-11.008426480664685,14.692052746861055,5.359894408
27,2.472506401129067,-16.218385489893016,18.690891891022083,5.161631871,2.704031551256776,-11.238218993892957,13.942250545149733,6.188219877,3.4996966794133186,-15.749013126489409,19.248709805902728,5.565539738
28,2.3789223595522344,-11.039176677250655,13.41809903680289,5.353164632,2.6078912680968642,-8.540351715384432,11.148242983481296,6.46936676,3.357235171366483,-11.404113745523642,14.761348916890125,5.797953696
29,2.3248285269364715,-9.029726008585762,11.354554535522233,5.547926905,2.545660954900086,-6.188179927712625,8.73384088261271,6.679905759,3.1732349726371467,-16.615010071382585,19.78824504401973,6.021638398
30,2.2919087703339756,-6.046122539877572,8.338031310211548,5.747309174,2.505011241417378,-7.53348478982916,10.038496031246538,6.901191481,3.0399445220828056,-10.371498169546555,13.411442691629361,6.247882695
31,2.0873631513677537,-7.511980922689553,9.599344074057306,5.94441901,2.2717247270047665,-13.271551188820162,15.543275915824928,7.120464909,2.9090938502922654,-13.42853663624988,16.337630486542146,6.488236796
32,1.9820854081772268,-12.710543724046218,14.692629132223445,6.144163934,2.1583204208873212,-9.866012398127666,12.024332819014987,7.329495032,2.8531537745147943,-9.477178626548717,12.330332401063512,6.720100324
33,1.9234490445815027,-10.309144440407653,12.232593484989156,6.338163065,2.086681910790503,-7.171277232377054,9.257959143167557,7.536151093,2.758737422991544,-11.207001970713602,13.965739393705146,6.958015751
34,1.8847913220524788,-6.88596474901162,8.770756071064099,6.535206122,2.0443450985476375,-5.593716339105924,7.638061437653562,7.742844191,2.6637435536831617,-8.230805850444028,10.89454940412719,7.216719322
35,1.7767475051805377,-5.256766910353978,7.0335144155345155,6.744469176,2.014362636487931,-6.256894593163334,8.271257229651265,8.026503405,2.565651560202241,-11.612764718758015,14.178416278960256,7.44912597
36,1.6948377527296543,-11.078718995386527,12.773556748116182,6.942557108,1.8540898165665567,-11.157115472499349,13.011205289065906,8.347498806,2.4705204674974084,-8.065586077773691,10.5361065452711,7.672416267
37,1.646061294246465,-9.030787609539495,10.67684890378596,7.134882916,1.770520482212305,-8.247529158040471,10.018049640252777,8.560998738,2.3832801901735365,-11.017386720045128,13.400666910218664,7.873376537
38,1.6146262888796628,-6.395298603497412,8.009924892377075,7.325778439,1.7226083776913583,-6.066475963570198,7.789084341261557,8.76855582,2.3204758898355067,-8.09904779776246,10.419523687597966,8.07416782
39,1.5958024426363409,-4.521028132055621,6.116830574691962,7.51796623,1.6913498775102198,-4.638394146181788,6.329744023692008,9.004237909,2.2472736164927483,-10.470257793257666,12.717531409750414,8.288326006
40,1.4846483538858593,-6.060310768432359,7.544959122318218,7.73221671,1.6710493927821517,-5.422270053839583,7.093319446621734,9.330640076,2.204117011744529,-7.717333071838663,9.921450083583192,8.497965166
41,1.4249407891184092,-10.12462527353982,11.54956606265823,7.930700053,1.5522468122653663,-9.86808373590086,11.420330548166227,9.642222921,2.166451010853052,-9.200565542496722,11.367016553349774,8.698849823
42,1.3886113287881017,-7.305176015850417,8.693787344638519,8.130106588,1.4882136075757444,-6.938409765779774,8.426623373355518,9.941925131,2.1056774710305035,-7.523878165584371,9.629555636614874,8.898104212
43,1.3667761413380504,-5.78217975755678,7.1489558988948305,8.332467222,1.4537517460994422,-5.173527044725326,6.627278790824768,10.184761812,2.0262421355582774,-10.290678244683463,12.31692038024174,9.106920866
44,1.3517623553052545,-4.055573047427703,5.407335402732958,8.532657795,1.432816555723548,-3.9206566197042605,5.353473175427808,10.407057619,1.954549577087164,-7.344507590715157,9.29905716780232,9.315819108
45,1.2628249358385801,-4.995808406954845,6.258633342793425,8.737552148,1.417493392713368,-4.67950307138257,6.0969964640959375,10.603978446,1.8913341397419572,-9.746339536939333,11.63767367668129,9.523558681
46,1.2166801881976426,-8.630557652806358,9.847237841004,8.935554003,1.3291007499210536,-8.75348847681137,10.082589226732424,10.798385731,1.8323181825689971,-7.317388682610908,9.149706865179905,9.727412137
