iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,8.343660127390501e6,8.343723792324628e6,8.322961627948251e6,20762.164376377594,0.0,8.363317441290255e6,8.342582517039363e6,20734.924250891432,0.0,8.363317441290255e6,-Inf,Inf,0.0
2,8.343660127390501e6,8.343666959273213e6,8.343165142125896e6,501.81714731664397,0.187949293,8.343723792324628e6,8.343224148670503e6,499.6436541248113,0.193295708,8.343723792324628e6,8.322988868073736e6,20734.924250891432,0.194772492
3,8.343660127390501e6,8.343660754777867e6,8.343531657060316e6,129.09771755128168,0.38170492,8.343667555318483e6,8.34352791383483e6,139.64148365333676,0.395101182,8.343723792324628e6,8.343224148670503e6,499.6436541248113,0.404843474
4,8.343660127390501e6,8.343660358900797e6,8.343650489492743e6,9.869408053113148,0.575007033,8.34366044444954e6,8.343652546440104e6,7.8980094362050295,0.60329004,8.343667555318484e6,8.343167911664359e6,499.6436541248113,0.599692519
5,8.343660127390501e6,8.343660228446132e6,8.343643041054519e6,17.187391612678766,0.767068505,8.34366022556478e6,8.343649411182381e6,10.814382398501039,0.800301345,8.343660444449539e6,8.343520802965886e6,139.64148365333676,0.789191376
6,8.343660127390501e6,8.343660218803568e6,8.343655427035304e6,4.791768263792619,0.959920511,8.343660173730732e6,8.343653443986089e6,6.729744642972946,0.989297834,8.343660158520651e6,8.343652260511213e6,7.898009438067675,0.979773149
7,8.343660127390501e6,8.3436601601416655e6,8.343656531530283e6,3.628611381864175,1.150715405,8.343660155050435e6,8.343657748533764e6,2.406516671180725,1.189828051,8.343660137757352e6,8.343651876176529e6,8.261580822989345,1.172230942
8,8.343660127390501e6,8.3436601445996e6,8.343654270890276e6,5.873709323583171,1.341958407,8.343660133128156e6,8.343657662695126e6,2.4704330302774906,1.389628558,8.343660132680617e6,8.343657424616097e6,2.7080645207315683,1.363279234
9,8.343660127390501e6,8.343660141971146e6,8.343657645047579e6,2.496923567261547,1.553848457,8.343660131258447e6,8.343658649770938e6,1.4814875088632107,1.583799772,8.343660128295554e6,8.343656876976235e6,3.251319319009781,1.554425569
10,8.343660127390501e6,8.343660132637177e6,8.343658709996673e6,1.422640503384173,1.779724519,8.343660130269487e6,8.343659512171325e6,0.6180981621146202,1.774795535,8.343660128015097e6,8.343659414102241e6,0.7139128558337688,1.748743756
11,8.343660127390501e6,8.343660130312002e6,8.343657865624573e6,2.26468742871657,2.238387215,8.343660128783623e6,8.343658766463794e6,1.362319828942418,1.966379858,8.34366012769235e6,8.343659281844777e6,0.8458475731313229,1.94069676
12,8.343660127390501e6,8.343660129814805e6,8.343659045249892e6,1.0845649125985801,2.457857106,8.343660128190133e6,8.343659846130439e6,0.28205969370901585,2.161530433,8.343660127629937e6,8.34365974065842e6,0.3869715165346861,2.139412817
13,8.343660127390501e6,8.343660128271993e6,8.343659553729132e6,0.5745428609661758,2.678423203,8.343660127879095e6,8.343659411893806e6,0.7159852888435125,2.360646409,8.3436601275471e6,8.343659897700496e6,0.22984660416841507,2.334830802
14,8.343660127390501e6,8.343660127891222e6,8.343659212485863e6,0.9154053586535156,2.881462488,8.343660127715025e6,8.343659740837466e6,0.38687755912542343,2.559620759,8.343660127496479e6,8.343659779003216e6,0.3484932631254196,2.531602134
15,8.343660127390501e6,8.343660127804013e6,8.343659673807564e6,0.45399644901044667,3.082308657,8.343660127652645e6,8.343659943436027e6,0.18421661853790283,2.758803377,8.343660127466368e6,8.343659930768227e6,0.1966981403529644,2.739842692
16,8.343660127390501e6,8.343660127541382e6,8.34365989134777e6,0.23619361245073378,3.283451183,8.343660127519772e6,8.343659727065847e6,0.40045392513275146,2.960192104,8.343660127438148e6,8.34365989554504e6,0.23189310729503632,2.933639414
17,8.343660127390501e6,8.343660127476884e6,8.34365975080672e6,0.37667016428895295,3.489391689,8.343660127468426e6,8.343660022200391e6,0.10526803508400917,3.158955171,8.343660127426666e6,8.343659994588922e6,0.13283774442970753,3.134298133
18,8.343660127390501e6,8.343660127461671e6,8.343659938028358e6,0.18943331274203956,3.691459762,8.343660127463807e6,8.343660029946721e6,0.09751708619296551,3.353681039,8.343660127416172e6,8.343659968765442e6,0.1586507298052311,3.335873768
19,8.343660127390501e6,8.343660127416421e6,8.343660028173199e6,0.09924322180449963,3.906676063,8.3436601274550175e6,8.343660034644145e6,0.09281087294220924,3.542216938,8.343660127403434e6,8.343660062625827e6,0.06477760709822178,3.528004617
20,8.343660127390501e6,8.343660127405262e6,8.34365997068763e6,0.1567176324315369,4.665379561,8.343660127421247e6,8.343659951375816e6,0.17604543082416058,3.736159353,8.34366012739799e6,8.343660025517287e6,0.10188070312142372,3.723338945
21,8.343660127390501e6,8.343660127402629e6,8.343660048266075e6,0.07913655391894281,4.862727457,8.343660127407249e6,8.343660046715843e6,0.08069140650331974,3.936461985,8.343660127394884e6,8.343660099802948e6,0.02759193629026413,3.920357298
22,8.343660127390501e6,8.34366012739497e6,8.343660085941335e6,0.04145363485440612,5.088619842,8.343660127405247e6,8.343660082745796e6,0.04465945065021515,4.13366894,8.343660127393173e6,8.34366007026878e6,0.05712439306080341,4.126526265
23,8.343660127390501e6,8.343660127393043e6,8.3436600621022675e6,0.06529077491723001,5.312173398,8.343660127397419e6,8.343660041897849e6,0.08549956977367401,4.334513417,8.343660127392171e6,8.343660109281654e6,0.018110517412424088,4.332510326
24,8.343660127390501e6,8.343660127392608e6,8.3436600949815465e6,0.03241106099449098,5.512376576,8.343660127395079e6,8.343660085992595e6,0.041402483358979225,4.534614731,8.343660127391699e6,8.343660097333643e6,0.030058056116104126,4.533195933
25,8.343660127390501e6,8.343660127391254e6,8.343660109636705e6,0.017754547763615847,5.710083856,8.343660127394363e6,8.343660104770949e6,0.022623414173722267,4.733227917,8.343660127391193e6,8.343660116026189e6,0.011365003883838654,4.732102124
26,8.343660127390501e6,8.3436601273908885e6,8.343660099047707e6,0.02834318159148097,5.918757798,8.343660127393893e6,8.343660105424191e6,0.02196970209479332,4.922751789,8.343660127391042e6,8.343660108479252e6,0.01891179010272026,4.929660166
27,8.343660127390501e6,8.343660127390839e6,8.343660116322421e6,0.01106841815635562,6.111446781,8.343660127391998e6,8.343660088262226e6,0.039129771292209625,5.110733157,8.343660127390836e6,8.343660105485142e6,0.021905694156885147,5.123904631
28,8.343660127390501e6,8.343660127390631e6,8.343660120637536e6,0.006753094727173448,6.306131438,8.34366012739131e6,8.343660110089773e6,0.017301537096500397,5.30797058,8.343660127390743e6,8.343660113966669e6,0.013424074277281761,5.317664996
29,8.343660127390501e6,8.343660127390574e6,8.34366011575098e6,0.011639593867585063,6.503625961,8.343660127391215e6,8.343660117470531e6,0.00992068462073803,5.511206455,8.343660127390616e6,8.343660111852659e6,0.015537956729531288,5.50678618
30,8.343660127390501e6,8.343660127390564e6,8.343660122264627e6,0.005125937284901738,6.701009184,8.343660127390827e6,8.343660108799669e6,0.018591158092021942,5.712475664,8.343660127390591e6,8.343660120460169e6,0.0069304220378398895,5.696771725
31,8.343660127390501e6,8.343660127390533e6,8.343660124155282e6,0.00323525071144104,6.904327695,8.343660127390726e6,8.343660117978949e6,0.009411776438355446,5.902960193,8.343660127390561e6,8.343660119113634e6,0.0082769263535738,5.891732845
32,8.343660127390501e6,8.343660127390518e6,8.343660121330592e6,0.0060599257703870535,7.105098374,8.343660127390685e6,8.343660122570476e6,0.0048202089965343475,6.092079545,8.343660127390545e6,8.343660124578202e6,0.002812342718243599,6.090841362
33,8.343660127390501e6,8.343660127390514e6,8.343660123998602e6,0.003391912439838052,7.303010775,8.343660127390593e6,8.343660114285272e6,0.013105321675539017,6.281236643,8.343660127390537e6,8.34366012342927e6,0.003961266949772835,6.290672733
34,8.343660127390501e6,8.343660127390516e6,8.343660126439116e6,0.000951400026679039,7.50499474,8.343660127390545e6,8.343660124622462e6,0.002768082544207573,6.477999093,8.343660127390534e6,8.343660126233341e6,0.001157192513346672,6.492871619
35,8.343660127390501e6,8.343660127390512e6,8.34366012463369e6,0.0027568223886191845,7.712559445,8.343660127390539e6,8.343660124981035e6,0.0024095047265291214,6.672421462,8.343660127390529e6,8.343660125450238e6,0.0019402913749217987,6.701746802
36,8.343660127390501e6,8.343660127390511e6,8.343660126686971e6,0.000703540863469243,7.93562675,8.343660127390537e6,8.343660125016181e6,0.0023743566125631332,6.871546752,8.343660127390526e6,8.343660124410966e6,0.002979559823870659,6.906470116
37,8.343660127390501e6,8.343660127390512e6,8.343660124917925e6,0.0024725866969674826,8.130716636,8.343660127390512e6,8.343660124490895e6,0.0028996169567108154,7.063255412,8.343660127390527e6,8.343660126415935e6,0.0009745918214321136,7.09722829
38,8.343660127390501e6,8.343660127390511e6,8.34366012657122e6,0.0008192909881472588,8.326993784,8.343660127390514e6,8.343660125574143e6,0.0018163714557886124,7.252362883,8.343660127390523e6,8.343660126080212e6,0.0013103112578392029,7.287464602
39,8.343660127390501e6,8.343660127390512e6,8.343660125284442e6,0.0021060705184936523,8.517621668,8.343660127390512e6,8.34366012644972e6,0.0009407922625541687,7.444749382,8.343660127390523e6,8.343660125664414e6,0.0017261095345020294,7.490901659
40,8.343660127390501e6,8.34366012739051e6,8.343660124977209e6,0.0024133012630045414,8.712772839,8.343660127390511e6,8.343660125074061e6,0.0023164507001638412,7.640059128,8.3436601273905225e6,8.343660127069877e6,0.0003206450492143631,7.688126755
41,8.343660127390501e6,8.343660127390512e6,8.343660126794223e6,0.0005962897557765245,8.902465493,8.34366012739051e6,8.343660126893635e6,0.0004968754947185516,7.8368714,8.343660127390521e6,8.343660124847168e6,0.0025433525443077087,7.884585667
42,8.343660127390501e6,8.343660127390512e6,8.343660126472536e6,0.0009179767221212387,9.096988131,8.343660127390509e6,8.343660126885158e6,0.0005053505301475525,8.037269935,8.343660127390526e6,8.343660125293475e6,0.002097051590681076,8.088976847
43,8.343660127390501e6,8.343660127390513e6,8.343660124939031e6,0.002451482228934765,9.291574907,8.343660127390512e6,8.343660126227257e6,0.0011632554233074188,8.244721444,8.343660127390528e6,8.343660127010327e6,0.0003802012652158737,8.288813188
44,8.343660127390501e6,8.34366012739051e6,8.343660126038958e6,0.0013515518512576818,9.487643343,8.343660127390515e6,8.343660126903761e6,0.0004867538809776306,8.446557128,8.343660127390524e6,8.343660124874931e6,0.00251559354364872,8.478203576
45,8.343660127390501e6,8.34366012739051e6,8.3436601269696485e6,0.00042086164467036724,9.687254807,8.343660127390514e6,8.343660126389922e6,0.0010005924850702286,8.643633297,8.3436601273905225e6,8.343660126614308e6,0.000776214525103569,8.666948651
46,8.343660127390501e6,8.343660127390513e6,8.3436601268921755e6,0.0004983379039913416,9.898637055,8.34366012739051e6,8.343660127067608e6,0.000322902575135231,8.840930964,8.343660127390522e6,8.343660126469211e6,0.0009213108569383621,8.859784061
47,8.343660127390501e6,8.343660127390511e6,8.343660125840072e6,0.0015504402108490467,10.090977355,8.343660127390514e6,8.343660127140761e6,0.0002497527748346329,9.044847295,8.343660127390522e6,8.3436601270011375e6,0.00038938410580158234,9.04674715
48,8.343660127390501e6,8.343660127390512e6,8.343660126768691e6,0.0006218212656676769,10.278046137,8.343660127390512e6,8.343660125053066e6,0.0023374464362859726,9.244912874,8.343660127390528e6,8.343660126856392e6,0.0005341358482837677,9.242714996
49,8.343660127390501e6,8.343660127390515e6,8.343660127065897e6,0.00032461853697896004,10.465205913,8.343660127390511e6,8.343660127173569e6,0.00021694228053092957,9.434246187,8.343660127390525e6,8.343660126892676e6,0.0004978496581315994,9.43446123
50,8.343660127390501e6,8.343660127390511e6,8.343660127045472e6,0.0003450391814112663,10.655813052,8.343660127390514e6,8.343660125284242e6,0.0021062716841697693,9.624053825,8.343660127390526e6,8.343660126973268e6,0.0004172585904598236,9.629614422
