label,iters,tot_time,avg_time
C-BC-FW,5002,2.4002656125203166e6,479.8611780328502
F-FW,5002,2.5637091210586033e6,512.5368094879254
F-AFW,5001,3.0891337440912086e6,617.7032081766064
